,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_20_1
1,Adoption,https://www.amazon.com/Best-Sellers-Books-Adoption/zgbs/books/11350/ref=zg_bs_nav_b_2_20
2,Aging Parents,https://www.amazon.com/Best-Sellers-Books-Aging-Parents/zgbs/books/11352/ref=zg_bs_nav_b_2_20
3,"Babysitting, Day Care & Child Care",https://www.amazon.com/Best-Sellers-Books-Babysitting-Day-Care-Child/zgbs/books/10166921011/ref=zg_bs_nav_b_2_20
4,Disabilities & Hyperactivity,https://www.amazon.com/Best-Sellers-Books-Parenting-Hyperactive-Children-Disabilities/zgbs/books/11436/ref=zg_bs_nav_b_2_20
5,Family Activities,https://www.amazon.com/Best-Sellers-Books-Family-Activity/zgbs/books/11365/ref=zg_bs_nav_b_2_20
6,Family Health,https://www.amazon.com/Best-Sellers-Books-Family-Health/zgbs/books/11367/ref=zg_bs_nav_b_2_20
7,Family Relationships,https://www.amazon.com/Best-Sellers-Books-Family-Relationship/zgbs/books/11370/ref=zg_bs_nav_b_2_20
8,Fertility,https://www.amazon.com/Best-Sellers-Books-Fertility/zgbs/books/68181/ref=zg_bs_nav_b_2_20
9,Humor,https://www.amazon.com/Best-Sellers-Books-Parenting-Families-Humor/zgbs/books/761128/ref=zg_bs_nav_b_2_20
10,Marriage & Adult Relationships,https://www.amazon.com/Best-Sellers-Books-Marriage/zgbs/books/4734/ref=zg_bs_nav_b_2_20
11,Parenting,https://www.amazon.com/Best-Sellers-Books-Parenting/zgbs/books/11401/ref=zg_bs_nav_b_2_20
12,Pregnancy & Childbirth,https://www.amazon.com/Best-Sellers-Books-Pregnancy-Childbirth/zgbs/books/4676/ref=zg_bs_nav_b_2_20
13,Reference,https://www.amazon.com/Best-Sellers-Books-Parenting-Family-Reference/zgbs/books/11434/ref=zg_bs_nav_b_2_20
