,category,URL
0,Automotive,https://www.amazon.com/Best-Sellers-Automotive/zgbs/automotive/ref=zg_bs_unv_auto_1_15710351_1
1,Batteries & Accessories,https://www.amazon.com/Best-Sellers-Automotive-Performance-Batteries-Accessories/zgbs/automotive/15710451/ref=zg_bs_nav_auto_2_15710351
2,Bearings & Seals,https://www.amazon.com/Best-Sellers-Automotive-Performance-Bearings-Seals/zgbs/automotive/15710561/ref=zg_bs_nav_auto_2_15710351
3,"Belts, Hoses & Pulleys",https://www.amazon.com/Best-Sellers-Automotive-Performance-Belts-Hoses-Pulleys/zgbs/automotive/15710591/ref=zg_bs_nav_auto_2_15710351
4,Brake System,https://www.amazon.com/Best-Sellers-Automotive-Performance-Brake-System-Parts/zgbs/automotive/15710921/ref=zg_bs_nav_auto_2_15710351
5,Drive Train,https://www.amazon.com/Best-Sellers-Automotive-Performance-Drive-Train/zgbs/automotive/15711291/ref=zg_bs_nav_auto_2_15710351
6,Emission System,https://www.amazon.com/Best-Sellers-Automotive-Performance-Emission-Systems/zgbs/automotive/15712291/ref=zg_bs_nav_auto_2_15710351
7,Engine Cooling,https://www.amazon.com/Best-Sellers-Automotive-Performance-Engine-Cooling-Systems/zgbs/automotive/15712301/ref=zg_bs_nav_auto_2_15710351
8,Engines & Engine Parts,https://www.amazon.com/Best-Sellers-Automotive-Performance-Engines-Engine-Parts/zgbs/automotive/15712571/ref=zg_bs_nav_auto_2_15710351
9,Exhaust Systems & Parts,https://www.amazon.com/Best-Sellers-Automotive-Exhaust-Systems-Parts/zgbs/automotive/15713821/ref=zg_bs_nav_auto_2_15710351
10,Filters,https://www.amazon.com/Best-Sellers-Automotive-Performance-Filters/zgbs/automotive/15714131/ref=zg_bs_nav_auto_2_15710351
11,Fuel System,https://www.amazon.com/Best-Sellers-Automotive-Performance-Fuel-Systems/zgbs/automotive/15714351/ref=zg_bs_nav_auto_2_15710351
12,Gaskets,https://www.amazon.com/Best-Sellers-Automotive-Performance-Gaskets/zgbs/automotive/15715291/ref=zg_bs_nav_auto_2_15710351
13,Ignition & Electrical,https://www.amazon.com/Best-Sellers-Automotive-Performance-Ignition-Electrical-Systems/zgbs/automotive/2286883011/ref=zg_bs_nav_auto_2_15710351
14,"Shocks, Struts & Suspension",https://www.amazon.com/Best-Sellers-Automotive-Performance-Shocks-Struts-Suspension/zgbs/automotive/2286884011/ref=zg_bs_nav_auto_2_15710351
15,Starters & Alternators,https://www.amazon.com/Best-Sellers-Automotive-Performance-Starters-Alternators/zgbs/automotive/193806011/ref=zg_bs_nav_auto_2_15710351
16,Steering System,https://www.amazon.com/Best-Sellers-Automotive-Performance-Steering-System-Equipment/zgbs/automotive/15717271/ref=zg_bs_nav_auto_2_15710351
17,Switches & Relays,https://www.amazon.com/Best-Sellers-Automotive-Performance-Switches-Relays/zgbs/automotive/15718101/ref=zg_bs_nav_auto_2_15710351
