,category,URL
0,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Garden-Outdoor/zgbs/lawn-garden/ref=zg_bs_unv_lg_1_553844_1
1,Baits & Lures,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pest-Control-Baits-Lures/zgbs/lawn-garden/3737941/ref=zg_bs_nav_lg_2_553844
2,Beneficial Insects,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Beneficial-Pest-Control-Insects/zgbs/lawn-garden/13837441/ref=zg_bs_nav_lg_2_553844
3,Bug Zappers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Bug-Zappers/zgbs/lawn-garden/3738021/ref=zg_bs_nav_lg_2_553844
4,Fly Swatters,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Fly-Swatters/zgbs/lawn-garden/13638746011/ref=zg_bs_nav_lg_2_553844
5,Foggers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pest-Control-Foggers/zgbs/lawn-garden/707166011/ref=zg_bs_nav_lg_2_553844
6,Repellents,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pest-Repellents/zgbs/lawn-garden/3737951/ref=zg_bs_nav_lg_2_553844
7,Sprayers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pest-Control-Sprayers/zgbs/lawn-garden/707165011/ref=zg_bs_nav_lg_2_553844
8,Traps,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pest-Control-Traps/zgbs/lawn-garden/3737901/ref=zg_bs_nav_lg_2_553844
9,Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Pest-Control-Accessories/zgbs/lawn-garden/911952/ref=zg_bs_nav_lg_2_553844
