,category,URL
0,CDs & Vinyl,https://www.amazon.com/best-sellers-music-albums/zgbs/music/ref=zg_bs_unv_m_1_37_1
1,Adult Alternative,https://www.amazon.com/Best-Sellers-Music-Adult-Alternative/zgbs/music/602104/ref=zg_bs_nav_m_2_37
2,Adult Contemporary,https://www.amazon.com/Best-Sellers-Music-Adult-Contemporary/zgbs/music/67167/ref=zg_bs_nav_m_2_37
3,Britpop,https://www.amazon.com/Best-Sellers-Music-Britpop/zgbs/music/67168/ref=zg_bs_nav_m_2_37
4,Dance Pop,https://www.amazon.com/Best-Sellers-Music-Dance-Pop/zgbs/music/63704/ref=zg_bs_nav_m_2_37
5,Easy Listening,https://www.amazon.com/Best-Sellers-Music-Easy-Listening/zgbs/music/67171/ref=zg_bs_nav_m_2_37
6,Euro Pop,https://www.amazon.com/Best-Sellers-Music-Euro-Pop/zgbs/music/604222/ref=zg_bs_nav_m_2_37
7,Korean Pop,https://www.amazon.com/Best-Sellers-Music-Korean-Pop/zgbs/music/5945958011/ref=zg_bs_nav_m_2_37
8,Latin Pop,https://www.amazon.com/Best-Sellers-Music-Latin-Pop/zgbs/music/63852/ref=zg_bs_nav_m_2_37
9,New Wave,https://www.amazon.com/Best-Sellers-Music-New-Wave/zgbs/music/5217/ref=zg_bs_nav_m_2_37
10,Oldies,https://www.amazon.com/Best-Sellers-Music-Pop-Oldies/zgbs/music/284031/ref=zg_bs_nav_m_2_37
11,Singer-Songwriters,https://www.amazon.com/Best-Sellers-Music-Pop-Singer-Songwriters/zgbs/music/67176/ref=zg_bs_nav_m_2_37
12,Soft Rock,https://www.amazon.com/Best-Sellers-Music-Soft-Rock/zgbs/music/67177/ref=zg_bs_nav_m_2_37
13,Teen Pop,https://www.amazon.com/Best-Sellers-Music-Teen-Pop/zgbs/music/302118/ref=zg_bs_nav_m_2_37
14,Tributes,https://www.amazon.com/Best-Sellers-Music-Pop-Tributes/zgbs/music/301404011/ref=zg_bs_nav_m_2_37
15,Vocal Pop,https://www.amazon.com/Best-Sellers-Music-Vocal-Pop/zgbs/music/406646/ref=zg_bs_nav_m_2_37
