,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_172623_1
1,Boomboxes,https://www.amazon.com/Best-Sellers-Electronics-Boomboxes/zgbs/electronics/172633/ref=zg_bs_nav_e_2_172623
2,CB & Two-Way Radios,https://www.amazon.com/Best-Sellers-Electronics-CB-Two-Way-Radios/zgbs/electronics/172654/ref=zg_bs_nav_e_2_172623
3,Cassette Players & Recorders,https://www.amazon.com/Best-Sellers-Electronics-Portable-Cassette-Players-Recorders/zgbs/electronics/172628/ref=zg_bs_nav_e_2_172623
4,Digital Voice Recorders,https://www.amazon.com/Best-Sellers-Electronics-Digital-Voice-Recorders/zgbs/electronics/227758/ref=zg_bs_nav_e_2_172623
5,MP3 & MP4 Players,https://www.amazon.com/Best-Sellers-Electronics-MP3-MP4-Players/zgbs/electronics/1264866011/ref=zg_bs_nav_e_2_172623
6,MP3 & MP4 Player Accessories,https://www.amazon.com/Best-Sellers-Electronics-MP3-MP4-Player-Accessories/zgbs/electronics/290438/ref=zg_bs_nav_e_2_172623
7,Microcassette Recorders,https://www.amazon.com/Best-Sellers-Electronics-Portable-Microcassette-Recorders/zgbs/electronics/172632/ref=zg_bs_nav_e_2_172623
8,Minidisc Players,https://www.amazon.com/Best-Sellers-Electronics-Portable-Minidisc-Players/zgbs/electronics/172631/ref=zg_bs_nav_e_2_172623
9,Portable & Handheld TVs,https://www.amazon.com/Best-Sellers-Electronics-Portable-Handheld-TVs/zgbs/electronics/979930011/ref=zg_bs_nav_e_2_172623
10,Portable CD Players,https://www.amazon.com/Best-Sellers-Electronics-Portable-CD-Players/zgbs/electronics/465608/ref=zg_bs_nav_e_2_172623
11,Portable DVD Players,https://www.amazon.com/Best-Sellers-Electronics-Portable-DVD-Players/zgbs/electronics/172521/ref=zg_bs_nav_e_2_172623
12,Portable Speakers & Docks,https://www.amazon.com/Best-Sellers-Electronics-Portable-Cell-Phone-MP3-Player-Speakers-Audio-Docks/zgbs/electronics/689637011/ref=zg_bs_nav_e_2_172623
13,Radios,https://www.amazon.com/Best-Sellers-Electronics-Portable-Radios/zgbs/electronics/172681/ref=zg_bs_nav_e_2_172623
