,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_16310181_1
1,Bearings,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Bearings/zgbs/industrial/16410991/ref=zg_bs_nav_indust_2_16310181
2,Belts,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Drive-Belts/zgbs/industrial/16411341/ref=zg_bs_nav_indust_2_16310181
3,Brakes & Clutches,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Brakes-Clutches/zgbs/industrial/16411471/ref=zg_bs_nav_indust_2_16310181
4,Chains,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Power-Transmission-Chains/zgbs/industrial/16411631/ref=zg_bs_nav_indust_2_16310181
5,Control Cables & Accessories,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Mechanical-Control-Cables-Accessories/zgbs/industrial/16411671/ref=zg_bs_nav_indust_2_16310181
6,"Couplings, Collars & Universal Joiners",https://www.amazon.com/Best-Sellers-Industrial-Scientific-Couplings-Collars-Universal-Joiners/zgbs/industrial/16411711/ref=zg_bs_nav_indust_2_16310181
7,Enclosures & Cases,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Power-Transmission-Enclosures-Cases/zgbs/industrial/16412021/ref=zg_bs_nav_indust_2_16310181
8,Gear Stock & Pinion Wire,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Gear-Stock-Pinion-Wire/zgbs/industrial/16412061/ref=zg_bs_nav_indust_2_16310181
9,"Gearboxes, Gearheads & Speed Reducers",https://www.amazon.com/Best-Sellers-Industrial-Scientific-Gearboxes-Gearheads-Speed-Reducers/zgbs/industrial/16412071/ref=zg_bs_nav_indust_2_16310181
10,Gears,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Mechanical-Gears/zgbs/industrial/16412081/ref=zg_bs_nav_indust_2_16310181
11,Linear Motion Products,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Linear-Motion-Products/zgbs/industrial/16411201/ref=zg_bs_nav_indust_2_16310181
12,Lubricants & Oils,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Mechanical-Lubricants-Oils/zgbs/industrial/16414281/ref=zg_bs_nav_indust_2_16310181
13,Magnet Wire,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Metal-Alloy-Magnet-Wire/zgbs/industrial/310354011/ref=zg_bs_nav_indust_2_16310181
14,Power Take-Offs (PTOs),https://www.amazon.com/Best-Sellers-Industrial-Scientific-Mechanical-Power-Take-Offs-PTOs/zgbs/industrial/16412221/ref=zg_bs_nav_indust_2_16310181
15,Pulleys & Sheaves,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Mechanical-Pulleys/zgbs/industrial/1258851011/ref=zg_bs_nav_indust_2_16310181
16,Ratchets & Pawls,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Mechanical-Ratchets-Pawls/zgbs/industrial/16412231/ref=zg_bs_nav_indust_2_16310181
17,Roller Chain Sprockets,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Mechanical-Roller-Chain-Sprockets/zgbs/industrial/16411641/ref=zg_bs_nav_indust_2_16310181
18,Shafting,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Mechanical-Shafting/zgbs/industrial/16413661/ref=zg_bs_nav_indust_2_16310181
19,Shock & Vibration Control,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Mechanical-Shock-Vibration-Control/zgbs/industrial/16413711/ref=zg_bs_nav_indust_2_16310181
20,Springs,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Mechanical-Springs/zgbs/industrial/16413811/ref=zg_bs_nav_indust_2_16310181
21,Worm Wheels,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Mechanical-Worm-Wheels/zgbs/industrial/16412241/ref=zg_bs_nav_indust_2_16310181
