,category,URL
0,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_unv_t_1_166309011_2
1,Dressing Up & Costumes,https://www.amazon.com/Best-Sellers-Toys-Games-Dress-Up-Pretend-Play/zgbs/toys-and-games/166316011/ref=zg_bs_unv_t_2_166309011_1
2,Housekeeping,https://www.amazon.com/Best-Sellers-Toys-Games-Toy-Home-Cleaning-Products/zgbs/toys-and-games/166354011/ref=zg_bs_nav_t_3_166309011
3,Kitchen Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Toy-Kitchen-Products/zgbs/toys-and-games/166343011/ref=zg_bs_nav_t_3_166309011
4,Magnetic & Felt Playboards,https://www.amazon.com/Best-Sellers-Toys-Games-Magnetic-Felt-Playboards/zgbs/toys-and-games/166356011/ref=zg_bs_nav_t_3_166309011
5,Medical Kits,https://www.amazon.com/Best-Sellers-Toys-Games-Toy-Medical-Kits/zgbs/toys-and-games/2522100011/ref=zg_bs_nav_t_3_166309011
6,Money & Banking,https://www.amazon.com/Best-Sellers-Toys-Games-Money-Banking-Play/zgbs/toys-and-games/166357011/ref=zg_bs_nav_t_3_166309011
7,Paper & Magnetic Dolls,https://www.amazon.com/Best-Sellers-Toys-Games-Paper-Magnetic-Dolls/zgbs/toys-and-games/2522101011/ref=zg_bs_nav_t_3_166309011
8,Play Tools,https://www.amazon.com/Best-Sellers-Toys-Games-Toy-Construction-Tools/zgbs/toys-and-games/166342011/ref=zg_bs_nav_t_3_166309011
9,Pretend Phones & Smartphones,https://www.amazon.com/Best-Sellers-Toys-Games-Pretend-Phones-Smartphones/zgbs/toys-and-games/18018686011/ref=zg_bs_nav_t_3_166309011
10,Shops & Accessories,https://www.amazon.com/Best-Sellers-Toys-Games-Shopping-Carts-Baskets-Cash-Registers/zgbs/toys-and-games/166353011/ref=zg_bs_nav_t_3_166309011
