,category,URL
0,Apps & Games,https://www.amazon.com/Best-Sellers-Appstore-Android/zgbs/mobile-apps/ref=zg_bs_unv_mas_1_9408449011_1
1,Alarms & Clocks,https://www.amazon.com/Best-Sellers-Appstore-Android-Alarms-Clocks/zgbs/mobile-apps/9408915011/ref=zg_bs_nav_mas_2_9408449011
2,Audio Recording,https://www.amazon.com/Best-Sellers-Appstore-Android-Audio-Recording/zgbs/mobile-apps/9408916011/ref=zg_bs_nav_mas_2_9408449011
3,Business Conferencing,https://www.amazon.com/Best-Sellers-Appstore-Android-Meetings-Conferencing/zgbs/mobile-apps/9408451011/ref=zg_bs_nav_mas_2_9408449011
4,Calculators,https://www.amazon.com/Best-Sellers-Appstore-Android-Calculators/zgbs/mobile-apps/9408919011/ref=zg_bs_nav_mas_2_9408449011
5,Calendars,https://www.amazon.com/Best-Sellers-Appstore-Android-Calendars/zgbs/mobile-apps/9408920011/ref=zg_bs_nav_mas_2_9408449011
6,Cloud Storage,https://www.amazon.com/Best-Sellers-Appstore-Android-Cloud-Storage/zgbs/mobile-apps/9408921011/ref=zg_bs_nav_mas_2_9408449011
7,Contact Management,https://www.amazon.com/Best-Sellers-Appstore-Android-Contact-Management/zgbs/mobile-apps/9408922011/ref=zg_bs_nav_mas_2_9408449011
8,Document Editing,https://www.amazon.com/Best-Sellers-Appstore-Android-Document-Editing/zgbs/mobile-apps/9408452011/ref=zg_bs_nav_mas_2_9408449011
9,Document Viewers,https://www.amazon.com/Best-Sellers-Appstore-Android-Document-Viewers/zgbs/mobile-apps/9408454011/ref=zg_bs_nav_mas_2_9408449011
10,Email Clients,https://www.amazon.com/Best-Sellers-Appstore-Android-Email-Clients/zgbs/mobile-apps/9408468011/ref=zg_bs_nav_mas_2_9408449011
11,File Management,https://www.amazon.com/Best-Sellers-Appstore-Android-File-Management/zgbs/mobile-apps/9408925011/ref=zg_bs_nav_mas_2_9408449011
12,Keyboards,https://www.amazon.com/Best-Sellers-Appstore-Android-Keyboards/zgbs/mobile-apps/9408928011/ref=zg_bs_nav_mas_2_9408449011
13,Notes & Bookmarking,https://www.amazon.com/Best-Sellers-Appstore-Android-Notes-Bookmarking/zgbs/mobile-apps/9408458011/ref=zg_bs_nav_mas_2_9408449011
14,Organizers & Assistants,https://www.amazon.com/Best-Sellers-Appstore-Android-Organizers-Assistants/zgbs/mobile-apps/9408459011/ref=zg_bs_nav_mas_2_9408449011
15,Personal Finance,https://www.amazon.com/Best-Sellers-Appstore-Android-Personal-Finance/zgbs/mobile-apps/9408441011/ref=zg_bs_nav_mas_2_9408449011
16,Presentations,https://www.amazon.com/Best-Sellers-Appstore-Android-Presentations/zgbs/mobile-apps/9408460011/ref=zg_bs_nav_mas_2_9408449011
17,Remote PC Access,https://www.amazon.com/Best-Sellers-Appstore-Android-Remote-PC-Access/zgbs/mobile-apps/9408931011/ref=zg_bs_nav_mas_2_9408449011
18,Scanning & Printing,https://www.amazon.com/Best-Sellers-Appstore-Android-Scanning-Printing/zgbs/mobile-apps/9408932011/ref=zg_bs_nav_mas_2_9408449011
19,Security,https://www.amazon.com/Best-Sellers-Appstore-Android-Security/zgbs/mobile-apps/9408933011/ref=zg_bs_nav_mas_2_9408449011
20,To-Do Lists & Reminders,https://www.amazon.com/Best-Sellers-Appstore-Android-Do-Lists-Reminders/zgbs/mobile-apps/9408461011/ref=zg_bs_nav_mas_2_9408449011
21,Translators,https://www.amazon.com/Best-Sellers-Appstore-Android-Translators/zgbs/mobile-apps/9408938011/ref=zg_bs_nav_mas_2_9408449011
22,Web Browsers,https://www.amazon.com/Best-Sellers-Appstore-Android-Web-Browsers/zgbs/mobile-apps/9408941011/ref=zg_bs_nav_mas_2_9408449011
