,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_8297371011_1
1,Anesthesia,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Anesthesia/zgbs/industrial/8297384011/ref=zg_bs_nav_indust_2_8297371011
2,"Apparel, Gloves & Personal Protective Gear",https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Apparel-Protective-Gear/zgbs/industrial/11322159011/ref=zg_bs_nav_indust_2_8297371011
3,Bonding Agents & Adhesives,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Bonding-Agents-Adhesives/zgbs/industrial/8297385011/ref=zg_bs_nav_indust_2_8297371011
4,Consumables,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Consumables/zgbs/industrial/8297387011/ref=zg_bs_nav_indust_2_8297371011
5,Cosmetics & Restoratives,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Cosmetics-Restoratives/zgbs/industrial/8297386011/ref=zg_bs_nav_indust_2_8297371011
6,Endodontics,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Endodontics/zgbs/industrial/8297389011/ref=zg_bs_nav_indust_2_8297371011
7,Evacuation,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Evacuation/zgbs/industrial/8297390011/ref=zg_bs_nav_indust_2_8297371011
8,Finishing & Polishing,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Finishing-Polishing/zgbs/industrial/8297391011/ref=zg_bs_nav_indust_2_8297371011
9,Implants & Surgical Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Implants-Surgical-Supplies/zgbs/industrial/11322256011/ref=zg_bs_nav_indust_2_8297371011
10,Impression Materials & Accessories,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Impression-Materials-Accessories/zgbs/industrial/8297394011/ref=zg_bs_nav_indust_2_8297371011
11,Infection Control,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Infection-Control/zgbs/industrial/8297395011/ref=zg_bs_nav_indust_2_8297371011
12,Handpieces & Instruments,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Handpieces-Instruments/zgbs/industrial/8297393011/ref=zg_bs_nav_indust_2_8297371011
13,Lab Materials & Small Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Lab-Materials-Small-Equipment/zgbs/industrial/11322221011/ref=zg_bs_nav_indust_2_8297371011
14,Oral Hygiene & Preventive Care,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Oral-Hygiene-Preventive-Care/zgbs/industrial/8297396011/ref=zg_bs_nav_indust_2_8297371011
15,Orthodontic Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Orthodontic-Supplies/zgbs/industrial/8297397011/ref=zg_bs_nav_indust_2_8297371011
16,Radiology & Diagnostic Imaging,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Radiology-Imaging/zgbs/industrial/8297388011/ref=zg_bs_nav_indust_2_8297371011
17,Recordkeeping & Labels,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Medical-Record-Keeping-Labels/zgbs/industrial/8297380011/ref=zg_bs_nav_indust_2_8297371011
18,Treatment Room Furniture & Lighting,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Treatment-Room-Furniture-Lighting/zgbs/industrial/8297392011/ref=zg_bs_nav_indust_2_8297371011
19,Water Treatment & Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dental-Water-Treatment-Equipment/zgbs/industrial/11322307011/ref=zg_bs_nav_indust_2_8297371011
