,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_8297370011_1
1,Apparel,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Medical-Apparel-Gloves/zgbs/industrial/8297372011/ref=zg_bs_nav_indust_2_8297370011
2,Diagnostics & Screening,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Medical-Diagnostics-Screening/zgbs/industrial/8297373011/ref=zg_bs_nav_indust_2_8297370011
3,Durable Medical Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Durable-Medical-Equipment/zgbs/industrial/10287908011/ref=zg_bs_nav_indust_2_8297370011
4,Examination Supplies & Consumables,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Medical-Examination-Supplies-Consumables/zgbs/industrial/8297374011/ref=zg_bs_nav_indust_2_8297370011
5,Fluid Administration & Collection,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Medical-Fluid-Administration-Collection/zgbs/industrial/8297375011/ref=zg_bs_nav_indust_2_8297370011
6,Furniture & Patient Transport,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Medical-Furniture-Patient-Transport/zgbs/industrial/8297376011/ref=zg_bs_nav_indust_2_8297370011
7,Incontinence & Ostomy,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Incontinence-Ostomy-Products/zgbs/industrial/3763261/ref=zg_bs_nav_indust_2_8297370011
8,Instruments & Surgical Tools,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Medical-Instruments-Surgical-Tools/zgbs/industrial/8297377011/ref=zg_bs_nav_indust_2_8297370011
9,Lab Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Medical-Lab-Supplies/zgbs/industrial/18442168011/ref=zg_bs_nav_indust_2_8297370011
10,Occupational & Physical Therapy Aids,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Occupational-Physical-Therapy-Aids/zgbs/industrial/3776531/ref=zg_bs_nav_indust_2_8297370011
11,Patient Monitoring Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Patient-Monitoring-Treatment-Equipment/zgbs/industrial/8297378011/ref=zg_bs_nav_indust_2_8297370011
12,Patient Treatment Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Patient-Treatment-Equipment/zgbs/industrial/11312453011/ref=zg_bs_nav_indust_2_8297370011
13,Radiology & Imaging,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Radiology-Imaging/zgbs/industrial/8297379011/ref=zg_bs_nav_indust_2_8297370011
14,Recordkeeping & Labels,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Medical-Record-Keeping-Labels/zgbs/industrial/8297380011/ref=zg_bs_nav_indust_2_8297370011
15,Respiratory & Anesthesia Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Respiratory-Anesthesia-Equipment/zgbs/industrial/8297381011/ref=zg_bs_nav_indust_2_8297370011
16,Sterilization & Infection Prevention,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Sterilization-Infection-Prevention/zgbs/industrial/8297382011/ref=zg_bs_nav_indust_2_8297370011
17,Surgical Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Surgical-Equipment/zgbs/industrial/11312409011/ref=zg_bs_nav_indust_2_8297370011
18,Surgical Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Surgical-Supplies/zgbs/industrial/11312434011/ref=zg_bs_nav_indust_2_8297370011
19,Wound Care & Dressings,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Wound-Care-Dressings/zgbs/industrial/8297383011/ref=zg_bs_nav_indust_2_8297370011
