,category,URL
0,Automotive,https://www.amazon.com/Best-Sellers-Automotive/zgbs/automotive/ref=zg_bs_unv_auto_1_2258019011_1
1,Cleaning & Maintenance,https://www.amazon.com/Best-Sellers-Automotive-RV-Cleaning-Maintenance/zgbs/automotive/2258022011/ref=zg_bs_nav_auto_2_2258019011
2,Electronics,https://www.amazon.com/Best-Sellers-Automotive-RV-Electronics/zgbs/automotive/2504395011/ref=zg_bs_nav_auto_2_2258019011
3,Exterior,https://www.amazon.com/Best-Sellers-Automotive-RV-Exterior-Parts-Accessories/zgbs/automotive/21571968011/ref=zg_bs_nav_auto_2_2258019011
4,Gas Supply,https://www.amazon.com/Best-Sellers-Automotive-RV-Gas-Supply-Parts-Accessories/zgbs/automotive/21580671011/ref=zg_bs_nav_auto_2_2258019011
5,"Heating, Ventilation & Air Conditioning",https://www.amazon.com/Best-Sellers-Automotive-RV-Heating-Ventilation-Air-Conditioning/zgbs/automotive/155287011/ref=zg_bs_nav_auto_2_2258019011
6,Interior,https://www.amazon.com/Best-Sellers-Automotive-RV-Interior-Parts-Accessories/zgbs/automotive/155302011/ref=zg_bs_nav_auto_2_2258019011
7,Plumbing,https://www.amazon.com/Best-Sellers-Automotive-RV-Plumbing/zgbs/automotive/21571967011/ref=zg_bs_nav_auto_2_2258019011
8,Power & Electrical,https://www.amazon.com/Best-Sellers-Automotive-RV-Power-Electrical-Supplies/zgbs/automotive/2258026011/ref=zg_bs_nav_auto_2_2258019011
9,Safety & Security,https://www.amazon.com/Best-Sellers-Automotive-RV-Safety-Security/zgbs/automotive/21580670011/ref=zg_bs_nav_auto_2_2258019011
