,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_21_1
1,Almanacs & Yearbooks,https://www.amazon.com/Best-Sellers-Books-Almanacs-Yearbooks/zgbs/books/11444/ref=zg_bs_nav_b_2_21
2,Atlases & Maps,https://www.amazon.com/Best-Sellers-Books-Atlases-Maps/zgbs/books/11448/ref=zg_bs_nav_b_2_21
3,Careers,https://www.amazon.com/Best-Sellers-Books-Job-Hunting-Careers/zgbs/books/2572/ref=zg_bs_nav_b_2_21
4,Catalogs & Directories,https://www.amazon.com/Best-Sellers-Books-Catalogs-Directories/zgbs/books/11626/ref=zg_bs_nav_b_2_21
5,Consumer Guides,https://www.amazon.com/Best-Sellers-Books-Consumer-Guides/zgbs/books/11472/ref=zg_bs_nav_b_2_21
6,Dictionaries & Thesauruses,https://www.amazon.com/Best-Sellers-Books-Dictionaries-Thesauruses/zgbs/books/11475/ref=zg_bs_nav_b_2_21
7,Encyclopedias & Subject Guides,https://www.amazon.com/Best-Sellers-Books-Encyclopedias-Subject-Guides/zgbs/books/11713/ref=zg_bs_nav_b_2_21
8,English as a Second Language,https://www.amazon.com/Best-Sellers-Books-English-Second-Language-Instruction/zgbs/books/11823/ref=zg_bs_nav_b_2_21
9,Etiquette,https://www.amazon.com/Best-Sellers-Books-Etiquette-Guides/zgbs/books/11761/ref=zg_bs_nav_b_2_21
10,Foreign Language Study & Reference,https://www.amazon.com/Best-Sellers-Books-Foreign-Language-Reference/zgbs/books/11773/ref=zg_bs_nav_b_2_21
11,Genealogy,https://www.amazon.com/Best-Sellers-Books-Genealogy/zgbs/books/11880/ref=zg_bs_nav_b_2_21
12,Quotations,https://www.amazon.com/Best-Sellers-Books-Quotation-Reference/zgbs/books/11902/ref=zg_bs_nav_b_2_21
13,Survival & Emergency Preparedness,https://www.amazon.com/Best-Sellers-Books-Survival-Emergency-Preparedness/zgbs/books/8975382011/ref=zg_bs_nav_b_2_21
14,Test Preparation,https://www.amazon.com/Best-Sellers-Books-Test-Preparation/zgbs/books/5267710011/ref=zg_bs_nav_b_2_21
15,"Words, Language & Grammar",https://www.amazon.com/Best-Sellers-Books-Words-Language-Grammar/zgbs/books/11970/ref=zg_bs_nav_b_2_21
16,"Writing, Research & Publishing Guides",https://www.amazon.com/Best-Sellers-Books-Writing-Research-Publishing/zgbs/books/5267707011/ref=zg_bs_nav_b_2_21
