,category,URL
0,Magazine Subscriptions,https://www.amazon.com/Best-Sellers-Magazines/zgbs/magazines/ref=zg_bs_unv_mag_1_602362_1
1,Buddhism,https://www.amazon.com/Best-Sellers-Magazines-Buddhism/zgbs/magazines/254116011/ref=zg_bs_nav_mag_2_602362
2,Christianity,https://www.amazon.com/Best-Sellers-Magazines-Christianity/zgbs/magazines/254117011/ref=zg_bs_nav_mag_2_602362
3,Hinduism,https://www.amazon.com/Best-Sellers-Magazines-Hinduism/zgbs/magazines/254162011/ref=zg_bs_nav_mag_2_602362
4,Islam,https://www.amazon.com/Best-Sellers-Magazines-Islam/zgbs/magazines/254163011/ref=zg_bs_nav_mag_2_602362
5,Judaism,https://www.amazon.com/Best-Sellers-Magazines-Judaism/zgbs/magazines/254164011/ref=zg_bs_nav_mag_2_602362
6,New Age,https://www.amazon.com/Best-Sellers-Magazines-New-Age/zgbs/magazines/254166011/ref=zg_bs_nav_mag_2_602362
7,Occult,https://www.amazon.com/Best-Sellers-Magazines-Occult/zgbs/magazines/254167011/ref=zg_bs_nav_mag_2_602362
8,Other Eastern Religions,https://www.amazon.com/Best-Sellers-Magazines-Other-Eastern-Religions/zgbs/magazines/254168011/ref=zg_bs_nav_mag_2_602362
9,Other Practices,https://www.amazon.com/Best-Sellers-Magazines-Other-Practices/zgbs/magazines/254169011/ref=zg_bs_nav_mag_2_602362
