,category,URL
0,Pet Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies/zgbs/pet-supplies/ref=zg_bs_unv_petsupplies_1_2975504011_1
1,Food,https://www.amazon.com/Best-Sellers-Pet-Supplies-Reptile-Amphibian-Food/zgbs/pet-supplies/2975505011/ref=zg_bs_nav_petsupplies_2_2975504011
2,Habitat Décor,https://www.amazon.com/Best-Sellers-Pet-Supplies-Reptile-Amphibian-Habitat-Décor/zgbs/pet-supplies/2975510011/ref=zg_bs_nav_petsupplies_2_2975504011
3,Habitat Lighting,https://www.amazon.com/Best-Sellers-Pet-Supplies-Reptile-Amphibian-Habitat-Lighting/zgbs/pet-supplies/2975515011/ref=zg_bs_nav_petsupplies_2_2975504011
4,Health Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies-Reptile-Amphibian-Health/zgbs/pet-supplies/2975506011/ref=zg_bs_nav_petsupplies_2_2975504011
5,"Terrarium Bedding, Sand & Substrate",https://www.amazon.com/Best-Sellers-Pet-Supplies-Terrarium-Bedding-Sand-Substrate/zgbs/pet-supplies/2975508011/ref=zg_bs_nav_petsupplies_2_2975504011
6,Terrarium Bowls,https://www.amazon.com/Best-Sellers-Pet-Supplies-Terrarium-Bowls/zgbs/pet-supplies/2975509011/ref=zg_bs_nav_petsupplies_2_2975504011
7,Terrarium Covers,https://www.amazon.com/Best-Sellers-Pet-Supplies-Terrarium-Covers/zgbs/pet-supplies/2975517011/ref=zg_bs_nav_petsupplies_2_2975504011
8,Terrarium Heat Lamps & Mats,https://www.amazon.com/Best-Sellers-Pet-Supplies-Terrarium-Heat-Lamps-Mats/zgbs/pet-supplies/2975516011/ref=zg_bs_nav_petsupplies_2_2975504011
9,Terrarium Hygrometers,https://www.amazon.com/Best-Sellers-Pet-Supplies-Terrarium-Hygrometers/zgbs/pet-supplies/3048869011/ref=zg_bs_nav_petsupplies_2_2975504011
10,Terrarium Thermometers,https://www.amazon.com/Best-Sellers-Pet-Supplies-Terrarium-Thermometers/zgbs/pet-supplies/2975519011/ref=zg_bs_nav_petsupplies_2_2975504011
11,Terrariums,https://www.amazon.com/Best-Sellers-Pet-Supplies-Reptile-Terrariums/zgbs/pet-supplies/2975518011/ref=zg_bs_nav_petsupplies_2_2975504011
