,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_8615538011_1
1,Anti-Theft Equipment,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Retail-Anti-Theft-Equipment/zgbs/industrial/8615539011/ref=zg_bs_nav_indust_2_8615538011
2,Clothing Forms,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Clothing-Forms/zgbs/industrial/8615559011/ref=zg_bs_nav_indust_2_8615538011
3,Mannequins,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Retail-Mannequins/zgbs/industrial/8615560011/ref=zg_bs_nav_indust_2_8615538011
4,Point-of-Sale (POS) Equipment & Accessories,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Point-Sale-POS-Equipment-Accessories/zgbs/industrial/18715221011/ref=zg_bs_nav_indust_2_8615538011
5,Pricing Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Retail-Pricing-Supplies/zgbs/industrial/8615542011/ref=zg_bs_nav_indust_2_8615538011
6,Retail Bags & Boxes,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Retail-Bags-Boxes/zgbs/industrial/8615540011/ref=zg_bs_nav_indust_2_8615538011
7,Retail Displays & Racks,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Retail-Displays-Racks/zgbs/industrial/8615543011/ref=zg_bs_nav_indust_2_8615538011
8,Retail Shelving & Wall Displays,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Retail-Shelving-Wall-Displays/zgbs/industrial/8615544011/ref=zg_bs_nav_indust_2_8615538011
9,Shopping Baskets & Carts,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Retail-Shopping-Baskets-Carts/zgbs/industrial/8615548011/ref=zg_bs_nav_indust_2_8615538011
10,Store Signs & Displays,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Store-Signs-Displays/zgbs/industrial/2747494011/ref=zg_bs_nav_indust_2_8615538011
