,category,URL
0,CDs & Vinyl,https://www.amazon.com/best-sellers-music-albums/zgbs/music/ref=zg_bs_unv_m_1_40_1
1,Blues Rock,https://www.amazon.com/Best-Sellers-Music-Blues-Rock/zgbs/music/67203/ref=zg_bs_nav_m_2_40
2,Country Rock,https://www.amazon.com/Best-Sellers-Music-Country-Rock/zgbs/music/526260/ref=zg_bs_nav_m_2_40
3,Folk Rock,https://www.amazon.com/Best-Sellers-Music-Folk-Rock/zgbs/music/67205/ref=zg_bs_nav_m_2_40
4,Funk Rock,https://www.amazon.com/Best-Sellers-Music-Funk-Rock/zgbs/music/408260/ref=zg_bs_nav_m_2_40
5,Hard Rock,https://www.amazon.com/Best-Sellers-Music-Hard-Rock/zgbs/music/468414/ref=zg_bs_nav_m_2_40
6,Jam Bands,https://www.amazon.com/Best-Sellers-Music-Jam-Bands/zgbs/music/225374/ref=zg_bs_nav_m_2_40
7,Latin Rock,https://www.amazon.com/Best-Sellers-Music-Latin-Rock/zgbs/music/301415011/ref=zg_bs_nav_m_2_40
8,Oldies & Retro,https://www.amazon.com/Best-Sellers-Music-Oldies-Retro/zgbs/music/67224/ref=zg_bs_nav_m_2_40
9,Power Pop,https://www.amazon.com/Best-Sellers-Music-Power-Pop/zgbs/music/599862/ref=zg_bs_nav_m_2_40
10,Progressive,https://www.amazon.com/Best-Sellers-Music-Progressive-Rock/zgbs/music/292809/ref=zg_bs_nav_m_2_40
11,Rap Rock,https://www.amazon.com/Best-Sellers-Music-Rap-Rock/zgbs/music/408262/ref=zg_bs_nav_m_2_40
12,Rock Guitarists,https://www.amazon.com/Best-Sellers-Music-Guitar-Rock/zgbs/music/301543/ref=zg_bs_nav_m_2_40
13,Roots Rock,https://www.amazon.com/Best-Sellers-Music-Roots-Rock/zgbs/music/599860/ref=zg_bs_nav_m_2_40
14,Singer-Songwriters,https://www.amazon.com/Best-Sellers-Music-Rock-Singer-Songwriters/zgbs/music/491288/ref=zg_bs_nav_m_2_40
