,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_23_1
1,Action & Adventure,https://www.amazon.com/Best-Sellers-Books-Action-Adventure-Romance/zgbs/books/11764651011/ref=zg_bs_nav_b_2_23
2,Black & African American,https://www.amazon.com/Best-Sellers-Books-Black-African-American-Romance-Fiction/zgbs/books/9059879011/ref=zg_bs_nav_b_2_23
3,Anthologies,https://www.amazon.com/Best-Sellers-Books-Romance-Anthologies/zgbs/books/12827/ref=zg_bs_nav_b_2_23
4,Billionaires,https://www.amazon.com/Best-Sellers-Books-Billionaire-Romance/zgbs/books/17919110011/ref=zg_bs_nav_b_2_23
5,Clean & Wholesome,https://www.amazon.com/Best-Sellers-Books-Clean-Wholesome-Romance/zgbs/books/11764652011/ref=zg_bs_nav_b_2_23
6,Contemporary,https://www.amazon.com/Best-Sellers-Books-Contemporary-Romance/zgbs/books/13354/ref=zg_bs_nav_b_2_23
7,Erotica,https://www.amazon.com/Best-Sellers-Books-Erotic-Literature-Fiction/zgbs/books/10141/ref=zg_bs_nav_b_2_23
8,Fantasy,https://www.amazon.com/Best-Sellers-Books-Fantasy-Romance/zgbs/books/7654406011/ref=zg_bs_nav_b_2_23
9,Gothic,https://www.amazon.com/Best-Sellers-Books-Gothic-Romances/zgbs/books/276240011/ref=zg_bs_nav_b_2_23
10,Historical,https://www.amazon.com/Best-Sellers-Books-Historical-Romances/zgbs/books/13371/ref=zg_bs_nav_b_2_23
11,Holidays,https://www.amazon.com/Best-Sellers-Books-Holiday-Romance/zgbs/books/10387326011/ref=zg_bs_nav_b_2_23
12,Inspirational,https://www.amazon.com/Best-Sellers-Books-Christian-Romance/zgbs/books/332930011/ref=zg_bs_nav_b_2_23
13,LGBTQ+,https://www.amazon.com/Best-Sellers-Books-LGBTQ-Romance/zgbs/books/13922579011/ref=zg_bs_nav_b_2_23
14,Medical,https://www.amazon.com/Best-Sellers-Books-Medical-Romance/zgbs/books/17745835011/ref=zg_bs_nav_b_2_23
15,Military,https://www.amazon.com/Best-Sellers-Books-Military-Romance/zgbs/books/8373231011/ref=zg_bs_nav_b_2_23
16,Multicultural,https://www.amazon.com/Best-Sellers-Books-Multicultural-Romances/zgbs/books/68262/ref=zg_bs_nav_b_2_23
17,New Adult & College,https://www.amazon.com/Best-Sellers-Books-New-Adult-College-Romance/zgbs/books/8373230011/ref=zg_bs_nav_b_2_23
18,Paranormal,https://www.amazon.com/Best-Sellers-Books-Paranormal-Romance/zgbs/books/13356/ref=zg_bs_nav_b_2_23
19,Regency,https://www.amazon.com/Best-Sellers-Books-Regency-Romances/zgbs/books/746228/ref=zg_bs_nav_b_2_23
20,Romantic Comedy,https://www.amazon.com/Best-Sellers-Books-Romantic-Comedy/zgbs/books/9059885011/ref=zg_bs_nav_b_2_23
21,Romantic Suspense,https://www.amazon.com/Best-Sellers-Books-Romantic-Suspense/zgbs/books/13389/ref=zg_bs_nav_b_2_23
22,Science Fiction,https://www.amazon.com/Best-Sellers-Books-Science-Fiction-Romance/zgbs/books/7654408011/ref=zg_bs_nav_b_2_23
23,Sports,https://www.amazon.com/Best-Sellers-Books-Sports-Romance/zgbs/books/10387327011/ref=zg_bs_nav_b_2_23
24,Time Travel,https://www.amazon.com/Best-Sellers-Books-Time-Travel-Romances/zgbs/books/13434/ref=zg_bs_nav_b_2_23
25,Vampires,https://www.amazon.com/Best-Sellers-Books-Vampire-Romances/zgbs/books/16399311/ref=zg_bs_nav_b_2_23
26,Werewolves & Shifters,https://www.amazon.com/Best-Sellers-Books-Werewolf-Shifter-Romance/zgbs/books/13922582011/ref=zg_bs_nav_b_2_23
27,Western,https://www.amazon.com/Best-Sellers-Books-Western-Romances/zgbs/books/271584011/ref=zg_bs_nav_b_2_23
28,Writing,https://www.amazon.com/Best-Sellers-Books-Romance-Fiction-Writing-Reference/zgbs/books/12036/ref=zg_bs_nav_b_2_23
