,category,URL
0,Computers & Accessories,https://www.amazon.com/Best-Sellers-Computers-Accessories/zgbs/pc/ref=zg_bs_unv_pc_1_300189_2
1,Networking Products,https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking/zgbs/electronics/172504/ref=zg_bs_unv_pc_2_300189_1
2,Device Servers,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Networking-Device-Servers/zgbs/pc/13983751/ref=zg_bs_nav_pc_3_300189
3,Hubs,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Networking-Hubs/zgbs/pc/281413/ref=zg_bs_nav_pc_3_300189
4,Mobile Broadband Devices,https://www.amazon.com/Best-Sellers-Computers-Accessories-Mobile-Broadband-Devices/zgbs/pc/5005583011/ref=zg_bs_nav_pc_3_300189
5,Modem Router Combos,https://www.amazon.com/Best-Sellers-Computers-Accessories-Modem-Router-Combos/zgbs/pc/17442743011/ref=zg_bs_nav_pc_3_300189
6,Modems,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Networking-Modems/zgbs/pc/284715/ref=zg_bs_nav_pc_3_300189
7,Network Adapters,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Network-Adapters/zgbs/pc/490499011/ref=zg_bs_nav_pc_3_300189
8,Network Antennas,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Networking-Antennas/zgbs/pc/3015438011/ref=zg_bs_nav_pc_3_300189
9,Network Attached Storage,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Network-Attached-Storage/zgbs/pc/13436301/ref=zg_bs_nav_pc_3_300189
10,Network Transceivers,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Networking-Transceivers/zgbs/pc/537316/ref=zg_bs_nav_pc_3_300189
11,Print Servers,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Networking-Print-Servers/zgbs/pc/13983761/ref=zg_bs_nav_pc_3_300189
12,Repeaters,https://www.amazon.com/Best-Sellers-Computers-Accessories-Repeaters/zgbs/pc/3015439011/ref=zg_bs_nav_pc_3_300189
13,Streaming Media Players,https://www.amazon.com/Best-Sellers-Computers-Accessories-Streaming-Media-Players/zgbs/pc/13447451/ref=zg_bs_nav_pc_3_300189
14,Switches,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Networking-Switches/zgbs/pc/281414/ref=zg_bs_nav_pc_3_300189
15,Whole Home & Mesh Wi-Fi Systems,https://www.amazon.com/Best-Sellers-Computers-Accessories-Whole-Home-Mesh-Wi-Fi-Systems/zgbs/pc/17935294011/ref=zg_bs_nav_pc_3_300189
16,Wireless Access Points,https://www.amazon.com/Best-Sellers-Computers-Accessories-Computer-Networking-Wireless-Access-Points/zgbs/pc/1194486/ref=zg_bs_nav_pc_3_300189
