,category,URL
0,Tools & Home Improvement,https://www.amazon.com/Best-Sellers-Home-Improvement/zgbs/hi/ref=zg_bs_unv_hi_1_3180231_1
1,Child Safety,https://www.amazon.com/Best-Sellers-Home-Improvement-Child-Safety-Equipment/zgbs/hi/7483665011/ref=zg_bs_nav_hi_2_3180231
2,Emergency Kits & Supplies,https://www.amazon.com/Best-Sellers-Home-Improvement-Emergency-Kits-Supplies/zgbs/hi/7483666011/ref=zg_bs_nav_hi_2_3180231
3,Facility Safety Products,https://www.amazon.com/Best-Sellers-Home-Improvement-Facility-Safety-Products/zgbs/hi/7459506011/ref=zg_bs_nav_hi_2_3180231
4,Fire Safety,https://www.amazon.com/Best-Sellers-Home-Improvement-Fire-Safety/zgbs/hi/486547011/ref=zg_bs_nav_hi_2_3180231
5,First Aid Kits,https://www.amazon.com/Best-Sellers-Home-Improvement-Workplace-First-Aid-Kits/zgbs/hi/3465341/ref=zg_bs_nav_hi_2_3180231
6,Flashlights,https://www.amazon.com/Best-Sellers-Home-Improvement-Flashlights/zgbs/hi/3180261/ref=zg_bs_nav_hi_2_3180231
7,Home Security Systems,https://www.amazon.com/Best-Sellers-Home-Improvement-Security-Surveillance-Systems/zgbs/hi/7459508011/ref=zg_bs_nav_hi_2_3180231
8,Household Sensors & Alarms,https://www.amazon.com/Best-Sellers-Home-Improvement-Household-Sensors-Alarms/zgbs/hi/486548011/ref=zg_bs_nav_hi_2_3180231
9,Lockout & Tagout Products,https://www.amazon.com/Best-Sellers-Home-Improvement-Lockout-Tagout-Products/zgbs/hi/1265106011/ref=zg_bs_nav_hi_2_3180231
10,Padlocks & Hasps,https://www.amazon.com/Best-Sellers-Home-Improvement-Padlocks-Hasps/zgbs/hi/511378/ref=zg_bs_nav_hi_2_3180231
11,Personal Defense Equipment,https://www.amazon.com/Best-Sellers-Home-Improvement-Personal-Defense-Equipment/zgbs/hi/3222127011/ref=zg_bs_nav_hi_2_3180231
12,Personal Protective Equipment,https://www.amazon.com/Best-Sellers-Home-Improvement-Personal-Protective-Equipment-Safety-Gear/zgbs/hi/486555011/ref=zg_bs_nav_hi_2_3180231
13,Safes & Safe Accessories,https://www.amazon.com/Best-Sellers-Home-Improvement-Safes-Safe-Accessories/zgbs/hi/3180371/ref=zg_bs_nav_hi_2_3180231
