,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_75_1
1,Agricultural Sciences,https://www.amazon.com/Best-Sellers-Books-Agricultural-Science/zgbs/books/226680/ref=zg_bs_nav_b_2_75
2,Archaeology,https://www.amazon.com/Best-Sellers-Books-Archaeology/zgbs/books/11242/ref=zg_bs_nav_b_2_75
3,Astronomy & Space Science,https://www.amazon.com/Best-Sellers-Books-Astronomy-Space-Science/zgbs/books/13439/ref=zg_bs_nav_b_2_75
4,Behavioral Sciences,https://www.amazon.com/Best-Sellers-Books-Behavioral-Sciences/zgbs/books/226685/ref=zg_bs_nav_b_2_75
5,Biological Sciences,https://www.amazon.com/Best-Sellers-Books-Biological-Sciences/zgbs/books/13469/ref=zg_bs_nav_b_2_75
6,Chemistry,https://www.amazon.com/Best-Sellers-Books-Chemistry/zgbs/books/13570/ref=zg_bs_nav_b_2_75
7,Earth Sciences,https://www.amazon.com/Best-Sellers-Books-Earth-Sciences/zgbs/books/13592/ref=zg_bs_nav_b_2_75
8,Environment,https://www.amazon.com/Best-Sellers-Books-Environment-Nature/zgbs/books/14459/ref=zg_bs_nav_b_2_75
9,Essays & Commentary,https://www.amazon.com/Best-Sellers-Books-Science-Essays-Commentary/zgbs/books/3045861/ref=zg_bs_nav_b_2_75
10,Evolution,https://www.amazon.com/Best-Sellers-Books-Evolution/zgbs/books/13824/ref=zg_bs_nav_b_2_75
11,"Experiments, Instruments & Measurement",https://www.amazon.com/Best-Sellers-Books-Science-Experiments-Measurement/zgbs/books/13837/ref=zg_bs_nav_b_2_75
12,History & Philosophy,https://www.amazon.com/Best-Sellers-Books-History-Philosophy-Science/zgbs/books/13871/ref=zg_bs_nav_b_2_75
13,Mathematics,https://www.amazon.com/Best-Sellers-Books-Mathematics/zgbs/books/13884/ref=zg_bs_nav_b_2_75
14,Nature & Ecology,https://www.amazon.com/Best-Sellers-Books-Nature-Ecology/zgbs/books/14452/ref=zg_bs_nav_b_2_75
15,Physics,https://www.amazon.com/Best-Sellers-Books-Physics/zgbs/books/14545/ref=zg_bs_nav_b_2_75
16,Reference,https://www.amazon.com/Best-Sellers-Books-Scientific-Reference/zgbs/books/14603/ref=zg_bs_nav_b_2_75
17,Research,https://www.amazon.com/Best-Sellers-Books-Scientific-Research/zgbs/books/13640/ref=zg_bs_nav_b_2_75
18,Science for Kids,https://www.amazon.com/Best-Sellers-Books-Science-Kids/zgbs/books/13642/ref=zg_bs_nav_b_2_75
19,Technology,https://www.amazon.com/Best-Sellers-Books-Technology/zgbs/books/14631/ref=zg_bs_nav_b_2_75
