,category,URL
0,Magazine Subscriptions,https://www.amazon.com/Best-Sellers-Magazines/zgbs/magazines/ref=zg_bs_unv_mag_1_602364_1
1,Agricultural Sciences,https://www.amazon.com/Best-Sellers-Magazines-Agricultural-Sciences/zgbs/magazines/16572867011/ref=zg_bs_nav_mag_2_602364
2,Archaeology,https://www.amazon.com/Best-Sellers-Magazines-Archaeology/zgbs/magazines/254173011/ref=zg_bs_nav_mag_2_602364
3,Astronomy,https://www.amazon.com/Best-Sellers-Magazines-Astronomy/zgbs/magazines/254174011/ref=zg_bs_nav_mag_2_602364
4,Behavioral Sciences,https://www.amazon.com/Best-Sellers-Magazines-Behavioral-Science/zgbs/magazines/254187011/ref=zg_bs_nav_mag_2_602364
5,Biological Sciences,https://www.amazon.com/Best-Sellers-Magazines-Biological-Sciences/zgbs/magazines/254192011/ref=zg_bs_nav_mag_2_602364
6,Chemistry,https://www.amazon.com/Best-Sellers-Magazines-Chemistry/zgbs/magazines/254270011/ref=zg_bs_nav_mag_2_602364
7,Earth Sciences,https://www.amazon.com/Best-Sellers-Magazines-Earth-Sciences/zgbs/magazines/254314011/ref=zg_bs_nav_mag_2_602364
8,Essays & Commentary,https://www.amazon.com/Best-Sellers-Magazines-Science-Nature-Essays-Commentary/zgbs/magazines/254396011/ref=zg_bs_nav_mag_2_602364
9,"Experiments, Instruments & Measurement",https://www.amazon.com/Best-Sellers-Magazines-Science-Experiments-Measurement/zgbs/magazines/254405011/ref=zg_bs_nav_mag_2_602364
10,History,https://www.amazon.com/Best-Sellers-Magazines-History/zgbs/magazines/16543041011/ref=zg_bs_nav_mag_2_602364
11,Mathematics,https://www.amazon.com/Best-Sellers-Magazines-Mathematics/zgbs/magazines/254428011/ref=zg_bs_nav_mag_2_602364
12,Nature & Ecology,https://www.amazon.com/Best-Sellers-Magazines-Nature-Ecology/zgbs/magazines/602356/ref=zg_bs_nav_mag_2_602364
13,Philosophy,https://www.amazon.com/Best-Sellers-Magazines-Philosophy/zgbs/magazines/16542977011/ref=zg_bs_nav_mag_2_602364
14,Physics,https://www.amazon.com/Best-Sellers-Magazines-Physics/zgbs/magazines/254527011/ref=zg_bs_nav_mag_2_602364
15,Social Sciences,https://www.amazon.com/Best-Sellers-Magazines-Social-Science/zgbs/magazines/1039940/ref=zg_bs_nav_mag_2_602364
16,Technology,https://www.amazon.com/Best-Sellers-Magazines-Science-Nature-Technology/zgbs/magazines/254604011/ref=zg_bs_nav_mag_2_602364
