,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_393459011_1
1,Charts & Posters,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Science-Education-Charts-Posters/zgbs/industrial/6651003011/ref=zg_bs_nav_indust_2_393459011
2,Early Learning Classroom Supplies,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Early-Childhood-Education-Materials/zgbs/industrial/12900351/ref=zg_bs_nav_indust_2_393459011
3,Fossils,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Science-Fossils/zgbs/industrial/6651011011/ref=zg_bs_nav_indust_2_393459011
4,Insects & Insect Kits,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Science-Education-Insect-Kits/zgbs/industrial/6651004011/ref=zg_bs_nav_indust_2_393459011
5,Magnets & Magnetism Kits,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Science-Education-Magnets-Magnetism-Kits/zgbs/industrial/6651005011/ref=zg_bs_nav_indust_2_393459011
6,Measurement Kits,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Science-Classroom-Measurement-Kits/zgbs/industrial/6651010011/ref=zg_bs_nav_indust_2_393459011
7,Microscope Sample Slides,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Microscope-Sample-Slides/zgbs/industrial/6651008011/ref=zg_bs_nav_indust_2_393459011
8,Microscopes,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Microscopes/zgbs/industrial/499170/ref=zg_bs_nav_indust_2_393459011
9,Model Animals,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Animal-Anatomical-Models/zgbs/industrial/6651006011/ref=zg_bs_nav_indust_2_393459011
10,Optics,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Science-Classroom-Optics-Kits/zgbs/industrial/6651007011/ref=zg_bs_nav_indust_2_393459011
11,Scales & Balances,https://www.amazon.com/Best-Sellers-Industrial-Scientific-School-Scales/zgbs/industrial/12900271/ref=zg_bs_nav_indust_2_393459011
12,Specimens,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Science-Classroom-Specimens/zgbs/industrial/6651009011/ref=zg_bs_nav_indust_2_393459011
13,Telescopes,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Telescopes/zgbs/industrial/281063/ref=zg_bs_nav_indust_2_393459011
