,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_13679381_1
1,Advent Calendars,https://www.amazon.com/Best-Sellers-Home-Kitchen-Advent-Calendars/zgbs/home-garden/3256921011/ref=zg_bs_nav_hg_2_13679381
2,Artificial Snow,https://www.amazon.com/Best-Sellers-Home-Kitchen-Artificial-Snow/zgbs/home-garden/15704031/ref=zg_bs_nav_hg_2_13679381
3,Bows & Ribbons,https://www.amazon.com/Best-Sellers-Home-Kitchen-Decorative-Seasonal-Bows-Ribbons/zgbs/home-garden/17296066011/ref=zg_bs_nav_hg_2_13679381
4,Candleholders,https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Candleholders/zgbs/home-garden/15704041/ref=zg_bs_nav_hg_2_13679381
5,Candles,https://www.amazon.com/Best-Sellers-Home-Kitchen-Seasonal-Celebration-Candles/zgbs/home-garden/3734581/ref=zg_bs_nav_hg_2_13679381
6,Collectible Buildings & Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Collectible-Buildings/zgbs/home-garden/1258670011/ref=zg_bs_nav_hg_2_13679381
7,Collectible Figurines,https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Collectible-Figurines/zgbs/home-garden/1258672011/ref=zg_bs_nav_hg_2_13679381
8,Nativity,https://www.amazon.com/Best-Sellers-Home-Kitchen-Nativity-Sets-Figures/zgbs/home-garden/702628011/ref=zg_bs_nav_hg_2_13679381
9,Nutcrackers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Nutcrackers/zgbs/home-garden/15704431/ref=zg_bs_nav_hg_2_13679381
10,Ornament Hooks,https://www.amazon.com/Best-Sellers-Home-Kitchen-Ornament-Hooks/zgbs/home-garden/16175652011/ref=zg_bs_nav_hg_2_13679381
11,Ornaments,https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Ornaments/zgbs/home-garden/12659354011/ref=zg_bs_nav_hg_2_13679381
12,Outdoor Holiday Décor,https://www.amazon.com/Best-Sellers-Home-Kitchen-Outdoor-Holiday-Decorations/zgbs/home-garden/285033011/ref=zg_bs_nav_hg_2_13679381
13,Seasonal Lighting,https://www.amazon.com/Best-Sellers-Home-Kitchen-Seasonal-Lighting/zgbs/home-garden/3736751/ref=zg_bs_nav_hg_2_13679381
14,Snow Globes,https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Snow-Globes/zgbs/home-garden/15704441/ref=zg_bs_nav_hg_2_13679381
15,Stockings & Holders,https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Stockings-Holders/zgbs/home-garden/13744821/ref=zg_bs_nav_hg_2_13679381
16,Tinsel,https://www.amazon.com/Best-Sellers-Home-Kitchen-Seasonal-Tinsel/zgbs/home-garden/17296068011/ref=zg_bs_nav_hg_2_13679381
17,Tree Care & Watering,https://www.amazon.com/Best-Sellers-Home-Kitchen-Holiday-Tree-Care-Watering/zgbs/home-garden/17296069011/ref=zg_bs_nav_hg_2_13679381
18,Tree Skirts,https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Tree-Skirts/zgbs/home-garden/15704451/ref=zg_bs_nav_hg_2_13679381
19,Tree Stands,https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Tree-Stands/zgbs/home-garden/13350211/ref=zg_bs_nav_hg_2_13679381
20,Tree Toppers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Tree-Toppers/zgbs/home-garden/13744831/ref=zg_bs_nav_hg_2_13679381
21,Tree Trays & Mats,https://www.amazon.com/Best-Sellers-Home-Kitchen-Holiday-Tree-Trays-Mats/zgbs/home-garden/17296071011/ref=zg_bs_nav_hg_2_13679381
22,Trees,https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Trees/zgbs/home-garden/13679421/ref=zg_bs_nav_hg_2_13679381
23,Wreath Hangers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wreath-Hangers/zgbs/home-garden/16175650011/ref=zg_bs_nav_hg_2_13679381
24,"Wreaths, Garlands & Swags",https://www.amazon.com/Best-Sellers-Home-Kitchen-Christmas-Wreaths-Garlands-Swags/zgbs/home-garden/13679411/ref=zg_bs_nav_hg_2_13679381
