,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_11036071_2
1,Computers & Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computers-Accessories/zgbs/electronics/541966/ref=zg_bs_unv_e_2_11036071_1
2,Computer Accessories & Peripherals,https://www.amazon.com/Best-Sellers-Electronics-Computer-Accessories-Peripherals/zgbs/electronics/172456/ref=zg_bs_nav_e_3_11036071
3,Computer Components,https://www.amazon.com/Best-Sellers-Electronics-Computer-Components/zgbs/electronics/193870011/ref=zg_bs_nav_e_3_11036071
4,Computers & Tablets,https://www.amazon.com/Best-Sellers-Electronics-Computers-Tablets/zgbs/electronics/13896617011/ref=zg_bs_nav_e_3_11036071
5,Data Storage,https://www.amazon.com/Best-Sellers-Electronics-Data-Storage/zgbs/electronics/1292110011/ref=zg_bs_nav_e_3_11036071
6,Laptop Accessories,https://www.amazon.com/Best-Sellers-Electronics-Laptop-Accessories/zgbs/electronics/3011391011/ref=zg_bs_nav_e_3_11036071
7,Monitors,https://www.amazon.com/Best-Sellers-Electronics-Computer-Monitors/zgbs/electronics/1292115011/ref=zg_bs_nav_e_3_11036071
8,Networking Products,https://www.amazon.com/Best-Sellers-Electronics-Computer-Networking/zgbs/electronics/172504/ref=zg_bs_nav_e_3_11036071
9,Power Strips & Surge Protectors,https://www.amazon.com/Best-Sellers-Electronics-Power-Strips-Surge-Protectors/zgbs/electronics/17854127011/ref=zg_bs_nav_e_3_11036071
10,Printers,https://www.amazon.com/Best-Sellers-Electronics-Computer-Printers/zgbs/electronics/172635/ref=zg_bs_nav_e_3_11036071
11,Scanners,https://www.amazon.com/Best-Sellers-Electronics-Computer-Scanners/zgbs/electronics/172584/ref=zg_bs_nav_e_3_11036071
12,Tablet Accessories,https://www.amazon.com/Best-Sellers-Electronics-Tablet-Accessories/zgbs/electronics/2348628011/ref=zg_bs_nav_e_3_11036071
13,Tablet Replacement Parts,https://www.amazon.com/Best-Sellers-Electronics-Tablet-Replacement-Parts/zgbs/electronics/15524379011/ref=zg_bs_nav_e_3_11036071
14,Warranties & Services,https://www.amazon.com/Best-Sellers-Electronics-Computer-Warranties-Services/zgbs/electronics/16285851/ref=zg_bs_nav_e_3_11036071
