,category,URL
0,"Arts, Crafts & Sewing",https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing/zgbs/arts-crafts/ref=zg_bs_unv_ac_1_12899091_1
1,Embroidery Machines,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Embroidery-Machines/zgbs/arts-crafts/12899111/ref=zg_bs_nav_ac_2_12899091
2,Industrial Machines,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Industrial-Machines/zgbs/arts-crafts/11268062011/ref=zg_bs_nav_ac_2_12899091
3,Quilting,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Quilting-Supplies/zgbs/arts-crafts/12897321/ref=zg_bs_nav_ac_2_12899091
4,Serger & Overlock Machine Accessories,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Serger-Overlock-Machine-Accessories/zgbs/arts-crafts/7756234011/ref=zg_bs_nav_ac_2_12899091
5,Sergers & Overlock Machines,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Sergers-Overlock-Machines/zgbs/arts-crafts/12899441/ref=zg_bs_nav_ac_2_12899091
6,Sewing Machine Parts & Accessories,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Machine-Accessories/zgbs/arts-crafts/262697011/ref=zg_bs_nav_ac_2_12899091
7,Sewing Machines,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Machines/zgbs/arts-crafts/12899461/ref=zg_bs_nav_ac_2_12899091
8,Sewing Notions & Supplies,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Notions-Supplies/zgbs/arts-crafts/262690011/ref=zg_bs_nav_ac_2_12899091
9,Sewing Patterns & Templates,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Patterns-Templates/zgbs/arts-crafts/8090971011/ref=zg_bs_nav_ac_2_12899091
10,Sewing Project Kits,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Project-Kits/zgbs/arts-crafts/12899531/ref=zg_bs_nav_ac_2_12899091
11,Storage & Furniture,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Storage-Furniture/zgbs/arts-crafts/8090725011/ref=zg_bs_nav_ac_2_12899091
12,Thread & Floss,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Thread-Floss/zgbs/arts-crafts/12897331/ref=zg_bs_nav_ac_2_12899091
13,Trim & Embellishments,https://www.amazon.com/Best-Sellers-Arts-Crafts-Sewing-Trim-Embellishments/zgbs/arts-crafts/12899361/ref=zg_bs_nav_ac_2_12899091
