,category,URL
0,Pet Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies/zgbs/pet-supplies/ref=zg_bs_unv_petsupplies_1_2975520011_1
1,Food,https://www.amazon.com/Best-Sellers-Pet-Supplies-Small-Animal-Food/zgbs/pet-supplies/2975528011/ref=zg_bs_nav_petsupplies_2_2975520011
2,Treats,https://www.amazon.com/Best-Sellers-Pet-Supplies-Small-Animal-Treats/zgbs/pet-supplies/3048877011/ref=zg_bs_nav_petsupplies_2_2975520011
3,Carriers,https://www.amazon.com/Best-Sellers-Pet-Supplies-Small-Animal-Carriers/zgbs/pet-supplies/2975521011/ref=zg_bs_nav_petsupplies_2_2975520011
4,"Collars, Harnesses & Leashes",https://www.amazon.com/Best-Sellers-Pet-Supplies-Small-Animal-Collars-Leashes-Harnesses/zgbs/pet-supplies/2975522011/ref=zg_bs_nav_petsupplies_2_2975520011
5,Exercise Wheels,https://www.amazon.com/Best-Sellers-Pet-Supplies-Small-Animal-Exercise-Wheels/zgbs/pet-supplies/2975523011/ref=zg_bs_nav_petsupplies_2_2975520011
6,Feeding & Watering Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies-Small-Animal-Feeding-Watering/zgbs/pet-supplies/2975524011/ref=zg_bs_nav_petsupplies_2_2975520011
7,Grooming,https://www.amazon.com/Best-Sellers-Pet-Supplies-Small-Animal-Grooming/zgbs/pet-supplies/2975529011/ref=zg_bs_nav_petsupplies_2_2975520011
8,Health Supplies,https://www.amazon.com/Best-Sellers-Pet-Supplies-Small-Animal-Health/zgbs/pet-supplies/2975534011/ref=zg_bs_nav_petsupplies_2_2975520011
9,Houses & Habitats,https://www.amazon.com/Best-Sellers-Pet-Supplies-Small-Animal-Houses-Habitats/zgbs/pet-supplies/2975535011/ref=zg_bs_nav_petsupplies_2_2975520011
10,Odor & Stain Removers,https://www.amazon.com/Best-Sellers-Pet-Supplies-Small-Animal-Odor-Stain-Removers/zgbs/pet-supplies/2975539011/ref=zg_bs_nav_petsupplies_2_2975520011
11,Toys,https://www.amazon.com/Best-Sellers-Pet-Supplies-Small-Animal-Toys/zgbs/pet-supplies/2975540011/ref=zg_bs_nav_petsupplies_2_2975520011
