,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_289913_2
1,Kitchen & Dining,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dining/zgbs/home-garden/284507/ref=zg_bs_unv_hg_2_289913_1
2,Beverage Refrigerators,https://www.amazon.com/Best-Sellers-Home-Kitchen-Beverage-Refrigerators/zgbs/home-garden/2686328011/ref=zg_bs_nav_hg_3_289913
3,Blenders,https://www.amazon.com/Best-Sellers-Home-Kitchen-Household-Blenders/zgbs/home-garden/289914/ref=zg_bs_nav_hg_3_289913
4,Bread Machines,https://www.amazon.com/Best-Sellers-Home-Kitchen-Bread-Machines/zgbs/home-garden/289917/ref=zg_bs_nav_hg_3_289913
5,"Coffee, Tea & Espresso Appliances",https://www.amazon.com/Best-Sellers-Home-Kitchen-Coffee-Tea-Espresso-Appliances/zgbs/home-garden/289742/ref=zg_bs_nav_hg_3_289913
6,Compact Refrigerators,https://www.amazon.com/Best-Sellers-Home-Kitchen-Compact-Refrigerators/zgbs/home-garden/678542011/ref=zg_bs_nav_hg_3_289913
7,Contact Grills,https://www.amazon.com/Best-Sellers-Home-Kitchen-Contact-Grills/zgbs/home-garden/289925/ref=zg_bs_nav_hg_3_289913
8,Countertop Burners,https://www.amazon.com/Best-Sellers-Home-Kitchen-Countertop-Burners/zgbs/home-garden/13838451/ref=zg_bs_nav_hg_3_289913
9,Electric Cake Pop & Mini Cake Makers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Electric-Cake-Pop-Mini-Makers/zgbs/home-garden/8614937011/ref=zg_bs_nav_hg_3_289913
10,Electric Griddles,https://www.amazon.com/Best-Sellers-Home-Kitchen-Electric-Griddles/zgbs/home-garden/13838461/ref=zg_bs_nav_hg_3_289913
11,Electric Pressure Cookers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Electric-Pressure-Cookers/zgbs/home-garden/3117954011/ref=zg_bs_nav_hg_3_289913
12,Electric Skillets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Electric-Skillets/zgbs/home-garden/13838481/ref=zg_bs_nav_hg_3_289913
13,Electric Woks,https://www.amazon.com/Best-Sellers-Home-Kitchen-Electric-Woks/zgbs/home-garden/13838491/ref=zg_bs_nav_hg_3_289913
14,Food Processors,https://www.amazon.com/Best-Sellers-Home-Kitchen-Food-Processors/zgbs/home-garden/289920/ref=zg_bs_nav_hg_3_289913
15,Fryers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Fryers/zgbs/home-garden/17659095011/ref=zg_bs_nav_hg_3_289913
16,Hot Pots,https://www.amazon.com/Best-Sellers-Home-Kitchen-Electric-Hot-Pots/zgbs/home-garden/3117951011/ref=zg_bs_nav_hg_3_289913
17,Ice Cream Machines,https://www.amazon.com/Best-Sellers-Home-Kitchen-Ice-Cream-Machines/zgbs/home-garden/289924/ref=zg_bs_nav_hg_3_289913
18,Juicers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Juicers/zgbs/home-garden/289926/ref=zg_bs_nav_hg_3_289913
19,Kegerators,https://www.amazon.com/Best-Sellers-Home-Kitchen-Kegerators/zgbs/home-garden/2686378011/ref=zg_bs_nav_hg_3_289913
20,Microwave Ovens,https://www.amazon.com/Best-Sellers-Home-Kitchen-Microwave-Ovens/zgbs/home-garden/289935/ref=zg_bs_nav_hg_3_289913
21,Mixers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Household-Mixers/zgbs/home-garden/289929/ref=zg_bs_nav_hg_3_289913
22,Ovens & Toasters,https://www.amazon.com/Best-Sellers-Home-Kitchen-Ovens-Toasters/zgbs/home-garden/289933/ref=zg_bs_nav_hg_3_289913
23,Rice Cookers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Rice-Cookers/zgbs/home-garden/678540011/ref=zg_bs_nav_hg_3_289913
24,Slow Cookers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Slow-Cookers/zgbs/home-garden/289940/ref=zg_bs_nav_hg_3_289913
25,Soda Makers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Soda-Makers/zgbs/home-garden/7956268011/ref=zg_bs_nav_hg_3_289913
26,Specialty Appliances,https://www.amazon.com/Best-Sellers-Home-Kitchen-Specialty-Appliances/zgbs/home-garden/289941/ref=zg_bs_nav_hg_3_289913
27,Steamers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Food-Steamers/zgbs/home-garden/678541011/ref=zg_bs_nav_hg_3_289913
28,Waffle Irons,https://www.amazon.com/Best-Sellers-Home-Kitchen-Waffle-Irons/zgbs/home-garden/289942/ref=zg_bs_nav_hg_3_289913
29,Wine Cellars,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wine-Cellars/zgbs/home-garden/3741521/ref=zg_bs_nav_hg_3_289913
