,category,URL
0,"Patio, Lawn & Garden",https://www.amazon.com/Best-Sellers-Garden-Outdoor/zgbs/lawn-garden/ref=zg_bs_unv_lg_1_3043471_1
1,De-Icers & Salt Spreaders,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Icers-Salt-Spreaders/zgbs/lawn-garden/3753721/ref=zg_bs_nav_lg_2_3043471
2,Snow Blowers,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Snow-Blowers/zgbs/lawn-garden/3043481/ref=zg_bs_nav_lg_2_3043471
3,Snow Blower Tire Chains,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Snow-Thrower-Yard-Equipment-Chains/zgbs/lawn-garden/2539199011/ref=zg_bs_nav_lg_2_3043471
4,Snow Plows,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Snow-Plows/zgbs/lawn-garden/3753731/ref=zg_bs_nav_lg_2_3043471
5,Snow Rakes,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Snow-Rakes/zgbs/lawn-garden/3043491/ref=zg_bs_nav_lg_2_3043471
6,Snow Shovels,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Snow-Shovels/zgbs/lawn-garden/13755561/ref=zg_bs_nav_lg_2_3043471
7,Snow Blower Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Snow-Blower-Accessories/zgbs/lawn-garden/492200011/ref=zg_bs_nav_lg_2_3043471
8,Snow Plow Attachments & Accessories,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Snow-Plow-Attachments-Accessories/zgbs/lawn-garden/15737051/ref=zg_bs_nav_lg_2_3043471
9,Snow Blower Replacement Parts,https://www.amazon.com/Best-Sellers-Garden-Outdoor-Snow-Blower-Replacement-Parts/zgbs/lawn-garden/9425942011/ref=zg_bs_nav_lg_2_3043471
