,category,URL
0,Digital Music,https://www.amazon.com/Best-Sellers-MP3-Downloads/zgbs/dmusic/ref=zg_bs_unv_dmusic_1_digital-music-track_1
1,Alternative Rock,https://www.amazon.com/Best-Sellers-MP3-Downloads-Alternative-Rock/zgbs/dmusic/324384011/ref=zg_bs_nav_dmusic_2_digital-music-track
2,Blues,https://www.amazon.com/Best-Sellers-MP3-Downloads-Blues/zgbs/dmusic/324396011/ref=zg_bs_nav_dmusic_2_digital-music-track
3,Broadway & Vocalists,https://www.amazon.com/Best-Sellers-MP3-Downloads-Broadway-Vocalists/zgbs/dmusic/324409011/ref=zg_bs_nav_dmusic_2_digital-music-track
4,Children's Music,https://www.amazon.com/Best-Sellers-MP3-Downloads-Childrens-Music/zgbs/dmusic/324414011/ref=zg_bs_nav_dmusic_2_digital-music-track
5,Christian,https://www.amazon.com/Best-Sellers-MP3-Downloads-Christian/zgbs/dmusic/324420011/ref=zg_bs_nav_dmusic_2_digital-music-track
6,Classic Rock,https://www.amazon.com/Best-Sellers-MP3-Downloads-Classic-Rock/zgbs/dmusic/324431011/ref=zg_bs_nav_dmusic_2_digital-music-track
7,Classical,https://www.amazon.com/Best-Sellers-MP3-Downloads-Classical/zgbs/dmusic/324442011/ref=zg_bs_nav_dmusic_2_digital-music-track
8,Country,https://www.amazon.com/Best-Sellers-MP3-Downloads-Country/zgbs/dmusic/324492011/ref=zg_bs_nav_dmusic_2_digital-music-track
9,Dance & Electronic,https://www.amazon.com/Best-Sellers-MP3-Downloads-Dance-Electronic/zgbs/dmusic/324504011/ref=zg_bs_nav_dmusic_2_digital-music-track
10,Folk,https://www.amazon.com/Best-Sellers-MP3-Downloads-Folk/zgbs/dmusic/324519011/ref=zg_bs_nav_dmusic_2_digital-music-track
11,Gospel,https://www.amazon.com/Best-Sellers-MP3-Downloads-Gospel/zgbs/dmusic/6127488011/ref=zg_bs_nav_dmusic_2_digital-music-track
12,Hard Rock & Metal,https://www.amazon.com/Best-Sellers-MP3-Downloads-Hard-Rock-Metal/zgbs/dmusic/324527011/ref=zg_bs_nav_dmusic_2_digital-music-track
13,International,https://www.amazon.com/Best-Sellers-MP3-Downloads-International/zgbs/dmusic/324537011/ref=zg_bs_nav_dmusic_2_digital-music-track
14,Jazz,https://www.amazon.com/Best-Sellers-MP3-Downloads-Jazz/zgbs/dmusic/324552011/ref=zg_bs_nav_dmusic_2_digital-music-track
15,Latin Music,https://www.amazon.com/Best-Sellers-MP3-Downloads-Latin-Music/zgbs/dmusic/324570011/ref=zg_bs_nav_dmusic_2_digital-music-track
16,Miscellaneous,https://www.amazon.com/Best-Sellers-MP3-Downloads-Miscellaneous/zgbs/dmusic/324577011/ref=zg_bs_nav_dmusic_2_digital-music-track
17,New Age,https://www.amazon.com/Best-Sellers-MP3-Downloads-New-Age/zgbs/dmusic/324586011/ref=zg_bs_nav_dmusic_2_digital-music-track
18,Opera & Vocal,https://www.amazon.com/Best-Sellers-MP3-Downloads-Opera-Vocal/zgbs/dmusic/324591011/ref=zg_bs_nav_dmusic_2_digital-music-track
19,Pop,https://www.amazon.com/Best-Sellers-MP3-Downloads-Pop/zgbs/dmusic/324608011/ref=zg_bs_nav_dmusic_2_digital-music-track
20,R&B,https://www.amazon.com/Best-Sellers-MP3-Downloads-R-B/zgbs/dmusic/324621011/ref=zg_bs_nav_dmusic_2_digital-music-track
21,Rap & Hip-Hop,https://www.amazon.com/Best-Sellers-MP3-Downloads-Rap-Hip-Hop/zgbs/dmusic/324633011/ref=zg_bs_nav_dmusic_2_digital-music-track
22,Rock,https://www.amazon.com/Best-Sellers-MP3-Downloads-Rock/zgbs/dmusic/324645011/ref=zg_bs_nav_dmusic_2_digital-music-track
23,Soundtracks,https://www.amazon.com/Best-Sellers-MP3-Downloads-Soundtracks/zgbs/dmusic/324660011/ref=zg_bs_nav_dmusic_2_digital-music-track
