,category,URL
0,Sports & Outdoors,https://www.amazon.com/Best-Sellers-Sports-Outdoors/zgbs/sporting-goods/ref=zg_bs_unv_sg_1_10971181011_1
1,Boating & Sailing,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Boating-Sailing/zgbs/sporting-goods/3421331/ref=zg_bs_nav_sg_2_10971181011
2,Clothing,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Fitness-Clothing/zgbs/sporting-goods/11444071011/ref=zg_bs_nav_sg_2_10971181011
3,Exercise & Fitness,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Exercise-Fitness-Equipment/zgbs/sporting-goods/3407731/ref=zg_bs_nav_sg_2_10971181011
4,Golf,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Golf-Equipment/zgbs/sporting-goods/3410851/ref=zg_bs_nav_sg_2_10971181011
5,Hunting & Fishing,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Hunting-Fishing/zgbs/sporting-goods/706813011/ref=zg_bs_nav_sg_2_10971181011
6,Leisure Sports & Game Room,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Leisure-Games-Equipment/zgbs/sporting-goods/706808011/ref=zg_bs_nav_sg_2_10971181011
7,Airsoft & Paintball,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Airsoft-Paintball-Equipment/zgbs/sporting-goods/706815011/ref=zg_bs_nav_sg_2_10971181011
8,Running,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Running-Equipment/zgbs/sporting-goods/3416071/ref=zg_bs_nav_sg_2_10971181011
9,Swimming,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Swimming-Equipment/zgbs/sporting-goods/3418761/ref=zg_bs_nav_sg_2_10971181011
10,Team Sports,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Team/zgbs/sporting-goods/706809011/ref=zg_bs_nav_sg_2_10971181011
11,Tennis & Racquet Sports,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Tennis-Racquet-Sport-Equipment/zgbs/sporting-goods/706816011/ref=zg_bs_nav_sg_2_10971181011
12,Yoga,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Yoga-Equipment/zgbs/sporting-goods/3422251/ref=zg_bs_nav_sg_2_10971181011
13,Other Sports,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Other-Types/zgbs/sporting-goods/706810011/ref=zg_bs_nav_sg_2_10971181011
14,Accessories,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Accessories/zgbs/sporting-goods/3394801/ref=zg_bs_nav_sg_2_10971181011
15,Sports Medicine,https://www.amazon.com/Best-Sellers-Sports-Outdoors-Medicine-Products/zgbs/sporting-goods/3422351/ref=zg_bs_nav_sg_2_10971181011
