,category,URL
0,Magazine Subscriptions,https://www.amazon.com/Best-Sellers-Magazines/zgbs/magazines/ref=zg_bs_unv_mag_1_602366_1
1,Baseball,https://www.amazon.com/Best-Sellers-Magazines-Baseball/zgbs/magazines/3018001/ref=zg_bs_nav_mag_2_602366
2,Basketball,https://www.amazon.com/Best-Sellers-Magazines-Basketball/zgbs/magazines/3018011/ref=zg_bs_nav_mag_2_602366
3,Boating,https://www.amazon.com/Best-Sellers-Magazines-Boating/zgbs/magazines/637772/ref=zg_bs_nav_mag_2_602366
4,Cycling,https://www.amazon.com/Best-Sellers-Magazines-Cycling/zgbs/magazines/254645011/ref=zg_bs_nav_mag_2_602366
5,Extreme Sports,https://www.amazon.com/Best-Sellers-Magazines-Extreme-Sports/zgbs/magazines/254638011/ref=zg_bs_nav_mag_2_602366
6,Flying,https://www.amazon.com/Best-Sellers-Magazines-Flying/zgbs/magazines/637774/ref=zg_bs_nav_mag_2_602366
7,Football,https://www.amazon.com/Best-Sellers-Magazines-Football/zgbs/magazines/3018021/ref=zg_bs_nav_mag_2_602366
8,Golf,https://www.amazon.com/Best-Sellers-Magazines-Golf/zgbs/magazines/769052/ref=zg_bs_nav_mag_2_602366
9,Hockey,https://www.amazon.com/Best-Sellers-Magazines-Hockey/zgbs/magazines/254639011/ref=zg_bs_nav_mag_2_602366
10,Equestrian,https://www.amazon.com/Best-Sellers-Magazines-Equestrian/zgbs/magazines/655464/ref=zg_bs_nav_mag_2_602366
11,Hunting & Firearms,https://www.amazon.com/Best-Sellers-Magazines-Hunting-Firearms/zgbs/magazines/637770/ref=zg_bs_nav_mag_2_602366
12,Individual Sports,https://www.amazon.com/Best-Sellers-Magazines-Individual-Sports/zgbs/magazines/254640011/ref=zg_bs_nav_mag_2_602366
13,Racket Sports,https://www.amazon.com/Best-Sellers-Magazines-Racket-Sports/zgbs/magazines/254685011/ref=zg_bs_nav_mag_2_602366
14,Rodeos,https://www.amazon.com/Best-Sellers-Magazines-Rodeo/zgbs/magazines/254692011/ref=zg_bs_nav_mag_2_602366
15,Running,https://www.amazon.com/Best-Sellers-Magazines-Running/zgbs/magazines/657758/ref=zg_bs_nav_mag_2_602366
16,Skiing & Snowboarding,https://www.amazon.com/Best-Sellers-Magazines-Skiing-Snowboarding/zgbs/magazines/637776/ref=zg_bs_nav_mag_2_602366
17,Soccer,https://www.amazon.com/Best-Sellers-Magazines-Soccer/zgbs/magazines/13015531/ref=zg_bs_nav_mag_2_602366
18,Softball,https://www.amazon.com/Best-Sellers-Magazines-Softball/zgbs/magazines/254693011/ref=zg_bs_nav_mag_2_602366
19,Training,https://www.amazon.com/Best-Sellers-Magazines-Training/zgbs/magazines/254694011/ref=zg_bs_nav_mag_2_602366
20,Water Sports,https://www.amazon.com/Best-Sellers-Magazines-Water-Sports/zgbs/magazines/655460/ref=zg_bs_nav_mag_2_602366
