,category,URL
0,Toys & Games,https://www.amazon.com/Best-Sellers-Toys-Games/zgbs/toys-and-games/ref=zg_bs_unv_t_1_166420011_1
1,Ball Pits & Accessories,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Ball-Pits-Accessories/zgbs/toys-and-games/166421011/ref=zg_bs_nav_t_2_166420011
2,Bean Bags & Footbags,https://www.amazon.com/Best-Sellers-Toys-Games-Bean-Bags-Footbags/zgbs/toys-and-games/166422011/ref=zg_bs_nav_t_2_166420011
3,Blasters & Foam Play,https://www.amazon.com/Best-Sellers-Toys-Games-Toy-Foam-Blasters-Guns/zgbs/toys-and-games/2327110011/ref=zg_bs_nav_t_2_166420011
4,Bubbles,https://www.amazon.com/Best-Sellers-Toys-Games-Bubble-Blowing-Products/zgbs/toys-and-games/21571225011/ref=zg_bs_nav_t_2_166420011
5,Fitness Equipment,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Fitness-Equipment/zgbs/toys-and-games/166423011/ref=zg_bs_nav_t_2_166420011
6,Flying Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Flying/zgbs/toys-and-games/166032011/ref=zg_bs_nav_t_2_166420011
7,Gardening Tools,https://www.amazon.com/Best-Sellers-Toys-Games-Toy-Gardening-Equipment/zgbs/toys-and-games/166352011/ref=zg_bs_nav_t_2_166420011
8,Inflatable Bouncers,https://www.amazon.com/Best-Sellers-Toys-Games-Childrens-Outdoor-Inflatable-Bouncers/zgbs/toys-and-games/1258890011/ref=zg_bs_nav_t_2_166420011
9,Kickball & Playground Balls,https://www.amazon.com/Best-Sellers-Toys-Games-Kickballs-Playground-Balls/zgbs/toys-and-games/274359011/ref=zg_bs_nav_t_2_166420011
10,Kites & Wind Spinners,https://www.amazon.com/Best-Sellers-Toys-Games-Kites-Wind-Spinners/zgbs/toys-and-games/166431011/ref=zg_bs_nav_t_2_166420011
11,Marble Games,https://www.amazon.com/Best-Sellers-Toys-Games-Dice-Marble/zgbs/toys-and-games/166247011/ref=zg_bs_nav_t_2_166420011
12,Nature Exploration Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Nature-Exploration/zgbs/toys-and-games/2522014011/ref=zg_bs_nav_t_2_166420011
13,Outdoor Furniture,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Outdoor-Furniture/zgbs/toys-and-games/166216011/ref=zg_bs_nav_t_2_166420011
14,Play Sets & Playground Equipment,https://www.amazon.com/Best-Sellers-Toys-Games-Play-Sets-Playground-Equipment/zgbs/toys-and-games/166424011/ref=zg_bs_nav_t_2_166420011
15,Play Tents & Tunnels,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Play-Tents-Tunnels/zgbs/toys-and-games/166434011/ref=zg_bs_nav_t_2_166420011
16,Playhouses,https://www.amazon.com/Best-Sellers-Toys-Games-Kids-Playhouses/zgbs/toys-and-games/166435011/ref=zg_bs_nav_t_2_166420011
17,Pogo Sticks & Hoppers,https://www.amazon.com/Best-Sellers-Toys-Games-Pogo-Sticks-Hopping/zgbs/toys-and-games/166436011/ref=zg_bs_nav_t_2_166420011
18,Pools & Water Toys,https://www.amazon.com/Best-Sellers-Toys-Games-Swimming-Pool-Outdoor-Water/zgbs/toys-and-games/166437011/ref=zg_bs_nav_t_2_166420011
19,Sand & Water Tables,https://www.amazon.com/Best-Sellers-Toys-Games-Sand-Water-Tables/zgbs/toys-and-games/166211011/ref=zg_bs_nav_t_2_166420011
20,Sandboxes,https://www.amazon.com/Best-Sellers-Toys-Games-Sandboxes/zgbs/toys-and-games/2528112011/ref=zg_bs_nav_t_2_166420011
21,Slumber Bags,https://www.amazon.com/Best-Sellers-Toys-Games-Slumber-Bags/zgbs/toys-and-games/166452011/ref=zg_bs_nav_t_2_166420011
22,Toy Sports,https://www.amazon.com/Best-Sellers-Toys-Games-Toy-Sports-Products/zgbs/toys-and-games/166453011/ref=zg_bs_nav_t_2_166420011
23,Trampolines & Accessories,https://www.amazon.com/Best-Sellers-Toys-Games-Trampolines-Accessories/zgbs/toys-and-games/7427861011/ref=zg_bs_nav_t_2_166420011
24,Yo-yos,https://www.amazon.com/Best-Sellers-Toys-Games-Yo-Yos/zgbs/toys-and-games/166056011/ref=zg_bs_nav_t_2_166420011
