,category,URL
0,Health & Household,https://www.amazon.com/Best-Sellers-Health-Personal-Care/zgbs/hpc/ref=zg_bs_unv_hpc_1_6973663011_1
1,Amino Acids,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Amino-Acid-Nutritional-Supplements/zgbs/hpc/10781161/ref=zg_bs_nav_hpc_2_6973663011
2,Endurance & Energy,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sports-Nutrition-Endurance-Energy-Products/zgbs/hpc/6973669011/ref=zg_bs_nav_hpc_2_6973663011
3,Fat Burners & Thermogenics,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sports-Nutrition-Fat-Burners-Thermogenics/zgbs/hpc/6973679011/ref=zg_bs_nav_hpc_2_6973663011
4,Healthy Snacks & Beverages,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sports-Nutrition-Healthy-Snacks-Beverages/zgbs/hpc/6973683011/ref=zg_bs_nav_hpc_2_6973663011
5,Hydration,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sports-Nutrition-Hydration-Products/zgbs/hpc/6973693011/ref=zg_bs_nav_hpc_2_6973663011
6,Nutrition Bars,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sports-Nutrition-Bars/zgbs/hpc/7309635011/ref=zg_bs_nav_hpc_2_6973663011
7,Pre-Workout,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sports-Nutrition-Pre-Workout-Products/zgbs/hpc/6973697011/ref=zg_bs_nav_hpc_2_6973663011
8,Post-Workout & Recovery,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sports-Nutrition-Post-Workout-Recovery-Products/zgbs/hpc/6973701011/ref=zg_bs_nav_hpc_2_6973663011
9,Protein,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sports-Nutrition-Protein/zgbs/hpc/6973704011/ref=zg_bs_nav_hpc_2_6973663011
10,Testosterone Boosters,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sports-Nutrition-Testosterone-Boosters/zgbs/hpc/6973724011/ref=zg_bs_nav_hpc_2_6973663011
11,Weight Gainers,https://www.amazon.com/Best-Sellers-Health-Personal-Care-Sports-Nutrition-Weight-Gainers/zgbs/hpc/6973725011/ref=zg_bs_nav_hpc_2_6973663011
