,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_510136_2
1,Kitchen & Dining,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dining/zgbs/home-garden/284507/ref=zg_bs_unv_hg_2_510136_1
2,Cabinet & Drawer Organization,https://www.amazon.com/Best-Sellers-Home-Kitchen-Cabinet-Organizers/zgbs/home-garden/3743971/ref=zg_bs_nav_hg_3_510136
3,Countertop & Wall Organization,https://www.amazon.com/Best-Sellers-Home-Kitchen-Countertop-Wall-Organization/zgbs/home-garden/9768328011/ref=zg_bs_nav_hg_3_510136
4,Dinnerware & Stemware Storage,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dinnerware-Stemware-Storage/zgbs/home-garden/9768329011/ref=zg_bs_nav_hg_3_510136
5,Flatware & Utensil Storage,https://www.amazon.com/Best-Sellers-Home-Kitchen-Flatware-Utensil-Storage/zgbs/home-garden/16188246011/ref=zg_bs_nav_hg_3_510136
6,Food Storage,https://www.amazon.com/Best-Sellers-Home-Kitchen-Food-Storage/zgbs/home-garden/9768326011/ref=zg_bs_nav_hg_3_510136
7,Kitchen Storage & Organization Accessories,https://www.amazon.com/Best-Sellers-Home-Kitchen-Storage-Accessories/zgbs/home-garden/3744031/ref=zg_bs_nav_hg_3_510136
8,Thermoses,https://www.amazon.com/Best-Sellers-Home-Kitchen-Vacuum-Flasks/zgbs/home-garden/21613418011/ref=zg_bs_nav_hg_3_510136
9,Travel & To-Go Food Containers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Lunch-Boxes-Bags/zgbs/home-garden/8841480011/ref=zg_bs_nav_hg_3_510136
10,Wine Racks & Cabinets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wine-Racks-Cabinets/zgbs/home-garden/3744251/ref=zg_bs_nav_hg_3_510136
