,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_2348628011_2
1,Computers & Accessories,https://www.amazon.com/Best-Sellers-Electronics-Computers-Accessories/zgbs/electronics/541966/ref=zg_bs_unv_e_2_2348628011_1
2,"Bags, Cases & Sleeves",https://www.amazon.com/Best-Sellers-Electronics-Tablet-Bags-Cases-Sleeves/zgbs/electronics/2348629011/ref=zg_bs_nav_e_3_2348628011
3,Blue Light Blocking Glasses,https://www.amazon.com/Best-Sellers-Electronics-Computer-Blue-Light-Blocking-Glasses/zgbs/electronics/17919093011/ref=zg_bs_nav_e_3_2348628011
4,Camera Privacy Covers,https://www.amazon.com/Best-Sellers-Electronics-Camera-Privacy-Covers/zgbs/electronics/21103668011/ref=zg_bs_nav_e_3_2348628011
5,Chargers & Adapters,https://www.amazon.com/Best-Sellers-Electronics-Tablet-Chargers-Adapters/zgbs/electronics/2516700011/ref=zg_bs_nav_e_3_2348628011
6,Keyboard Cases,https://www.amazon.com/Best-Sellers-Electronics-Tablet-Keyboard-Cases/zgbs/electronics/11548963011/ref=zg_bs_nav_e_3_2348628011
7,Keyboards,https://www.amazon.com/Best-Sellers-Electronics-Tablet-Keyboards/zgbs/electronics/11548965011/ref=zg_bs_nav_e_3_2348628011
8,Mounts,https://www.amazon.com/Best-Sellers-Electronics-Tablet-Mounts/zgbs/electronics/11548967011/ref=zg_bs_nav_e_3_2348628011
9,Repair Kits,https://www.amazon.com/Best-Sellers-Electronics-Computer-Mobile-Device-Repair-Kits/zgbs/electronics/13825561/ref=zg_bs_nav_e_3_2348628011
10,Screen Filters,https://www.amazon.com/Best-Sellers-Electronics-Tablet-Screen-Filters/zgbs/electronics/11548971011/ref=zg_bs_nav_e_3_2348628011
11,Screen Protectors,https://www.amazon.com/Best-Sellers-Electronics-Tablet-Screen-Protectors/zgbs/electronics/2348631011/ref=zg_bs_nav_e_3_2348628011
12,Stands,https://www.amazon.com/Best-Sellers-Electronics-Tablet-Stands/zgbs/electronics/3015412011/ref=zg_bs_nav_e_3_2348628011
13,Styluses,https://www.amazon.com/Best-Sellers-Electronics-Styluses/zgbs/electronics/11548954011/ref=zg_bs_nav_e_3_2348628011
