,category,URL
0,Software,https://www.amazon.com/best-sellers-software/zgbs/software/ref=zg_bs_unv_sw_1_229545_1
1,Accounting & Finance,https://www.amazon.com/Best-Sellers-Software-Accounting-Finance/zgbs/software/5223260011/ref=zg_bs_nav_sw_2_229545
2,Antivirus & Security,https://www.amazon.com/Best-Sellers-Software-Antivirus-Security/zgbs/software/229677/ref=zg_bs_nav_sw_2_229545
3,Business & Office,https://www.amazon.com/Best-Sellers-Software-Business-Office/zgbs/software/229535/ref=zg_bs_nav_sw_2_229545
4,Children's Software,https://www.amazon.com/Best-Sellers-Software-Childrens/zgbs/software/229548/ref=zg_bs_nav_sw_2_229545
5,Design & Illustration,https://www.amazon.com/Best-Sellers-Software-Photography-Graphic-Design/zgbs/software/229614/ref=zg_bs_nav_sw_2_229545
6,Education & Reference,https://www.amazon.com/Best-Sellers-Software-Education-Reference/zgbs/software/229563/ref=zg_bs_nav_sw_2_229545
7,Lifestyle & Hobbies,https://www.amazon.com/Best-Sellers-Software-Home-Hobbies/zgbs/software/229624/ref=zg_bs_nav_sw_2_229545
8,Mac Software,https://www.amazon.com/Best-Sellers-Software-Mac/zgbs/software/229643/ref=zg_bs_nav_sw_2_229545
9,Music,https://www.amazon.com/Best-Sellers-Software-Music/zgbs/software/497022/ref=zg_bs_nav_sw_2_229545
10,Networking & Servers,https://www.amazon.com/Best-Sellers-Software-Networking-Servers/zgbs/software/229637/ref=zg_bs_nav_sw_2_229545
11,Operating Systems,https://www.amazon.com/Best-Sellers-Software-Operating-Systems/zgbs/software/229653/ref=zg_bs_nav_sw_2_229545
12,Photography,https://www.amazon.com/Best-Sellers-Software-Photography/zgbs/software/229621/ref=zg_bs_nav_sw_2_229545
13,Programming & Web Development,https://www.amazon.com/Best-Sellers-Software-Programming-Web-Development/zgbs/software/5223262011/ref=zg_bs_nav_sw_2_229545
14,Utilities,https://www.amazon.com/Best-Sellers-Software-Utilities/zgbs/software/229672/ref=zg_bs_nav_sw_2_229545
15,Video,https://www.amazon.com/Best-Sellers-Software-Digital-Video/zgbs/software/290542/ref=zg_bs_nav_sw_2_229545
