,category,URL
0,Audible Books & Originals,https://www.amazon.com/Best-Sellers-Audible-Audiobooks/zgbs/audible/ref=zg_bs_unv_1_18580715011_1
1,Biographies,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Biographies-Teens/zgbs/audible/18580735011/ref=zg_bs_nav_2_18580715011
2,"Health, Lifestyle & Relationships",https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Health-Lifestyle-Relationships-Teens/zgbs/audible/18580788011/ref=zg_bs_nav_2_18580715011
3,History & Culture,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-History-Culture-Teens/zgbs/audible/18580852011/ref=zg_bs_nav_2_18580715011
4,Literature & Fiction,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Literature-Fiction-Teens/zgbs/audible/18580894011/ref=zg_bs_nav_2_18580715011
5,"Mystery, Thriller & Suspense",https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Mystery-Thriller-Suspense-Teens/zgbs/audible/18580961011/ref=zg_bs_nav_2_18580715011
6,"Politics, Society & Current Events",https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Politics-Society-Current-Events/zgbs/audible/18580968011/ref=zg_bs_nav_2_18580715011
7,Religion & Spirituality,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Religion-Spirituality-Teens/zgbs/audible/18580978011/ref=zg_bs_nav_2_18580715011
8,Romance,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Romance-Teens/zgbs/audible/18581004011/ref=zg_bs_nav_2_18580715011
9,Science & Technology,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Science-Technology-Teens/zgbs/audible/18581017011/ref=zg_bs_nav_2_18580715011
10,Science Fiction & Fantasy,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Science-Fiction-Fantasy-Teens/zgbs/audible/18581048011/ref=zg_bs_nav_2_18580715011
