,category,URL
0,Industrial & Scientific,https://www.amazon.com/Best-Sellers-Industrial-Scientific/zgbs/industrial/ref=zg_bs_unv_indust_1_256409011_1
1,Airflow & Air Quality,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Airflow-Air-Quality/zgbs/industrial/5006563011/ref=zg_bs_nav_indust_2_256409011
2,Calibration,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Calibration-Products/zgbs/industrial/4989307011/ref=zg_bs_nav_indust_2_256409011
3,Dimensional Measurement,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Dimensional-Measurement/zgbs/industrial/4989299011/ref=zg_bs_nav_indust_2_256409011
4,Electrical Testing,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Electrical-Testing/zgbs/industrial/5011659011/ref=zg_bs_nav_indust_2_256409011
5,Inspection & Analysis,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Inspection-Analysis/zgbs/industrial/4989315011/ref=zg_bs_nav_indust_2_256409011
6,Light Measurement,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Lab-Photometers-Light-Meters/zgbs/industrial/393278011/ref=zg_bs_nav_indust_2_256409011
7,"Motion, Speed & Force",https://www.amazon.com/Best-Sellers-Industrial-Scientific-Motion-Speed-Force/zgbs/industrial/5006560011/ref=zg_bs_nav_indust_2_256409011
8,Network & Cable Testers,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Network-Cable-Testers/zgbs/industrial/7701919011/ref=zg_bs_nav_indust_2_256409011
9,Pressure & Vacuum,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Pressure-Vacuum-Measurement/zgbs/industrial/5006545011/ref=zg_bs_nav_indust_2_256409011
10,Recorders & Data Acquisition,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Recorders-Data-Acquisition/zgbs/industrial/5006548011/ref=zg_bs_nav_indust_2_256409011
11,Scales & Balances,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Scales-Balances/zgbs/industrial/4989331011/ref=zg_bs_nav_indust_2_256409011
12,Sensors,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Electronic-Component-Sensors/zgbs/industrial/306923011/ref=zg_bs_nav_indust_2_256409011
13,Sound & Noise Meters,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Sound-Noise-Meters/zgbs/industrial/7701920011/ref=zg_bs_nav_indust_2_256409011
14,Substance Analysis Instrumentation,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Substance-Analysis-Instrumentation/zgbs/industrial/19568045011/ref=zg_bs_nav_indust_2_256409011
15,Surface & Hardness Testing,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Surface-Hardness-Testing/zgbs/industrial/4989319011/ref=zg_bs_nav_indust_2_256409011
16,Temperature & Humidity,https://www.amazon.com/Best-Sellers-Industrial-Scientific-Temperature-Humidity-Measurement/zgbs/industrial/5006566011/ref=zg_bs_nav_indust_2_256409011
