,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_465600_1
1,Business & Finance,https://www.amazon.com/Best-Sellers-Books-Business-Finance/zgbs/books/468220/ref=zg_bs_nav_b_2_465600
2,Communication & Journalism,https://www.amazon.com/Best-Sellers-Books-Communication-Journalism/zgbs/books/468226/ref=zg_bs_nav_b_2_465600
3,Computer Science,https://www.amazon.com/Best-Sellers-Books-Computer-Science/zgbs/books/468204/ref=zg_bs_nav_b_2_465600
4,Education,https://www.amazon.com/Best-Sellers-Books-Education/zgbs/books/468224/ref=zg_bs_nav_b_2_465600
5,Engineering,https://www.amazon.com/Best-Sellers-Books-Engineering/zgbs/books/468212/ref=zg_bs_nav_b_2_465600
6,Humanities,https://www.amazon.com/Best-Sellers-Books-Humanities/zgbs/books/468206/ref=zg_bs_nav_b_2_465600
7,Law,https://www.amazon.com/Best-Sellers-Books-Law/zgbs/books/468222/ref=zg_bs_nav_b_2_465600
8,Medicine & Health Sciences,https://www.amazon.com/Best-Sellers-Books-Medicine-Health-Sciences/zgbs/books/468228/ref=zg_bs_nav_b_2_465600
9,Reference,https://www.amazon.com/Best-Sellers-Books-Reference/zgbs/books/684283011/ref=zg_bs_nav_b_2_465600
10,Science & Mathematics,https://www.amazon.com/Best-Sellers-Books-Science-Mathematics/zgbs/books/468216/ref=zg_bs_nav_b_2_465600
11,Social Sciences,https://www.amazon.com/Best-Sellers-Books-Social-Sciences/zgbs/books/468214/ref=zg_bs_nav_b_2_465600
12,Test Prep & Study Guides,https://www.amazon.com/Best-Sellers-Books-Test-Prep-Study-Guides/zgbs/books/684300011/ref=zg_bs_nav_b_2_465600
