,category,URL
0,Beauty & Personal Care,https://www.amazon.com/Best-Sellers-Beauty/zgbs/beauty/ref=zg_bs_unv_bt_1_11062741_1
1,Bags & Cases,https://www.amazon.com/Best-Sellers-Beauty-Makeup-Bags-Cases/zgbs/beauty/11062751/ref=zg_bs_nav_bt_2_11062741
2,Bathing Accessories,https://www.amazon.com/Best-Sellers-Beauty-Bathing-Accessories/zgbs/beauty/11056491/ref=zg_bs_nav_bt_2_11062741
3,Cotton Balls & Swabs,https://www.amazon.com/Best-Sellers-Beauty-Cotton-Balls-Swabs/zgbs/beauty/3784921/ref=zg_bs_nav_bt_2_11062741
4,Hair Cutting Tools,https://www.amazon.com/Best-Sellers-Beauty-Hair-Cutting-Tools/zgbs/beauty/10676449011/ref=zg_bs_nav_bt_2_11062741
5,Hair Styling Tools & Appliances,https://www.amazon.com/Best-Sellers-Beauty-Styling-Tools-Appliances/zgbs/beauty/11058091/ref=zg_bs_nav_bt_2_11062741
6,Makeup Brushes & Tools,https://www.amazon.com/Best-Sellers-Beauty-Makeup-Brushes-Tools/zgbs/beauty/11059391/ref=zg_bs_nav_bt_2_11062741
7,Mirrors,https://www.amazon.com/Best-Sellers-Beauty-Personal-Mirrors/zgbs/beauty/11063411/ref=zg_bs_nav_bt_2_11062741
8,Salon & Spa Equipment,https://www.amazon.com/Best-Sellers-Beauty-Salon-Spa-Equipment/zgbs/beauty/15144566011/ref=zg_bs_nav_bt_2_11062741
9,Shave & Hair Removal,https://www.amazon.com/Best-Sellers-Beauty-Shaving-Hair-Removal-Products/zgbs/beauty/3778591/ref=zg_bs_nav_bt_2_11062741
10,Skin Care Tools,https://www.amazon.com/Best-Sellers-Beauty-Skin-Care-Tools/zgbs/beauty/13861652011/ref=zg_bs_nav_bt_2_11062741
