,category,URL
0,Automotive,https://www.amazon.com/Best-Sellers-Automotive/zgbs/automotive/ref=zg_bs_unv_auto_1_15706941_1
1,Air Conditioning Tools & Equipment,https://www.amazon.com/Best-Sellers-Automotive-Air-Conditioning-Tools-Equipment/zgbs/automotive/15706951/ref=zg_bs_nav_auto_2_15706941
2,Applicators,https://www.amazon.com/Best-Sellers-Automotive-Applicator-Tools/zgbs/automotive/15707051/ref=zg_bs_nav_auto_2_15706941
3,Body Repair Tools,https://www.amazon.com/Best-Sellers-Automotive-Body-Repair-Tools/zgbs/automotive/15707071/ref=zg_bs_nav_auto_2_15706941
4,Brake Tools,https://www.amazon.com/Best-Sellers-Automotive-Brake-Tools/zgbs/automotive/15707291/ref=zg_bs_nav_auto_2_15706941
5,Bushing Tools,https://www.amazon.com/Best-Sellers-Automotive-Bushing-Tools/zgbs/automotive/3097824011/ref=zg_bs_nav_auto_2_15706941
6,Clutch Alignments Tools,https://www.amazon.com/Best-Sellers-Automotive-Replacement-Clutch-Alignment-Tools/zgbs/automotive/15724031/ref=zg_bs_nav_auto_2_15706941
7,Cooling & Water Pump Tools,https://www.amazon.com/Best-Sellers-Automotive-Cooling-Water-Pump-Tools/zgbs/automotive/15707341/ref=zg_bs_nav_auto_2_15706941
8,"Diagnostic, Test & Measurement Tools",https://www.amazon.com/Best-Sellers-Automotive-Diagnostic-Test-Measurement-Tools/zgbs/automotive/19366729011/ref=zg_bs_nav_auto_2_15706941
9,Drive Train Tools,https://www.amazon.com/Best-Sellers-Automotive-Drive-Train-Tools/zgbs/automotive/15707521/ref=zg_bs_nav_auto_2_15706941
10,Electrical System Tools,https://www.amazon.com/Best-Sellers-Automotive-Electrical-System-Tools/zgbs/automotive/15707531/ref=zg_bs_nav_auto_2_15706941
11,Engine Tools,https://www.amazon.com/Best-Sellers-Automotive-Engine-Tools/zgbs/automotive/15707541/ref=zg_bs_nav_auto_2_15706941
12,Flywheel Locks,https://www.amazon.com/Best-Sellers-Automotive-Flywheel-Locks/zgbs/automotive/15707631/ref=zg_bs_nav_auto_2_15706941
13,Fuel System Tools,https://www.amazon.com/Best-Sellers-Automotive-Fuel-System-Tools/zgbs/automotive/15707641/ref=zg_bs_nav_auto_2_15706941
14,Garage & Shop,https://www.amazon.com/Best-Sellers-Automotive-Garage-Shop-Products/zgbs/automotive/15707701/ref=zg_bs_nav_auto_2_15706941
15,Hand Tools,https://www.amazon.com/Best-Sellers-Automotive-Hand-Tools/zgbs/automotive/15708141/ref=zg_bs_nav_auto_2_15706941
16,Hose Repair Kits,https://www.amazon.com/Best-Sellers-Automotive-Hose-Repair-Kits/zgbs/automotive/15708661/ref=zg_bs_nav_auto_2_15706941
17,"Jump Starters, Battery Chargers & Portable Power",https://www.amazon.com/Best-Sellers-Automotive-Jump-Starters-Battery-Chargers/zgbs/automotive/387679011/ref=zg_bs_nav_auto_2_15706941
18,Lockout Kits,https://www.amazon.com/Best-Sellers-Automotive-Lockout-Kits/zgbs/automotive/15708701/ref=zg_bs_nav_auto_2_15706941
19,Muffler Tools,https://www.amazon.com/Best-Sellers-Automotive-Muffler-Tools/zgbs/automotive/15707621/ref=zg_bs_nav_auto_2_15706941
20,Oil System Tools,https://www.amazon.com/Best-Sellers-Automotive-Oil-System-Tools/zgbs/automotive/15708801/ref=zg_bs_nav_auto_2_15706941
21,Oxygen Sensor Removers,https://www.amazon.com/Best-Sellers-Automotive-Oxygen-Sensor-Removers/zgbs/automotive/15708831/ref=zg_bs_nav_auto_2_15706941
22,Parts Washers,https://www.amazon.com/Best-Sellers-Automotive-Parts-Washers/zgbs/automotive/15708841/ref=zg_bs_nav_auto_2_15706941
23,Pullers,https://www.amazon.com/Best-Sellers-Automotive-Pullers/zgbs/automotive/15708851/ref=zg_bs_nav_auto_2_15706941
24,Riveters,https://www.amazon.com/Best-Sellers-Automotive-Riveters/zgbs/automotive/15708911/ref=zg_bs_nav_auto_2_15706941
25,Spark Plug & Ignition Tools,https://www.amazon.com/Best-Sellers-Automotive-Spark-Plug-Ignition-Tools/zgbs/automotive/15708921/ref=zg_bs_nav_auto_2_15706941
26,Steering & Suspension Tools,https://www.amazon.com/Best-Sellers-Automotive-Steering-Suspension-Tools/zgbs/automotive/15708931/ref=zg_bs_nav_auto_2_15706941
27,Strut Compressors,https://www.amazon.com/Best-Sellers-Automotive-Strut-Compressors/zgbs/automotive/15709061/ref=zg_bs_nav_auto_2_15706941
28,Thread Repair Kits,https://www.amazon.com/Best-Sellers-Automotive-Thread-Repair-Kits/zgbs/automotive/15709071/ref=zg_bs_nav_auto_2_15706941
29,Tire & Wheel Tools,https://www.amazon.com/Best-Sellers-Automotive-Tire-Wheel-Tools/zgbs/automotive/15709111/ref=zg_bs_nav_auto_2_15706941
30,Tire Air Compressors & Inflators,https://www.amazon.com/Best-Sellers-Automotive-Wheel-Tire-Air-Compressors-Inflators/zgbs/automotive/155346011/ref=zg_bs_nav_auto_2_15706941
31,Tool Boxes,https://www.amazon.com/Best-Sellers-Automotive-Tool-Boxes/zgbs/automotive/13400721/ref=zg_bs_nav_auto_2_15706941
32,Tool Sets,https://www.amazon.com/Best-Sellers-Automotive-Tool-Sets/zgbs/automotive/15709191/ref=zg_bs_nav_auto_2_15706941
33,Tool Trays,https://www.amazon.com/Best-Sellers-Automotive-Tool-Trays/zgbs/automotive/15709201/ref=zg_bs_nav_auto_2_15706941
34,Welding Tools,https://www.amazon.com/Best-Sellers-Automotive-Welding-Equipment/zgbs/automotive/13400481/ref=zg_bs_nav_auto_2_15706941
35,Windshield Wiper Tools,https://www.amazon.com/Best-Sellers-Automotive-Windshield-Wiper-Tools/zgbs/automotive/15709221/ref=zg_bs_nav_auto_2_15706941
