,category,URL
0,Handmade Products,https://www.amazon.com/Best-Sellers-Handmade/zgbs/handmade/ref=zg_bs_unv_hnd_1_11403495011_1
1,Baby & Toddler Toys,https://www.amazon.com/Best-Sellers-Handmade-Baby-Toddler-Toys/zgbs/handmade/14351279011/ref=zg_bs_nav_hnd_2_11403495011
2,"Dolls, Toy Figures & Accessories",https://www.amazon.com/Best-Sellers-Handmade-Dolls-Toy-Figures-Accessories/zgbs/handmade/14351291011/ref=zg_bs_nav_hnd_2_11403495011
3,Lawn & Playground,https://www.amazon.com/Best-Sellers-Handmade-Lawn-Games-Playground-Equipment/zgbs/handmade/14351342011/ref=zg_bs_nav_hnd_2_11403495011
4,Learning & Education,https://www.amazon.com/Best-Sellers-Handmade-Childrens-Learning-Development-Toys/zgbs/handmade/14351318011/ref=zg_bs_nav_hnd_2_11403495011
5,Musical Toy Instruments,https://www.amazon.com/Best-Sellers-Handmade-Toy-Musical-Instruments/zgbs/handmade/14351319011/ref=zg_bs_nav_hnd_2_11403495011
6,Novelty & Gag Toys,https://www.amazon.com/Best-Sellers-Handmade-Novelty-Gag-Toys/zgbs/handmade/14351320011/ref=zg_bs_nav_hnd_2_11403495011
7,Plushies & Stuffed Animals,https://www.amazon.com/Best-Sellers-Handmade-Stuffed-Animals-Plushies/zgbs/handmade/14351334011/ref=zg_bs_nav_hnd_2_11403495011
8,Pretend Play,https://www.amazon.com/Best-Sellers-Handmade-Pretend-Play-Toys/zgbs/handmade/14351335011/ref=zg_bs_nav_hnd_2_11403495011
9,Puppets,https://www.amazon.com/Best-Sellers-Handmade-Puppets/zgbs/handmade/14351336011/ref=zg_bs_nav_hnd_2_11403495011
10,Puzzles,https://www.amazon.com/Best-Sellers-Handmade-Puzzles/zgbs/handmade/14351341011/ref=zg_bs_nav_hnd_2_11403495011
