,category,URL
0,Audible Books & Originals,https://www.amazon.com/Best-Sellers-Audible-Audiobooks/zgbs/audible/ref=zg_bs_unv_1_18581095011_1
1,Adventure Travel,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Adventure-Travel/zgbs/audible/18581096011/ref=zg_bs_nav_2_18581095011
2,Africa,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Africa-Travel-Tourism/zgbs/audible/18581097011/ref=zg_bs_nav_2_18581095011
3,Asia,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Asia-Travel-Tourism/zgbs/audible/18581098011/ref=zg_bs_nav_2_18581095011
4,Australia & Oceania,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Australia-Oceania-Travel-Tourism/zgbs/audible/18581099011/ref=zg_bs_nav_2_18581095011
5,Caribbean,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Caribbean-Travel-Tourism/zgbs/audible/18581100011/ref=zg_bs_nav_2_18581095011
6,Central & South America,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Central-South-America-Travel-Tourism/zgbs/audible/18581101011/ref=zg_bs_nav_2_18581095011
7,Europe,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Europe-Travel-Tourism/zgbs/audible/18581104011/ref=zg_bs_nav_2_18581095011
8,Guided Tours,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Guided-Tours-Travel/zgbs/audible/18581107011/ref=zg_bs_nav_2_18581095011
9,Middle East,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Middle-East-Travel-Tourism/zgbs/audible/18581108011/ref=zg_bs_nav_2_18581095011
10,North America,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-North-America-Travel-Tourism/zgbs/audible/18581109011/ref=zg_bs_nav_2_18581095011
11,Polar Regions,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Polar-Regions-Travel-Tourism/zgbs/audible/18581113011/ref=zg_bs_nav_2_18581095011
12,Russia,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Russia-Travel-Tourism/zgbs/audible/18581114011/ref=zg_bs_nav_2_18581095011
13,Travel Writing & Commentary,https://www.amazon.com/Best-Sellers-Audible-Audiobooks-Travel-Writing-Commentary/zgbs/audible/18581115011/ref=zg_bs_nav_2_18581095011
