,category,URL
0,Baby,https://www.amazon.com/Best-Sellers-Baby/zgbs/baby-products/ref=zg_bs_unv_ba_1_17726796011_1
1,Backpacks & Carriers,https://www.amazon.com/Best-Sellers-Baby-Child-Carrier-Products/zgbs/baby-products/166829011/ref=zg_bs_nav_ba_2_17726796011
2,Bicycle Child Seats & Trailers,https://www.amazon.com/Best-Sellers-Baby-Bike-Child-Seats/zgbs/baby-products/3403281/ref=zg_bs_nav_ba_2_17726796011
3,Car Seats & Accessories,https://www.amazon.com/Best-Sellers-Baby-Child-Safety-Car-Seats-Accessories/zgbs/baby-products/166835011/ref=zg_bs_nav_ba_2_17726796011
4,Diaper Bags,https://www.amazon.com/Best-Sellers-Baby-Diaper-Bags/zgbs/baby-products/166767011/ref=zg_bs_nav_ba_2_17726796011
5,Harnesses & Leashes,https://www.amazon.com/Best-Sellers-Baby-Toddler-Safety-Harnesses-Leashes/zgbs/baby-products/2237486011/ref=zg_bs_nav_ba_2_17726796011
6,Portable Changing Pads,https://www.amazon.com/Best-Sellers-Baby-Portable-Changing-Pads/zgbs/baby-products/2237474011/ref=zg_bs_nav_ba_2_17726796011
7,Shopping Cart Covers,https://www.amazon.com/Best-Sellers-Baby-Shopping-Cart-Seat-Covers/zgbs/baby-products/373743011/ref=zg_bs_nav_ba_2_17726796011
8,Strollers & Accessories,https://www.amazon.com/Best-Sellers-Baby-Strollers-Accessories/zgbs/baby-products/8446318011/ref=zg_bs_nav_ba_2_17726796011
9,Travel Beds,https://www.amazon.com/Best-Sellers-Baby-Infant-Toddler-Travel-Bed-Products/zgbs/baby-products/21364146011/ref=zg_bs_nav_ba_2_17726796011
