,category,URL
0,Books,https://www.amazon.com/best-sellers-books-Amazon/zgbs/books/ref=zg_bs_unv_b_1_27_1
1,"Food, Lodging & Transportation",https://www.amazon.com/Best-Sellers-Books-Food-Lodging-Travel-Reference/zgbs/books/17031/ref=zg_bs_nav_b_2_27
2,Pictorial,https://www.amazon.com/Best-Sellers-Books-Travel-Pictorial-Reference/zgbs/books/17043/ref=zg_bs_nav_b_2_27
3,Reference,https://www.amazon.com/Best-Sellers-Books-Travel-Reference-Tips/zgbs/books/17025/ref=zg_bs_nav_b_2_27
4,Specialty Travel,https://www.amazon.com/Best-Sellers-Books-Specialty-Travel/zgbs/books/17205/ref=zg_bs_nav_b_2_27
5,Travel Writing,https://www.amazon.com/Best-Sellers-Books-Travelogues-Travel-Essays/zgbs/books/17029/ref=zg_bs_nav_b_2_27
6,Africa,https://www.amazon.com/Best-Sellers-Books-African-Travel-Guides/zgbs/books/16703/ref=zg_bs_nav_b_2_27
7,Asia,https://www.amazon.com/Best-Sellers-Books-Asian-Travel-Guides/zgbs/books/16772/ref=zg_bs_nav_b_2_27
8,Australia & South Pacific,https://www.amazon.com/Best-Sellers-Books-Australian-South-Pacific-Travel/zgbs/books/16854/ref=zg_bs_nav_b_2_27
9,Canada,https://www.amazon.com/Best-Sellers-Books-Canadian-Travel-Guides/zgbs/books/16878/ref=zg_bs_nav_b_2_27
10,Caribbean,https://www.amazon.com/Best-Sellers-Books-Caribbean-Travel-Guides/zgbs/books/16880/ref=zg_bs_nav_b_2_27
11,Central America,https://www.amazon.com/Best-Sellers-Books-Central-American-Travel-Guides/zgbs/books/17130/ref=zg_bs_nav_b_2_27
12,Europe,https://www.amazon.com/Best-Sellers-Books-European-Travel-Guides/zgbs/books/16917/ref=zg_bs_nav_b_2_27
13,Mexico,https://www.amazon.com/Best-Sellers-Books-Mexico-Travel-Guides/zgbs/books/17148/ref=zg_bs_nav_b_2_27
14,Middle East,https://www.amazon.com/Best-Sellers-Books-Middle-East-Travel-Guides/zgbs/books/17175/ref=zg_bs_nav_b_2_27
15,Polar Regions,https://www.amazon.com/Best-Sellers-Books-Polar-Regions-Travel-Guides/zgbs/books/17199/ref=zg_bs_nav_b_2_27
16,South America,https://www.amazon.com/Best-Sellers-Books-South-American-Travel-Guides/zgbs/books/17150/ref=zg_bs_nav_b_2_27
17,United States,https://www.amazon.com/Best-Sellers-Books-US-Travel-Guides/zgbs/books/17227/ref=zg_bs_nav_b_2_27
