,category,URL
0,Software,https://www.amazon.com/best-sellers-software/zgbs/software/ref=zg_bs_unv_sw_1_229672_1
1,Backup,https://www.amazon.com/Best-Sellers-Software-Backup-Recovery/zgbs/software/229673/ref=zg_bs_nav_sw_2_229672
2,Drivers & Driver Recovery,https://www.amazon.com/Best-Sellers-Software-Drivers-Driver-Recovery/zgbs/software/8842503011/ref=zg_bs_nav_sw_2_229672
3,File Compression & Decompression,https://www.amazon.com/Best-Sellers-Software-File-Compression-Decompression/zgbs/software/283901/ref=zg_bs_nav_sw_2_229672
4,File Conversion,https://www.amazon.com/Best-Sellers-Software-File-Conversion/zgbs/software/283900/ref=zg_bs_nav_sw_2_229672
5,Internet Utilities,https://www.amazon.com/Best-Sellers-Software-Internet-Utilities/zgbs/software/229640/ref=zg_bs_nav_sw_2_229672
6,Memory Management,https://www.amazon.com/Best-Sellers-Software-Memory-Management/zgbs/software/283905/ref=zg_bs_nav_sw_2_229672
7,Mobile Utilities,https://www.amazon.com/Best-Sellers-Software-Handheld-Utilities/zgbs/software/600526/ref=zg_bs_nav_sw_2_229672
8,PC Maintenance,https://www.amazon.com/Best-Sellers-Software-PC-Maintenance/zgbs/software/229674/ref=zg_bs_nav_sw_2_229672
9,Partitions,https://www.amazon.com/Best-Sellers-Software-Computer-Disk-Partitioning/zgbs/software/283898/ref=zg_bs_nav_sw_2_229672
10,Screen Savers,https://www.amazon.com/Best-Sellers-Software-Computer-Screen-Savers/zgbs/software/229675/ref=zg_bs_nav_sw_2_229672
