,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_7926841011_1
1,Fire TV,https://www.amazon.com/Best-Sellers-Electronics-Fire-TV-Devices-Accessories/zgbs/electronics/8946437011/ref=zg_bs_nav_e_2_7926841011
2,PlayStation 4,https://www.amazon.com/Best-Sellers-Electronics-PlayStation-Consoles-Accessories/zgbs/electronics/7926842011/ref=zg_bs_nav_e_2_7926841011
3,PlayStation 3,https://www.amazon.com/Best-Sellers-Electronics-PlayStation-Consoles-Accessories/zgbs/electronics/7926843011/ref=zg_bs_nav_e_2_7926841011
4,Xbox One,https://www.amazon.com/Best-Sellers-Electronics-Xbox-One-Consoles-Accessories/zgbs/electronics/7926844011/ref=zg_bs_nav_e_2_7926841011
5,Xbox 360,https://www.amazon.com/Best-Sellers-Electronics-Xbox-360-Consoles-Accessories/zgbs/electronics/7926846011/ref=zg_bs_nav_e_2_7926841011
6,Nintendo Switch,https://www.amazon.com/Best-Sellers-Electronics-Nintendo-Switch-Consoles-Accessories/zgbs/electronics/16227139011/ref=zg_bs_nav_e_2_7926841011
7,Wii U,https://www.amazon.com/Best-Sellers-Electronics-Wii-Consoles-Accessories/zgbs/electronics/7926848011/ref=zg_bs_nav_e_2_7926841011
8,Wii,https://www.amazon.com/Best-Sellers-Electronics-Wii-Consoles-Accessories/zgbs/electronics/7926847011/ref=zg_bs_nav_e_2_7926841011
9,Nintendo 3DS,https://www.amazon.com/Best-Sellers-Electronics-Nintendo-3DS-Consoles-Accessories/zgbs/electronics/7926850011/ref=zg_bs_nav_e_2_7926841011
10,Nintendo DS,https://www.amazon.com/Best-Sellers-Electronics-Nintendo-DS-Consoles-Accessories/zgbs/electronics/7926849011/ref=zg_bs_nav_e_2_7926841011
11,PlayStation Vita,https://www.amazon.com/Best-Sellers-Electronics-PlayStation-Vita-Consoles-Accessories/zgbs/electronics/7926852011/ref=zg_bs_nav_e_2_7926841011
12,Sony PSP,https://www.amazon.com/Best-Sellers-Electronics-Sony-PSP-Consoles-Accessories/zgbs/electronics/7926851011/ref=zg_bs_nav_e_2_7926841011
