,category,URL
0,Kindle Store,https://www.amazon.com/Best-Sellers-Kindle-Store/zgbs/digital-text/ref=zg_bs_unv_kstore_1_5744819011_1
1,Read & Listen for Less,https://www.amazon.com/Best-Sellers-Kindle-Store-Read-Listen-Less/zgbs/digital-text/16188251011/ref=zg_bs_nav_kstore_2_5744819011
2,Read & Listen for $14.99 or Less,https://www.amazon.com/Best-Sellers-Kindle-Store-Read-Listen-14-99-Less/zgbs/digital-text/16188250011/ref=zg_bs_nav_kstore_2_5744819011
3,Add Narration for $3.99 or Less,https://www.amazon.com/Best-Sellers-Kindle-Store-Add-Narration-99-Less/zgbs/digital-text/15435872011/ref=zg_bs_nav_kstore_2_5744819011
4,Read-Along Books for Kids,https://www.amazon.com/Best-Sellers-Kindle-Store-Read-Along-Books-Kids/zgbs/digital-text/12474219011/ref=zg_bs_nav_kstore_2_5744819011
5,$0.99 Classics,https://www.amazon.com/Best-Sellers-Kindle-Store-99-Classics/zgbs/digital-text/6522096011/ref=zg_bs_nav_kstore_2_5744819011
6,Arts & Photography,https://www.amazon.com/Best-Sellers-Kindle-Store-Arts-Photography/zgbs/digital-text/6505510011/ref=zg_bs_nav_kstore_2_5744819011
7,Biographies & Memoirs,https://www.amazon.com/Best-Sellers-Kindle-Store-Biographies-Memoirs/zgbs/digital-text/6505511011/ref=zg_bs_nav_kstore_2_5744819011
8,Business & Investing,https://www.amazon.com/Best-Sellers-Kindle-Store-Business-Investing/zgbs/digital-text/6505512011/ref=zg_bs_nav_kstore_2_5744819011
9,Children's eBooks,https://www.amazon.com/Best-Sellers-Kindle-Store-Childrens-eBooks/zgbs/digital-text/6505513011/ref=zg_bs_nav_kstore_2_5744819011
10,Comics & Graphic Novels,https://www.amazon.com/Best-Sellers-Kindle-Store-Comics-Graphic-Novels/zgbs/digital-text/6505514011/ref=zg_bs_nav_kstore_2_5744819011
11,Computers & Technology,https://www.amazon.com/Best-Sellers-Kindle-Store-Computers-Technology/zgbs/digital-text/6505515011/ref=zg_bs_nav_kstore_2_5744819011
12,"Cookbooks, Food & Wine",https://www.amazon.com/Best-Sellers-Kindle-Store-Cookbooks-Food-Wine/zgbs/digital-text/6505516011/ref=zg_bs_nav_kstore_2_5744819011
13,"Crafts, Hobbies & Home",https://www.amazon.com/Best-Sellers-Kindle-Store-Crafts-Hobbies-Home/zgbs/digital-text/6505517011/ref=zg_bs_nav_kstore_2_5744819011
14,Education & Reference,https://www.amazon.com/Best-Sellers-Kindle-Store-Education-Reference/zgbs/digital-text/6505518011/ref=zg_bs_nav_kstore_2_5744819011
15,Gay & Lesbian,https://www.amazon.com/Best-Sellers-Kindle-Store-Gay-Lesbian/zgbs/digital-text/6505519011/ref=zg_bs_nav_kstore_2_5744819011
16,"Health, Fitness & Dieting",https://www.amazon.com/Best-Sellers-Kindle-Store-Health-Fitness-Dieting/zgbs/digital-text/6505520011/ref=zg_bs_nav_kstore_2_5744819011
17,History,https://www.amazon.com/Best-Sellers-Kindle-Store-History/zgbs/digital-text/6505521011/ref=zg_bs_nav_kstore_2_5744819011
18,Humor & Entertainment,https://www.amazon.com/Best-Sellers-Kindle-Store-Humor-Entertainment/zgbs/digital-text/6505522011/ref=zg_bs_nav_kstore_2_5744819011
19,Literature & Fiction,https://www.amazon.com/Best-Sellers-Kindle-Store-Literature-Fiction/zgbs/digital-text/6505523011/ref=zg_bs_nav_kstore_2_5744819011
20,Parenting & Relationships,https://www.amazon.com/Best-Sellers-Kindle-Store-Parenting-Relationships/zgbs/digital-text/6505524011/ref=zg_bs_nav_kstore_2_5744819011
21,Politics & Social Sciences,https://www.amazon.com/Best-Sellers-Kindle-Store-Politics-Social-Sciences/zgbs/digital-text/6505525011/ref=zg_bs_nav_kstore_2_5744819011
22,Professional & Technical,https://www.amazon.com/Best-Sellers-Kindle-Store-Professional-Technical/zgbs/digital-text/6505526011/ref=zg_bs_nav_kstore_2_5744819011
23,Religion & Spirituality,https://www.amazon.com/Best-Sellers-Kindle-Store-Religion-Spirituality/zgbs/digital-text/6505527011/ref=zg_bs_nav_kstore_2_5744819011
24,Romance,https://www.amazon.com/Best-Sellers-Kindle-Store-Romance/zgbs/digital-text/12527147011/ref=zg_bs_nav_kstore_2_5744819011
25,Science & Math,https://www.amazon.com/Best-Sellers-Kindle-Store-Science-Math/zgbs/digital-text/6505528011/ref=zg_bs_nav_kstore_2_5744819011
26,Self-Help,https://www.amazon.com/Best-Sellers-Kindle-Store-Self-Help/zgbs/digital-text/6505529011/ref=zg_bs_nav_kstore_2_5744819011
27,Sports & Outdoors,https://www.amazon.com/Best-Sellers-Kindle-Store-Sports-Outdoors/zgbs/digital-text/6505530011/ref=zg_bs_nav_kstore_2_5744819011
28,Travel,https://www.amazon.com/Best-Sellers-Kindle-Store-Travel/zgbs/digital-text/6505531011/ref=zg_bs_nav_kstore_2_5744819011
