,category,URL
0,Home & Kitchen,https://www.amazon.com/Best-Sellers-Home-Kitchen/zgbs/home-garden/ref=zg_bs_unv_hg_1_13299291_2
1,Kitchen & Dining,https://www.amazon.com/Best-Sellers-Home-Kitchen-Dining/zgbs/home-garden/284507/ref=zg_bs_unv_hg_2_13299291_1
2,Corkscrews & Openers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Corkscrews-Openers/zgbs/home-garden/289734/ref=zg_bs_nav_hg_3_13299291
3,Ice Buckets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Ice-Buckets/zgbs/home-garden/678496011/ref=zg_bs_nav_hg_3_13299291
4,Wine Chillers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wine-Chillers/zgbs/home-garden/13299331/ref=zg_bs_nav_hg_3_13299291
5,Wine Decanters,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wine-Decanters/zgbs/home-garden/13217531/ref=zg_bs_nav_hg_3_13299291
6,Wine Education & Games,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wine-Education-Games/zgbs/home-garden/13299351/ref=zg_bs_nav_hg_3_13299291
7,Wine Glasses,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wine-Glasses/zgbs/home-garden/13218541/ref=zg_bs_nav_hg_3_13299291
8,Wine Racks & Cabinets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wine-Racks-Cabinets/zgbs/home-garden/3744251/ref=zg_bs_nav_hg_3_13299291
9,Wine Stoppers & Pourers,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wine-Stoppers-Pourers/zgbs/home-garden/289737/ref=zg_bs_nav_hg_3_13299291
10,Wine Accessory Sets,https://www.amazon.com/Best-Sellers-Home-Kitchen-Wine-Accessory-Sets/zgbs/home-garden/13299321/ref=zg_bs_nav_hg_3_13299291
