,category,URL
0,Magazine Subscriptions,https://www.amazon.com/Best-Sellers-Magazines/zgbs/magazines/ref=zg_bs_unv_mag_1_602372_1
1,Bridal & Weddings,https://www.amazon.com/Best-Sellers-Magazines-Bridal-Wedding/zgbs/magazines/602318/ref=zg_bs_nav_mag_2_602372
2,Fashion,https://www.amazon.com/Best-Sellers-Magazines-Womens-Fashion/zgbs/magazines/637730/ref=zg_bs_nav_mag_2_602372
3,Women's Lifestyle,https://www.amazon.com/Best-Sellers-Magazines-Womens-Lifestyle/zgbs/magazines/14044581/ref=zg_bs_nav_mag_2_602372
4,Health & Fitness,https://www.amazon.com/Best-Sellers-Magazines-Womens-Health-Fitness/zgbs/magazines/637756/ref=zg_bs_nav_mag_2_602372
5,Motherhood,https://www.amazon.com/Best-Sellers-Magazines-Motherhood/zgbs/magazines/14044561/ref=zg_bs_nav_mag_2_602372
6,Pregnancy & Childbirth,https://www.amazon.com/Best-Sellers-Magazines-Pregnancy-Childbirth/zgbs/magazines/254953011/ref=zg_bs_nav_mag_2_602372
7,Self-Improvement,https://www.amazon.com/Best-Sellers-Magazines-Self-Improvement/zgbs/magazines/14044551/ref=zg_bs_nav_mag_2_602372
8,Dating,https://www.amazon.com/Best-Sellers-Magazines-Dating/zgbs/magazines/14044571/ref=zg_bs_nav_mag_2_602372
9,Women in Business,https://www.amazon.com/Best-Sellers-Magazines-Women-Business/zgbs/magazines/14044541/ref=zg_bs_nav_mag_2_602372
