,category,URL
0,Electronics,https://www.amazon.com/Best-Sellers-Electronics/zgbs/electronics/ref=zg_bs_unv_e_1_2642125011_1
1,eBook Readers,https://www.amazon.com/Best-Sellers-Electronics-eBook-Readers/zgbs/electronics/2642129011/ref=zg_bs_nav_e_2_2642125011
2,Bundles,https://www.amazon.com/Best-Sellers-Electronics-eBook-Reader-Accessory-Bundles/zgbs/electronics/2642130011/ref=zg_bs_nav_e_2_2642125011
3,Covers,https://www.amazon.com/Best-Sellers-Electronics-eBook-Reader-Covers/zgbs/electronics/2642131011/ref=zg_bs_nav_e_2_2642125011
4,Power Adapters,https://www.amazon.com/Best-Sellers-Electronics-eBook-Reader-Power-Adapters/zgbs/electronics/2642132011/ref=zg_bs_nav_e_2_2642125011
5,Power Cables,https://www.amazon.com/Best-Sellers-Electronics-eBook-Reader-Power-Cables/zgbs/electronics/2642133011/ref=zg_bs_nav_e_2_2642125011
6,Reading Lights,https://www.amazon.com/Best-Sellers-Electronics-eBook-Reading-Lights/zgbs/electronics/2642134011/ref=zg_bs_nav_e_2_2642125011
7,Screen Protectors,https://www.amazon.com/Best-Sellers-Electronics-eBook-Reader-Screen-Protectors/zgbs/electronics/2642135011/ref=zg_bs_nav_e_2_2642125011
8,Skins,https://www.amazon.com/Best-Sellers-Electronics-eBook-Reader-Skins/zgbs/electronics/2642136011/ref=zg_bs_nav_e_2_2642125011
9,Sleeves,https://www.amazon.com/Best-Sellers-Electronics-eBook-Reader-Sleeves/zgbs/electronics/2642137011/ref=zg_bs_nav_e_2_2642125011
10,Stands,https://www.amazon.com/Best-Sellers-Electronics-eBook-Reader-Stands/zgbs/electronics/2642138011/ref=zg_bs_nav_e_2_2642125011
