,sub_cat,item_name,URL
0,Action & Adventure,Harry-Potter-Sorcerers-Stone-Rowling-ebook,/Harry-Potter-Sorcerers-Stone-Rowling-ebook/dp/B0192CTMYG/ref=zg_bs_720360_1?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
1,Action & Adventure,product-reviews,/product-reviews/B0192CTMYG/ref=zg_bs_720360_cr_1?ie=UTF8&refRID=969VSFFQKFHPW1K7SF0T
2,Action & Adventure,product-reviews,/product-reviews/B0192CTMYG/ref=zg_bs_720360_cr_1?ie=UTF8&refRID=969VSFFQKFHPW1K7SF0T
3,Action & Adventure,Harry-Potter-Sorcerers-Stone-Rowling-ebook,/Harry-Potter-Sorcerers-Stone-Rowling-ebook/dp/B0192CTMYG/ref=zg_bs_720360_1?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
4,Action & Adventure,Gambling-Man-Archer-Novel-ebook,/Gambling-Man-Archer-Novel-ebook/dp/B08BZ9WSPC/ref=zg_bs_720360_2?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
5,Action & Adventure,product-reviews,/product-reviews/B08BZ9WSPC/ref=zg_bs_720360_cr_2?ie=UTF8&refRID=969VSFFQKFHPW1K7SF0T
6,Action & Adventure,product-reviews,/product-reviews/B08BZ9WSPC/ref=zg_bs_720360_cr_2?ie=UTF8&refRID=969VSFFQKFHPW1K7SF0T
7,Action & Adventure,Gambling-Man-Archer-Novel-ebook,/Gambling-Man-Archer-Novel-ebook/dp/B08BZ9WSPC/ref=zg_bs_720360_2?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
8,Action & Adventure,Gauntlgrym-Neverwinter-Saga-Legend-Drizzt-ebook,/Gauntlgrym-Neverwinter-Saga-Legend-Drizzt-ebook/dp/B003WUYOTI/ref=zg_bs_720360_3?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
9,Action & Adventure,product-reviews,/product-reviews/B003WUYOTI/ref=zg_bs_720360_cr_3?ie=UTF8&refRID=969VSFFQKFHPW1K7SF0T
10,Action & Adventure,product-reviews,/product-reviews/B003WUYOTI/ref=zg_bs_720360_cr_3?ie=UTF8&refRID=969VSFFQKFHPW1K7SF0T
11,Action & Adventure,Gauntlgrym-Neverwinter-Saga-Legend-Drizzt-ebook,/Gauntlgrym-Neverwinter-Saga-Legend-Drizzt-ebook/dp/B003WUYOTI/ref=zg_bs_720360_3?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
12,Action & Adventure,Atlantis-Gene-Thriller-Origin-Mystery-ebook,/Atlantis-Gene-Thriller-Origin-Mystery-ebook/dp/B00C2WDD5I/ref=zg_bs_720360_4?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
13,Action & Adventure,product-reviews,/product-reviews/B00C2WDD5I/ref=zg_bs_720360_cr_4?ie=UTF8&refRID=969VSFFQKFHPW1K7SF0T
14,Action & Adventure,product-reviews,/product-reviews/B00C2WDD5I/ref=zg_bs_720360_cr_4?ie=UTF8&refRID=969VSFFQKFHPW1K7SF0T
15,Action & Adventure,Atlantis-Gene-Thriller-Origin-Mystery-ebook,/Atlantis-Gene-Thriller-Origin-Mystery-ebook/dp/B00C2WDD5I/ref=zg_bs_720360_4?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
16,Action & Adventure,,https://www.amazon.com/gp/new-releases/books/720360/ref=zg_bs_tab_t_bsnr
17,Action & Adventure,,https://www.amazon.com/gp/new-releases/books/720360/ref=zg_bs_tab_t_bsnr
18,Action & Adventure,,https://www.amazon.com/gp/most-wished-for/books/720360/ref=zg_bs_tab_t_mw
19,Action & Adventure,,https://www.amazon.com/gp/most-wished-for/books/720360/ref=zg_bs_tab_t_mw
20,Action & Adventure,Sooley-Novel-John-Grisham-ebook,/Sooley-Novel-John-Grisham-ebook/dp/B08TVFZ44W/ref=zg_bs_720360_5?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
21,Action & Adventure,Sooley-Novel-John-Grisham-ebook,/Sooley-Novel-John-Grisham-ebook/dp/B08TVFZ44W/ref=zg_bs_720360_5?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
22,Action & Adventure,Invisible-Life-Addie-LaRue,/Invisible-Life-Addie-LaRue/dp/0765387565/ref=zg_bs_720360_6?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
23,Action & Adventure,product-reviews,/product-reviews/0765387565/ref=zg_bs_720360_cr_6?ie=UTF8&refRID=969VSFFQKFHPW1K7SF0T
24,Action & Adventure,product-reviews,/product-reviews/0765387565/ref=zg_bs_720360_cr_6?ie=UTF8&refRID=969VSFFQKFHPW1K7SF0T
25,Action & Adventure,Invisible-Life-Addie-LaRue,/Invisible-Life-Addie-LaRue/dp/0765387565/ref=zg_bs_720360_6?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
26,Action & Adventure,Sooley-Novel-John-Grisham,/Sooley-Novel-John-Grisham/dp/0385547684/ref=zg_bs_720360_7?_encoding=UTF8&psc=1&refRID=969VSFFQKFHPW1K7SF0T
