,sub_cat,item_name,URL
0,Ancient & Medieval Literature,The-Odyssey-Claire-Danes-audiobook,/The-Odyssey-Claire-Danes-audiobook/dp/B07GL4J6Z1/ref=zg_bs_5391236011_1?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
1,Ancient & Medieval Literature,product-reviews,/product-reviews/B07GL4J6Z1/ref=zg_bs_5391236011_cr_1?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
2,Ancient & Medieval Literature,product-reviews,/product-reviews/B07GL4J6Z1/ref=zg_bs_5391236011_cr_1?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
3,Ancient & Medieval Literature,The-Odyssey-Claire-Danes-audiobook,/The-Odyssey-Claire-Danes-audiobook/dp/B07GL4J6Z1/ref=zg_bs_5391236011_1?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
4,Ancient & Medieval Literature,Troy-The-Greek-Myths-Reimagined,/Troy-The-Greek-Myths-Reimagined/dp/B08ZBNW3N7/ref=zg_bs_5391236011_2?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
5,Ancient & Medieval Literature,product-reviews,/product-reviews/B08ZBNW3N7/ref=zg_bs_5391236011_cr_2?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
6,Ancient & Medieval Literature,product-reviews,/product-reviews/B08ZBNW3N7/ref=zg_bs_5391236011_cr_2?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
7,Ancient & Medieval Literature,Troy-The-Greek-Myths-Reimagined,/Troy-The-Greek-Myths-Reimagined/dp/B08ZBNW3N7/ref=zg_bs_5391236011_2?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
8,Ancient & Medieval Literature,Homer-Box-Set-Iliad-Odyssey-audiobook,/Homer-Box-Set-Iliad-Odyssey-audiobook/dp/B00AOAZTHK/ref=zg_bs_5391236011_3?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
9,Ancient & Medieval Literature,product-reviews,/product-reviews/B00AOAZTHK/ref=zg_bs_5391236011_cr_3?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
10,Ancient & Medieval Literature,product-reviews,/product-reviews/B00AOAZTHK/ref=zg_bs_5391236011_cr_3?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
11,Ancient & Medieval Literature,Homer-Box-Set-Iliad-Odyssey-audiobook,/Homer-Box-Set-Iliad-Odyssey-audiobook/dp/B00AOAZTHK/ref=zg_bs_5391236011_3?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
12,Ancient & Medieval Literature,Carnival-Snackery-Diaries-2003-2020,/Carnival-Snackery-Diaries-2003-2020/dp/0316558796/ref=zg_bs_5391236011_4?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
13,Ancient & Medieval Literature,Carnival-Snackery-Diaries-2003-2020,/Carnival-Snackery-Diaries-2003-2020/dp/0316558796/ref=zg_bs_5391236011_4?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
14,Ancient & Medieval Literature,,https://www.amazon.com/gp/new-releases/books/5391236011/ref=zg_bs_tab_t_bsnr
15,Ancient & Medieval Literature,,https://www.amazon.com/gp/new-releases/books/5391236011/ref=zg_bs_tab_t_bsnr
16,Ancient & Medieval Literature,,https://www.amazon.com/gp/most-wished-for/books/5391236011/ref=zg_bs_tab_t_mw
17,Ancient & Medieval Literature,,https://www.amazon.com/gp/most-wished-for/books/5391236011/ref=zg_bs_tab_t_mw
18,Ancient & Medieval Literature,Letters-Penguin-Classics-Lucius-Annaeus,/Letters-Penguin-Classics-Lucius-Annaeus/dp/0140442103/ref=zg_bs_5391236011_5?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
19,Ancient & Medieval Literature,product-reviews,/product-reviews/0140442103/ref=zg_bs_5391236011_cr_5?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
20,Ancient & Medieval Literature,product-reviews,/product-reviews/0140442103/ref=zg_bs_5391236011_cr_5?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
21,Ancient & Medieval Literature,Letters-Penguin-Classics-Lucius-Annaeus,/Letters-Penguin-Classics-Lucius-Annaeus/dp/0140442103/ref=zg_bs_5391236011_5?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
22,Ancient & Medieval Literature,Mythology-Timeless-Tales-Gods-Heroes,/Mythology-Timeless-Tales-Gods-Heroes/dp/0446574759/ref=zg_bs_5391236011_6?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
23,Ancient & Medieval Literature,product-reviews,/product-reviews/0446574759/ref=zg_bs_5391236011_cr_6?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
24,Ancient & Medieval Literature,product-reviews,/product-reviews/0446574759/ref=zg_bs_5391236011_cr_6?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
25,Ancient & Medieval Literature,Mythology-Timeless-Tales-Gods-Heroes,/Mythology-Timeless-Tales-Gods-Heroes/dp/0446574759/ref=zg_bs_5391236011_6?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
26,Ancient & Medieval Literature,Odyssey-Homer,/Odyssey-Homer/dp/0393356256/ref=zg_bs_5391236011_7?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
27,Ancient & Medieval Literature,product-reviews,/product-reviews/0393356256/ref=zg_bs_5391236011_cr_7?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
28,Ancient & Medieval Literature,product-reviews,/product-reviews/0393356256/ref=zg_bs_5391236011_cr_7?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
29,Ancient & Medieval Literature,Odyssey-Homer,/Odyssey-Homer/dp/0393356256/ref=zg_bs_5391236011_7?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
30,Ancient & Medieval Literature,Imitation-Christ-Dover-Thrift-Editions,/Imitation-Christ-Dover-Thrift-Editions/dp/0486431851/ref=zg_bs_5391236011_8?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
31,Ancient & Medieval Literature,product-reviews,/product-reviews/0486431851/ref=zg_bs_5391236011_cr_8?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
32,Ancient & Medieval Literature,product-reviews,/product-reviews/0486431851/ref=zg_bs_5391236011_cr_8?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
33,Ancient & Medieval Literature,Imitation-Christ-Dover-Thrift-Editions,/Imitation-Christ-Dover-Thrift-Editions/dp/0486431851/ref=zg_bs_5391236011_8?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
34,Ancient & Medieval Literature,Letters-Stoic-Penguin-Classics-Hardcover,/Letters-Stoic-Penguin-Classics-Hardcover/dp/0141395850/ref=zg_bs_5391236011_9?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
35,Ancient & Medieval Literature,product-reviews,/product-reviews/0141395850/ref=zg_bs_5391236011_cr_9?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
36,Ancient & Medieval Literature,product-reviews,/product-reviews/0141395850/ref=zg_bs_5391236011_cr_9?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
37,Ancient & Medieval Literature,Letters-Stoic-Penguin-Classics-Hardcover,/Letters-Stoic-Penguin-Classics-Hardcover/dp/0141395850/ref=zg_bs_5391236011_9?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
38,Ancient & Medieval Literature,Marcus-Aurelius-Meditations-Contemporary-Classics,/Marcus-Aurelius-Meditations-Contemporary-Classics/dp/1539952290/ref=zg_bs_5391236011_10?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
39,Ancient & Medieval Literature,product-reviews,/product-reviews/1539952290/ref=zg_bs_5391236011_cr_10?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
40,Ancient & Medieval Literature,product-reviews,/product-reviews/1539952290/ref=zg_bs_5391236011_cr_10?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
41,Ancient & Medieval Literature,Marcus-Aurelius-Meditations-Contemporary-Classics,/Marcus-Aurelius-Meditations-Contemporary-Classics/dp/1539952290/ref=zg_bs_5391236011_10?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
42,Ancient & Medieval Literature,Up-Slavery-Booker-T-Washington,/Up-Slavery-Booker-T-Washington/dp/1508483116/ref=zg_bs_5391236011_11?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
43,Ancient & Medieval Literature,product-reviews,/product-reviews/1508483116/ref=zg_bs_5391236011_cr_11?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
44,Ancient & Medieval Literature,product-reviews,/product-reviews/1508483116/ref=zg_bs_5391236011_cr_11?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
45,Ancient & Medieval Literature,Up-Slavery-Booker-T-Washington,/Up-Slavery-Booker-T-Washington/dp/1508483116/ref=zg_bs_5391236011_11?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
46,Ancient & Medieval Literature,Three-Theban-Plays-Antigone-Oedipus,/Three-Theban-Plays-Antigone-Oedipus/dp/0140444254/ref=zg_bs_5391236011_12?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
47,Ancient & Medieval Literature,product-reviews,/product-reviews/0140444254/ref=zg_bs_5391236011_cr_12?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
48,Ancient & Medieval Literature,product-reviews,/product-reviews/0140444254/ref=zg_bs_5391236011_cr_12?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
49,Ancient & Medieval Literature,Three-Theban-Plays-Antigone-Oedipus,/Three-Theban-Plays-Antigone-Oedipus/dp/0140444254/ref=zg_bs_5391236011_12?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
50,Ancient & Medieval Literature,Practicing-Stoic-Philosophical-Users-Manual,/Practicing-Stoic-Philosophical-Users-Manual/dp/1567926118/ref=zg_bs_5391236011_13?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
51,Ancient & Medieval Literature,product-reviews,/product-reviews/1567926118/ref=zg_bs_5391236011_cr_13?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
52,Ancient & Medieval Literature,product-reviews,/product-reviews/1567926118/ref=zg_bs_5391236011_cr_13?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
53,Ancient & Medieval Literature,Practicing-Stoic-Philosophical-Users-Manual,/Practicing-Stoic-Philosophical-Users-Manual/dp/1567926118/ref=zg_bs_5391236011_13?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
54,Ancient & Medieval Literature,Personal-Reference-Sovereign-Collection-Genuine,/Personal-Reference-Sovereign-Collection-Genuine/dp/0785239278/ref=zg_bs_5391236011_14?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
55,Ancient & Medieval Literature,product-reviews,/product-reviews/0785239278/ref=zg_bs_5391236011_cr_14?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
56,Ancient & Medieval Literature,product-reviews,/product-reviews/0785239278/ref=zg_bs_5391236011_cr_14?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
57,Ancient & Medieval Literature,Personal-Reference-Sovereign-Collection-Genuine,/Personal-Reference-Sovereign-Collection-Genuine/dp/0785239278/ref=zg_bs_5391236011_14?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
58,Ancient & Medieval Literature,Republic-Penguin-Classics-Plato,/Republic-Penguin-Classics-Plato/dp/0140455116/ref=zg_bs_5391236011_15?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
59,Ancient & Medieval Literature,product-reviews,/product-reviews/0140455116/ref=zg_bs_5391236011_cr_15?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
60,Ancient & Medieval Literature,product-reviews,/product-reviews/0140455116/ref=zg_bs_5391236011_cr_15?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
61,Ancient & Medieval Literature,Republic-Penguin-Classics-Plato,/Republic-Penguin-Classics-Plato/dp/0140455116/ref=zg_bs_5391236011_15?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
62,Ancient & Medieval Literature,Canterbury-Tales-Translation-Gerald-Davis-ebook,/Canterbury-Tales-Translation-Gerald-Davis-ebook/dp/B01GQK9EPY/ref=zg_bs_5391236011_16?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
63,Ancient & Medieval Literature,product-reviews,/product-reviews/B01GQK9EPY/ref=zg_bs_5391236011_cr_16?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
64,Ancient & Medieval Literature,product-reviews,/product-reviews/B01GQK9EPY/ref=zg_bs_5391236011_cr_16?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
65,Ancient & Medieval Literature,Canterbury-Tales-Translation-Gerald-Davis-ebook,/Canterbury-Tales-Translation-Gerald-Davis-ebook/dp/B01GQK9EPY/ref=zg_bs_5391236011_16?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
66,Ancient & Medieval Literature,Celtic-Mythology-Philip-Freeman-audiobook,/Celtic-Mythology-Philip-Freeman-audiobook/dp/B076TLSGVF/ref=zg_bs_5391236011_17?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
67,Ancient & Medieval Literature,product-reviews,/product-reviews/B076TLSGVF/ref=zg_bs_5391236011_cr_17?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
68,Ancient & Medieval Literature,product-reviews,/product-reviews/B076TLSGVF/ref=zg_bs_5391236011_cr_17?ie=UTF8&refRID=NEYPYVJ5206WVXBJF5J3
69,Ancient & Medieval Literature,Celtic-Mythology-Philip-Freeman-audiobook,/Celtic-Mythology-Philip-Freeman-audiobook/dp/B076TLSGVF/ref=zg_bs_5391236011_17?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
70,Ancient & Medieval Literature,Masterpieces-you-have-read-before-ebook,/Masterpieces-you-have-read-before-ebook/dp/B07QDJRRXF/ref=zg_bs_5391236011_18?_encoding=UTF8&psc=1&refRID=NEYPYVJ5206WVXBJF5J3
