,sub_cat,item_name,URL
0,Arts & Photography,Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook,/Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook/dp/B00KK0PICK/ref=zg_bs_154607011_1?_encoding=UTF8&psc=1&refRID=94H67ECCJW8TX806S819
1,Arts & Photography,product-reviews,/product-reviews/B00KK0PICK/ref=zg_bs_154607011_cr_1?ie=UTF8&refRID=94H67ECCJW8TX806S819
2,Arts & Photography,product-reviews,/product-reviews/B00KK0PICK/ref=zg_bs_154607011_cr_1?ie=UTF8&refRID=94H67ECCJW8TX806S819
3,Arts & Photography,Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook,/Life-Changing-Magic-Tidying-Decluttering-Organizing-ebook/dp/B00KK0PICK/ref=zg_bs_154607011_1?_encoding=UTF8&psc=1&refRID=94H67ECCJW8TX806S819
4,Arts & Photography,My-Creative-Space-Stimulate-Innovation-ebook,/My-Creative-Space-Stimulate-Innovation-ebook/dp/B07RKY7GQC/ref=zg_bs_154607011_2?_encoding=UTF8&psc=1&refRID=94H67ECCJW8TX806S819
5,Arts & Photography,product-reviews,/product-reviews/B07RKY7GQC/ref=zg_bs_154607011_cr_2?ie=UTF8&refRID=94H67ECCJW8TX806S819
6,Arts & Photography,product-reviews,/product-reviews/B07RKY7GQC/ref=zg_bs_154607011_cr_2?ie=UTF8&refRID=94H67ECCJW8TX806S819
7,Arts & Photography,My-Creative-Space-Stimulate-Innovation-ebook,/My-Creative-Space-Stimulate-Innovation-ebook/dp/B07RKY7GQC/ref=zg_bs_154607011_2?_encoding=UTF8&psc=1&refRID=94H67ECCJW8TX806S819
8,Arts & Photography,99-Invisible-City-Hidden-Everyday-ebook,/99-Invisible-City-Hidden-Everyday-ebook/dp/B086YHKSJX/ref=zg_bs_154607011_3?_encoding=UTF8&psc=1&refRID=94H67ECCJW8TX806S819
9,Arts & Photography,product-reviews,/product-reviews/B086YHKSJX/ref=zg_bs_154607011_cr_3?ie=UTF8&refRID=94H67ECCJW8TX806S819
10,Arts & Photography,product-reviews,/product-reviews/B086YHKSJX/ref=zg_bs_154607011_cr_3?ie=UTF8&refRID=94H67ECCJW8TX806S819
11,Arts & Photography,99-Invisible-City-Hidden-Everyday-ebook,/99-Invisible-City-Hidden-Everyday-ebook/dp/B086YHKSJX/ref=zg_bs_154607011_3?_encoding=UTF8&psc=1&refRID=94H67ECCJW8TX806S819
12,Arts & Photography,Alright-History-Richard-Linklaters-Confused-ebook,/Alright-History-Richard-Linklaters-Confused-ebook/dp/B084VRNBNZ/ref=zg_bs_154607011_4?_encoding=UTF8&psc=1&refRID=94H67ECCJW8TX806S819
13,Arts & Photography,product-reviews,/product-reviews/B084VRNBNZ/ref=zg_bs_154607011_cr_4?ie=UTF8&refRID=94H67ECCJW8TX806S819
14,Arts & Photography,product-reviews,/product-reviews/B084VRNBNZ/ref=zg_bs_154607011_cr_4?ie=UTF8&refRID=94H67ECCJW8TX806S819
15,Arts & Photography,Alright-History-Richard-Linklaters-Confused-ebook,/Alright-History-Richard-Linklaters-Confused-ebook/dp/B084VRNBNZ/ref=zg_bs_154607011_4?_encoding=UTF8&psc=1&refRID=94H67ECCJW8TX806S819
16,Arts & Photography,,https://www.amazon.com/gp/new-releases/digital-text/154607011/ref=zg_bs_tab_t_bsnr
17,Arts & Photography,,https://www.amazon.com/gp/new-releases/digital-text/154607011/ref=zg_bs_tab_t_bsnr
