,sub_cat,item_name,URL
0,Biographies & Memoirs,When-Breath-Becomes-Paul-Kalanithi-ebook,/When-Breath-Becomes-Paul-Kalanithi-ebook/dp/B00XSSYR50/ref=zg_bs_154754011_1?_encoding=UTF8&psc=1&refRID=8FPPW3ZKH4F3GG1GCE2F
1,Biographies & Memoirs,product-reviews,/product-reviews/B00XSSYR50/ref=zg_bs_154754011_cr_1?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
2,Biographies & Memoirs,product-reviews,/product-reviews/B00XSSYR50/ref=zg_bs_154754011_cr_1?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
3,Biographies & Memoirs,When-Breath-Becomes-Paul-Kalanithi-ebook,/When-Breath-Becomes-Paul-Kalanithi-ebook/dp/B00XSSYR50/ref=zg_bs_154754011_1?_encoding=UTF8&psc=1&refRID=8FPPW3ZKH4F3GG1GCE2F
4,Biographies & Memoirs,If-You-Tell-Unbreakable-Sisterhood-ebook,/If-You-Tell-Unbreakable-Sisterhood-ebook/dp/B07Q5TL9SQ/ref=zg_bs_154754011_2?_encoding=UTF8&psc=1&refRID=8FPPW3ZKH4F3GG1GCE2F
5,Biographies & Memoirs,product-reviews,/product-reviews/B07Q5TL9SQ/ref=zg_bs_154754011_cr_2?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
6,Biographies & Memoirs,product-reviews,/product-reviews/B07Q5TL9SQ/ref=zg_bs_154754011_cr_2?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
7,Biographies & Memoirs,If-You-Tell-Unbreakable-Sisterhood-ebook,/If-You-Tell-Unbreakable-Sisterhood-ebook/dp/B07Q5TL9SQ/ref=zg_bs_154754011_2?_encoding=UTF8&psc=1&refRID=8FPPW3ZKH4F3GG1GCE2F
8,Biographies & Memoirs,Yellow-House-Sarah-M-Broom-ebook,/Yellow-House-Sarah-M-Broom-ebook/dp/B07MG5ZGW6/ref=zg_bs_154754011_3?_encoding=UTF8&psc=1&refRID=8FPPW3ZKH4F3GG1GCE2F
9,Biographies & Memoirs,product-reviews,/product-reviews/B07MG5ZGW6/ref=zg_bs_154754011_cr_3?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
10,Biographies & Memoirs,product-reviews,/product-reviews/B07MG5ZGW6/ref=zg_bs_154754011_cr_3?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
11,Biographies & Memoirs,Yellow-House-Sarah-M-Broom-ebook,/Yellow-House-Sarah-M-Broom-ebook/dp/B07MG5ZGW6/ref=zg_bs_154754011_3?_encoding=UTF8&psc=1&refRID=8FPPW3ZKH4F3GG1GCE2F
12,Biographies & Memoirs,Ride-Lifetime-Lessons-Learned-Company-ebook,/Ride-Lifetime-Lessons-Learned-Company-ebook/dp/B07PF6XTD8/ref=zg_bs_154754011_4?_encoding=UTF8&psc=1&refRID=8FPPW3ZKH4F3GG1GCE2F
13,Biographies & Memoirs,product-reviews,/product-reviews/B07PF6XTD8/ref=zg_bs_154754011_cr_4?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
14,Biographies & Memoirs,product-reviews,/product-reviews/B07PF6XTD8/ref=zg_bs_154754011_cr_4?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
15,Biographies & Memoirs,Ride-Lifetime-Lessons-Learned-Company-ebook,/Ride-Lifetime-Lessons-Learned-Company-ebook/dp/B07PF6XTD8/ref=zg_bs_154754011_4?_encoding=UTF8&psc=1&refRID=8FPPW3ZKH4F3GG1GCE2F
16,Biographies & Memoirs,,https://www.amazon.com/gp/new-releases/digital-text/154754011/ref=zg_bs_tab_t_bsnr
17,Biographies & Memoirs,,https://www.amazon.com/gp/new-releases/digital-text/154754011/ref=zg_bs_tab_t_bsnr
18,Biographies & Memoirs,Stamped-Beginning-Definitive-History-America-ebook,/Stamped-Beginning-Definitive-History-America-ebook/dp/B017QL8WV4/ref=zg_bs_154754011_5?_encoding=UTF8&psc=1&refRID=8FPPW3ZKH4F3GG1GCE2F
19,Biographies & Memoirs,product-reviews,/product-reviews/B017QL8WV4/ref=zg_bs_154754011_cr_5?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
20,Biographies & Memoirs,product-reviews,/product-reviews/B017QL8WV4/ref=zg_bs_154754011_cr_5?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
21,Biographies & Memoirs,Stamped-Beginning-Definitive-History-America-ebook,/Stamped-Beginning-Definitive-History-America-ebook/dp/B017QL8WV4/ref=zg_bs_154754011_5?_encoding=UTF8&psc=1&refRID=8FPPW3ZKH4F3GG1GCE2F
22,Biographies & Memoirs,D-Day-Girls-Resistance-Sabotaged-Helped-ebook,/D-Day-Girls-Resistance-Sabotaged-Helped-ebook/dp/B07GNS3LGK/ref=zg_bs_154754011_6?_encoding=UTF8&psc=1&refRID=8FPPW3ZKH4F3GG1GCE2F
23,Biographies & Memoirs,product-reviews,/product-reviews/B07GNS3LGK/ref=zg_bs_154754011_cr_6?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
24,Biographies & Memoirs,product-reviews,/product-reviews/B07GNS3LGK/ref=zg_bs_154754011_cr_6?ie=UTF8&refRID=8FPPW3ZKH4F3GG1GCE2F
