,sub_cat,item_name,URL
0,Black & African American,Hill-We-Climb-Inaugural-Country,/Hill-We-Climb-Inaugural-Country/dp/059346527X/ref=zg_bs_9823_1?_encoding=UTF8&psc=1&refRID=MXE4JWW3E9W2HCV75JFW
1,Black & African American,product-reviews,/product-reviews/059346527X/ref=zg_bs_9823_cr_1?ie=UTF8&refRID=MXE4JWW3E9W2HCV75JFW
2,Black & African American,product-reviews,/product-reviews/059346527X/ref=zg_bs_9823_cr_1?ie=UTF8&refRID=MXE4JWW3E9W2HCV75JFW
3,Black & African American,Hill-We-Climb-Inaugural-Country,/Hill-We-Climb-Inaugural-Country/dp/059346527X/ref=zg_bs_9823_1?_encoding=UTF8&psc=1&refRID=MXE4JWW3E9W2HCV75JFW
4,Black & African American,dp,/dp/B092TKGG53/ref=zg_bs_9823_2?_encoding=UTF8&psc=1&refRID=MXE4JWW3E9W2HCV75JFW
5,Black & African American,product-reviews,/product-reviews/B092TKGG53/ref=zg_bs_9823_cr_2?ie=UTF8&refRID=MXE4JWW3E9W2HCV75JFW
6,Black & African American,product-reviews,/product-reviews/B092TKGG53/ref=zg_bs_9823_cr_2?ie=UTF8&refRID=MXE4JWW3E9W2HCV75JFW
7,Black & African American,dp,/dp/B092TKGG53/ref=zg_bs_9823_2?_encoding=UTF8&psc=1&refRID=MXE4JWW3E9W2HCV75JFW
8,Black & African American,The-Vanishing-Half-A-Novel,/The-Vanishing-Half-A-Novel/dp/B085S7DMRQ/ref=zg_bs_9823_3?_encoding=UTF8&psc=1&refRID=MXE4JWW3E9W2HCV75JFW
9,Black & African American,product-reviews,/product-reviews/B085S7DMRQ/ref=zg_bs_9823_cr_3?ie=UTF8&refRID=MXE4JWW3E9W2HCV75JFW
10,Black & African American,product-reviews,/product-reviews/B085S7DMRQ/ref=zg_bs_9823_cr_3?ie=UTF8&refRID=MXE4JWW3E9W2HCV75JFW
11,Black & African American,The-Vanishing-Half-A-Novel,/The-Vanishing-Half-A-Novel/dp/B085S7DMRQ/ref=zg_bs_9823_3?_encoding=UTF8&psc=1&refRID=MXE4JWW3E9W2HCV75JFW
12,Black & African American,Tide-Between-Us-Irish-Jamaican-Emancipation-ebook,/Tide-Between-Us-Irish-Jamaican-Emancipation-ebook/dp/B07MHN92RY/ref=zg_bs_9823_4?_encoding=UTF8&psc=1&refRID=MXE4JWW3E9W2HCV75JFW
13,Black & African American,product-reviews,/product-reviews/B07MHN92RY/ref=zg_bs_9823_cr_4?ie=UTF8&refRID=MXE4JWW3E9W2HCV75JFW
14,Black & African American,product-reviews,/product-reviews/B07MHN92RY/ref=zg_bs_9823_cr_4?ie=UTF8&refRID=MXE4JWW3E9W2HCV75JFW
15,Black & African American,Tide-Between-Us-Irish-Jamaican-Emancipation-ebook,/Tide-Between-Us-Irish-Jamaican-Emancipation-ebook/dp/B07MHN92RY/ref=zg_bs_9823_4?_encoding=UTF8&psc=1&refRID=MXE4JWW3E9W2HCV75JFW
16,Black & African American,,https://www.amazon.com/gp/new-releases/books/9823/ref=zg_bs_tab_t_bsnr
17,Black & African American,,https://www.amazon.com/gp/new-releases/books/9823/ref=zg_bs_tab_t_bsnr
18,Black & African American,,https://www.amazon.com/gp/most-wished-for/books/9823/ref=zg_bs_tab_t_mw
19,Black & African American,,https://www.amazon.com/gp/most-wished-for/books/9823/ref=zg_bs_tab_t_mw
