,sub_cat,item_name,URL
0,Boys,Patrol-Birthday-FAMILY-Matching-Shirts,/Patrol-Birthday-FAMILY-Matching-Shirts/dp/B0789FFC1Q/ref=zg_bs_17714716011_1?_encoding=UTF8&psc=1&refRID=MBVEPYZQZ5YGJ3CD47K7
1,Boys,product-reviews,/product-reviews/B0789FFC1Q/ref=zg_bs_17714716011_cr_1?ie=UTF8&refRID=MBVEPYZQZ5YGJ3CD47K7
2,Boys,product-reviews,/product-reviews/B0789FFC1Q/ref=zg_bs_17714716011_cr_1?ie=UTF8&refRID=MBVEPYZQZ5YGJ3CD47K7
3,Boys,Patrol-Birthday-FAMILY-Matching-Shirts,/Patrol-Birthday-FAMILY-Matching-Shirts/dp/B0789FFC1Q/ref=zg_bs_17714716011_1?_encoding=UTF8&psc=1&refRID=MBVEPYZQZ5YGJ3CD47K7
4,Boys,Mario-Birthday-Family-Matching-Shirts,/Mario-Birthday-Family-Matching-Shirts/dp/B07P2H6VH7/ref=zg_bs_17714716011_2?_encoding=UTF8&psc=1&refRID=MBVEPYZQZ5YGJ3CD47K7
5,Boys,product-reviews,/product-reviews/B07P2H6VH7/ref=zg_bs_17714716011_cr_2?ie=UTF8&refRID=MBVEPYZQZ5YGJ3CD47K7
6,Boys,product-reviews,/product-reviews/B07P2H6VH7/ref=zg_bs_17714716011_cr_2?ie=UTF8&refRID=MBVEPYZQZ5YGJ3CD47K7
7,Boys,Mario-Birthday-Family-Matching-Shirts,/Mario-Birthday-Family-Matching-Shirts/dp/B07P2H6VH7/ref=zg_bs_17714716011_2?_encoding=UTF8&psc=1&refRID=MBVEPYZQZ5YGJ3CD47K7
8,Boys,Spider-Birthday-Family-Spider-Man-Spiderman,/Spider-Birthday-Family-Spider-Man-Spiderman/dp/B07DSHRK1X/ref=zg_bs_17714716011_3?_encoding=UTF8&psc=1&refRID=MBVEPYZQZ5YGJ3CD47K7
9,Boys,product-reviews,/product-reviews/B07DSHRK1X/ref=zg_bs_17714716011_cr_3?ie=UTF8&refRID=MBVEPYZQZ5YGJ3CD47K7
