,sub_cat,item_name,URL
0,British & Irish,Sarum-Novel-England-Edward-Rutherfurd-ebook,/Sarum-Novel-England-Edward-Rutherfurd-ebook/dp/B005IEGUDY/ref=zg_bs_10016_1?_encoding=UTF8&psc=1&refRID=A7K4V8FCKZHCHSY9NHNT
1,British & Irish,product-reviews,/product-reviews/B005IEGUDY/ref=zg_bs_10016_cr_1?ie=UTF8&refRID=A7K4V8FCKZHCHSY9NHNT
2,British & Irish,product-reviews,/product-reviews/B005IEGUDY/ref=zg_bs_10016_cr_1?ie=UTF8&refRID=A7K4V8FCKZHCHSY9NHNT
3,British & Irish,Sarum-Novel-England-Edward-Rutherfurd-ebook,/Sarum-Novel-England-Edward-Rutherfurd-ebook/dp/B005IEGUDY/ref=zg_bs_10016_1?_encoding=UTF8&psc=1&refRID=A7K4V8FCKZHCHSY9NHNT
4,British & Irish,Sea-Memories-Fiona-Valpy-ebook,/Sea-Memories-Fiona-Valpy-ebook/dp/B06Y5PSTB5/ref=zg_bs_10016_2?_encoding=UTF8&psc=1&refRID=A7K4V8FCKZHCHSY9NHNT
5,British & Irish,product-reviews,/product-reviews/B06Y5PSTB5/ref=zg_bs_10016_cr_2?ie=UTF8&refRID=A7K4V8FCKZHCHSY9NHNT
6,British & Irish,product-reviews,/product-reviews/B06Y5PSTB5/ref=zg_bs_10016_cr_2?ie=UTF8&refRID=A7K4V8FCKZHCHSY9NHNT
7,British & Irish,Sea-Memories-Fiona-Valpy-ebook,/Sea-Memories-Fiona-Valpy-ebook/dp/B06Y5PSTB5/ref=zg_bs_10016_2?_encoding=UTF8&psc=1&refRID=A7K4V8FCKZHCHSY9NHNT
8,British & Irish,Hamnet-Maggie-OFarrell-ebook,/Hamnet-Maggie-OFarrell-ebook/dp/B07ZN51NL3/ref=zg_bs_10016_3?_encoding=UTF8&psc=1&refRID=A7K4V8FCKZHCHSY9NHNT
9,British & Irish,product-reviews,/product-reviews/B07ZN51NL3/ref=zg_bs_10016_cr_3?ie=UTF8&refRID=A7K4V8FCKZHCHSY9NHNT
10,British & Irish,product-reviews,/product-reviews/B07ZN51NL3/ref=zg_bs_10016_cr_3?ie=UTF8&refRID=A7K4V8FCKZHCHSY9NHNT
11,British & Irish,Hamnet-Maggie-OFarrell-ebook,/Hamnet-Maggie-OFarrell-ebook/dp/B07ZN51NL3/ref=zg_bs_10016_3?_encoding=UTF8&psc=1&refRID=A7K4V8FCKZHCHSY9NHNT
12,British & Irish,Postcards-Stranger-Imogen-Clark-ebook,/Postcards-Stranger-Imogen-Clark-ebook/dp/B07B2VX1LR/ref=zg_bs_10016_4?_encoding=UTF8&psc=1&refRID=A7K4V8FCKZHCHSY9NHNT
13,British & Irish,product-reviews,/product-reviews/B07B2VX1LR/ref=zg_bs_10016_cr_4?ie=UTF8&refRID=A7K4V8FCKZHCHSY9NHNT
14,British & Irish,product-reviews,/product-reviews/B07B2VX1LR/ref=zg_bs_10016_cr_4?ie=UTF8&refRID=A7K4V8FCKZHCHSY9NHNT
15,British & Irish,Postcards-Stranger-Imogen-Clark-ebook,/Postcards-Stranger-Imogen-Clark-ebook/dp/B07B2VX1LR/ref=zg_bs_10016_4?_encoding=UTF8&psc=1&refRID=A7K4V8FCKZHCHSY9NHNT
16,British & Irish,,https://www.amazon.com/gp/new-releases/books/10016/ref=zg_bs_tab_t_bsnr
17,British & Irish,,https://www.amazon.com/gp/new-releases/books/10016/ref=zg_bs_tab_t_bsnr
18,British & Irish,,https://www.amazon.com/gp/most-wished-for/books/10016/ref=zg_bs_tab_t_mw
19,British & Irish,,https://www.amazon.com/gp/most-wished-for/books/10016/ref=zg_bs_tab_t_mw
20,British & Irish,Farleigh-Field-Novel-World-War-ebook,/Farleigh-Field-Novel-World-War-ebook/dp/B01HBKAYMA/ref=zg_bs_10016_5?_encoding=UTF8&psc=1&refRID=A7K4V8FCKZHCHSY9NHNT
21,British & Irish,product-reviews,/product-reviews/B01HBKAYMA/ref=zg_bs_10016_cr_5?ie=UTF8&refRID=A7K4V8FCKZHCHSY9NHNT
22,British & Irish,product-reviews,/product-reviews/B01HBKAYMA/ref=zg_bs_10016_cr_5?ie=UTF8&refRID=A7K4V8FCKZHCHSY9NHNT
