,sub_cat,item_name,URL
0,Buddhism,Fantasy-Science-Fiction-print-edition,/Fantasy-Science-Fiction-print-edition/dp/B00006KDW3/ref=zg_bs_254116011_1?_encoding=UTF8&psc=1&refRID=DHMXBHN7GT9MD6DETC3C
1,Buddhism,product-reviews,/product-reviews/B00006KDW3/ref=zg_bs_254116011_cr_1?ie=UTF8&refRID=DHMXBHN7GT9MD6DETC3C
2,Buddhism,product-reviews,/product-reviews/B00006KDW3/ref=zg_bs_254116011_cr_1?ie=UTF8&refRID=DHMXBHN7GT9MD6DETC3C
3,Buddhism,Fantasy-Science-Fiction-print-edition,/Fantasy-Science-Fiction-print-edition/dp/B00006KDW3/ref=zg_bs_254116011_1?_encoding=UTF8&psc=1&refRID=DHMXBHN7GT9MD6DETC3C
4,Buddhism,Guideposts,/Guideposts/dp/B004HLGC5U/ref=zg_bs_254116011_2?_encoding=UTF8&psc=1&refRID=DHMXBHN7GT9MD6DETC3C
5,Buddhism,product-reviews,/product-reviews/B004HLGC5U/ref=zg_bs_254116011_cr_2?ie=UTF8&refRID=DHMXBHN7GT9MD6DETC3C
6,Buddhism,product-reviews,/product-reviews/B004HLGC5U/ref=zg_bs_254116011_cr_2?ie=UTF8&refRID=DHMXBHN7GT9MD6DETC3C
7,Buddhism,Guideposts,/Guideposts/dp/B004HLGC5U/ref=zg_bs_254116011_2?_encoding=UTF8&psc=1&refRID=DHMXBHN7GT9MD6DETC3C
8,Buddhism,Fellowship-St-James-Touchstone-Christianity,/Fellowship-St-James-Touchstone-Christianity/dp/B0001PBUDA/ref=zg_bs_254116011_3?_encoding=UTF8&psc=1&refRID=DHMXBHN7GT9MD6DETC3C
9,Buddhism,product-reviews,/product-reviews/B0001PBUDA/ref=zg_bs_254116011_cr_3?ie=UTF8&refRID=DHMXBHN7GT9MD6DETC3C
10,Buddhism,product-reviews,/product-reviews/B0001PBUDA/ref=zg_bs_254116011_cr_3?ie=UTF8&refRID=DHMXBHN7GT9MD6DETC3C
11,Buddhism,Fellowship-St-James-Touchstone-Christianity,/Fellowship-St-James-Touchstone-Christianity/dp/B0001PBUDA/ref=zg_bs_254116011_3?_encoding=UTF8&psc=1&refRID=DHMXBHN7GT9MD6DETC3C
12,Buddhism,Religion-and-Public-Life-Things,/Religion-and-Public-Life-Things/dp/B000HOJOZ6/ref=zg_bs_254116011_4?_encoding=UTF8&psc=1&refRID=DHMXBHN7GT9MD6DETC3C
13,Buddhism,product-reviews,/product-reviews/B000HOJOZ6/ref=zg_bs_254116011_cr_4?ie=UTF8&refRID=DHMXBHN7GT9MD6DETC3C
14,Buddhism,product-reviews,/product-reviews/B000HOJOZ6/ref=zg_bs_254116011_cr_4?ie=UTF8&refRID=DHMXBHN7GT9MD6DETC3C
15,Buddhism,Religion-and-Public-Life-Things,/Religion-and-Public-Life-Things/dp/B000HOJOZ6/ref=zg_bs_254116011_4?_encoding=UTF8&psc=1&refRID=DHMXBHN7GT9MD6DETC3C
16,Buddhism,,https://www.amazon.com/gp/most-wished-for/magazines/254116011/ref=zg_bs_tab_t_mw
17,Buddhism,,https://www.amazon.com/gp/most-wished-for/magazines/254116011/ref=zg_bs_tab_t_mw
18,Buddhism,,https://www.amazon.com/gp/most-gifted/magazines/254116011/ref=zg_bs_tab_t_mg
19,Buddhism,,https://www.amazon.com/gp/most-gifted/magazines/254116011/ref=zg_bs_tab_t_mg
20,Buddhism,Vision-Publications-Reiki-News-Magazine,/Vision-Publications-Reiki-News-Magazine/dp/B00007KGVC/ref=zg_bs_254116011_5?_encoding=UTF8&psc=1&refRID=DHMXBHN7GT9MD6DETC3C
21,Buddhism,product-reviews,/product-reviews/B00007KGVC/ref=zg_bs_254116011_cr_5?ie=UTF8&refRID=DHMXBHN7GT9MD6DETC3C
22,Buddhism,product-reviews,/product-reviews/B00007KGVC/ref=zg_bs_254116011_cr_5?ie=UTF8&refRID=DHMXBHN7GT9MD6DETC3C
