,sub_cat,item_name,URL
0,Children's eBooks,Harry-Potter-Sorcerers-Stone-Rowling-ebook,/Harry-Potter-Sorcerers-Stone-Rowling-ebook/dp/B0192CTMYG/ref=zg_bs_155009011_1?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
1,Children's eBooks,product-reviews,/product-reviews/B0192CTMYG/ref=zg_bs_155009011_cr_1?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
2,Children's eBooks,product-reviews,/product-reviews/B0192CTMYG/ref=zg_bs_155009011_cr_1?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
3,Children's eBooks,Harry-Potter-Sorcerers-Stone-Rowling-ebook,/Harry-Potter-Sorcerers-Stone-Rowling-ebook/dp/B0192CTMYG/ref=zg_bs_155009011_1?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
4,Children's eBooks,Bad-Seed-Jory-John-ebook,/Bad-Seed-Jory-John-ebook/dp/B07CLNDCFH/ref=zg_bs_155009011_2?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
5,Children's eBooks,product-reviews,/product-reviews/B07CLNDCFH/ref=zg_bs_155009011_cr_2?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
6,Children's eBooks,product-reviews,/product-reviews/B07CLNDCFH/ref=zg_bs_155009011_cr_2?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
7,Children's eBooks,Bad-Seed-Jory-John-ebook,/Bad-Seed-Jory-John-ebook/dp/B07CLNDCFH/ref=zg_bs_155009011_2?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
8,Children's eBooks,Harry-Potter-Chamber-Secrets-Rowling-ebook,/Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B0192CTMW8/ref=zg_bs_155009011_3?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
9,Children's eBooks,product-reviews,/product-reviews/B0192CTMW8/ref=zg_bs_155009011_cr_3?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
10,Children's eBooks,product-reviews,/product-reviews/B0192CTMW8/ref=zg_bs_155009011_cr_3?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
11,Children's eBooks,Harry-Potter-Chamber-Secrets-Rowling-ebook,/Harry-Potter-Chamber-Secrets-Rowling-ebook/dp/B0192CTMW8/ref=zg_bs_155009011_3?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
12,Children's eBooks,Shadow-Bone-Grisha-Book-1-ebook,/Shadow-Bone-Grisha-Book-1-ebook/dp/B007NKMQGQ/ref=zg_bs_155009011_4?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
13,Children's eBooks,product-reviews,/product-reviews/B007NKMQGQ/ref=zg_bs_155009011_cr_4?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
14,Children's eBooks,product-reviews,/product-reviews/B007NKMQGQ/ref=zg_bs_155009011_cr_4?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
15,Children's eBooks,Shadow-Bone-Grisha-Book-1-ebook,/Shadow-Bone-Grisha-Book-1-ebook/dp/B007NKMQGQ/ref=zg_bs_155009011_4?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
16,Children's eBooks,,https://www.amazon.com/gp/new-releases/digital-text/155009011/ref=zg_bs_tab_t_bsnr
17,Children's eBooks,,https://www.amazon.com/gp/new-releases/digital-text/155009011/ref=zg_bs_tab_t_bsnr
18,Children's eBooks,Cool-Bean-Jory-John-ebook,/Cool-Bean-Jory-John-ebook/dp/B07RGKQVHN/ref=zg_bs_155009011_5?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
19,Children's eBooks,product-reviews,/product-reviews/B07RGKQVHN/ref=zg_bs_155009011_cr_5?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
20,Children's eBooks,product-reviews,/product-reviews/B07RGKQVHN/ref=zg_bs_155009011_cr_5?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
21,Children's eBooks,Cool-Bean-Jory-John-ebook,/Cool-Bean-Jory-John-ebook/dp/B07RGKQVHN/ref=zg_bs_155009011_5?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
22,Children's eBooks,Spring-Everywhere-Multi-property-Nickelodeon-Publishing-ebook,/Spring-Everywhere-Multi-property-Nickelodeon-Publishing-ebook/dp/B01MRNXFY1/ref=zg_bs_155009011_6?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
23,Children's eBooks,product-reviews,/product-reviews/B01MRNXFY1/ref=zg_bs_155009011_cr_6?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
24,Children's eBooks,product-reviews,/product-reviews/B01MRNXFY1/ref=zg_bs_155009011_cr_6?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
25,Children's eBooks,Spring-Everywhere-Multi-property-Nickelodeon-Publishing-ebook,/Spring-Everywhere-Multi-property-Nickelodeon-Publishing-ebook/dp/B01MRNXFY1/ref=zg_bs_155009011_6?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
26,Children's eBooks,Tooth-Fairy-Peppa-Pig-ebook,/Tooth-Fairy-Peppa-Pig-ebook/dp/B00JLPOVDC/ref=zg_bs_155009011_7?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
27,Children's eBooks,product-reviews,/product-reviews/B00JLPOVDC/ref=zg_bs_155009011_cr_7?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
28,Children's eBooks,product-reviews,/product-reviews/B00JLPOVDC/ref=zg_bs_155009011_cr_7?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
29,Children's eBooks,Tooth-Fairy-Peppa-Pig-ebook,/Tooth-Fairy-Peppa-Pig-ebook/dp/B00JLPOVDC/ref=zg_bs_155009011_7?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
30,Children's eBooks,Siege-Storm-Grisha-Book-2-ebook,/Siege-Storm-Grisha-Book-2-ebook/dp/B00AAYF8TY/ref=zg_bs_155009011_8?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
31,Children's eBooks,product-reviews,/product-reviews/B00AAYF8TY/ref=zg_bs_155009011_cr_8?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
32,Children's eBooks,product-reviews,/product-reviews/B00AAYF8TY/ref=zg_bs_155009011_cr_8?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
33,Children's eBooks,Siege-Storm-Grisha-Book-2-ebook,/Siege-Storm-Grisha-Book-2-ebook/dp/B00AAYF8TY/ref=zg_bs_155009011_8?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
34,Children's eBooks,Incredibles-Disney-Storybook-eBook-Group-ebook,/Incredibles-Disney-Storybook-eBook-Group-ebook/dp/B00PV2R7VW/ref=zg_bs_155009011_9?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
35,Children's eBooks,product-reviews,/product-reviews/B00PV2R7VW/ref=zg_bs_155009011_cr_9?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
36,Children's eBooks,product-reviews,/product-reviews/B00PV2R7VW/ref=zg_bs_155009011_cr_9?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
37,Children's eBooks,Incredibles-Disney-Storybook-eBook-Group-ebook,/Incredibles-Disney-Storybook-eBook-Group-ebook/dp/B00PV2R7VW/ref=zg_bs_155009011_9?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
38,Children's eBooks,Giving-Tree-Shel-Silverstein-ebook,/Giving-Tree-Shel-Silverstein-ebook/dp/B00DB2QZPI/ref=zg_bs_155009011_10?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
39,Children's eBooks,product-reviews,/product-reviews/B00DB2QZPI/ref=zg_bs_155009011_cr_10?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
40,Children's eBooks,product-reviews,/product-reviews/B00DB2QZPI/ref=zg_bs_155009011_cr_10?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
41,Children's eBooks,Giving-Tree-Shel-Silverstein-ebook,/Giving-Tree-Shel-Silverstein-ebook/dp/B00DB2QZPI/ref=zg_bs_155009011_10?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
42,Children's eBooks,Splat-Cat-Scream-Cream-Level-ebook,/Splat-Cat-Scream-Cream-Level-ebook/dp/B00M70S97M/ref=zg_bs_155009011_11?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
43,Children's eBooks,product-reviews,/product-reviews/B00M70S97M/ref=zg_bs_155009011_cr_11?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
44,Children's eBooks,product-reviews,/product-reviews/B00M70S97M/ref=zg_bs_155009011_cr_11?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
45,Children's eBooks,Splat-Cat-Scream-Cream-Level-ebook,/Splat-Cat-Scream-Cream-Level-ebook/dp/B00M70S97M/ref=zg_bs_155009011_11?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
46,Children's eBooks,Pete-Missing-Cupcakes-James-Dean-ebook,/Pete-Missing-Cupcakes-James-Dean-ebook/dp/B01AFXMGXU/ref=zg_bs_155009011_12?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
47,Children's eBooks,product-reviews,/product-reviews/B01AFXMGXU/ref=zg_bs_155009011_cr_12?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
48,Children's eBooks,product-reviews,/product-reviews/B01AFXMGXU/ref=zg_bs_155009011_cr_12?ie=UTF8&refRID=11PMRGC5J96N756A6JSZ
49,Children's eBooks,Pete-Missing-Cupcakes-James-Dean-ebook,/Pete-Missing-Cupcakes-James-Dean-ebook/dp/B01AFXMGXU/ref=zg_bs_155009011_12?_encoding=UTF8&psc=1&refRID=11PMRGC5J96N756A6JSZ
