,sub_cat,item_name,URL
0,Classics,Song-Achilles-Novel-Madeline-Miller,/Song-Achilles-Novel-Madeline-Miller/dp/0062060627/ref=zg_bs_10399_1?_encoding=UTF8&psc=1&refRID=QCJGCS024MF86KPH7J2J
1,Classics,product-reviews,/product-reviews/0062060627/ref=zg_bs_10399_cr_1?ie=UTF8&refRID=QCJGCS024MF86KPH7J2J
2,Classics,product-reviews,/product-reviews/0062060627/ref=zg_bs_10399_cr_1?ie=UTF8&refRID=QCJGCS024MF86KPH7J2J
3,Classics,Song-Achilles-Novel-Madeline-Miller,/Song-Achilles-Novel-Madeline-Miller/dp/0062060627/ref=zg_bs_10399_1?_encoding=UTF8&psc=1&refRID=QCJGCS024MF86KPH7J2J
4,Classics,The-Fellowship-of-Ring-audiobook,/The-Fellowship-of-Ring-audiobook/dp/B0099SNQYG/ref=zg_bs_10399_2?_encoding=UTF8&psc=1&refRID=QCJGCS024MF86KPH7J2J
5,Classics,product-reviews,/product-reviews/B0099SNQYG/ref=zg_bs_10399_cr_2?ie=UTF8&refRID=QCJGCS024MF86KPH7J2J
6,Classics,product-reviews,/product-reviews/B0099SNQYG/ref=zg_bs_10399_cr_2?ie=UTF8&refRID=QCJGCS024MF86KPH7J2J
7,Classics,The-Fellowship-of-Ring-audiobook,/The-Fellowship-of-Ring-audiobook/dp/B0099SNQYG/ref=zg_bs_10399_2?_encoding=UTF8&psc=1&refRID=QCJGCS024MF86KPH7J2J
8,Classics,1984-Signet-Classics-George-Orwell,/1984-Signet-Classics-George-Orwell/dp/0451524934/ref=zg_bs_10399_3?_encoding=UTF8&psc=1&refRID=QCJGCS024MF86KPH7J2J
9,Classics,product-reviews,/product-reviews/0451524934/ref=zg_bs_10399_cr_3?ie=UTF8&refRID=QCJGCS024MF86KPH7J2J
10,Classics,product-reviews,/product-reviews/0451524934/ref=zg_bs_10399_cr_3?ie=UTF8&refRID=QCJGCS024MF86KPH7J2J
11,Classics,1984-Signet-Classics-George-Orwell,/1984-Signet-Classics-George-Orwell/dp/0451524934/ref=zg_bs_10399_3?_encoding=UTF8&psc=1&refRID=QCJGCS024MF86KPH7J2J
12,Classics,First-Wifes-Secret-gripping-emotional-ebook,/First-Wifes-Secret-gripping-emotional-ebook/dp/B08R8WYS5X/ref=zg_bs_10399_4?_encoding=UTF8&psc=1&refRID=QCJGCS024MF86KPH7J2J
13,Classics,product-reviews,/product-reviews/B08R8WYS5X/ref=zg_bs_10399_cr_4?ie=UTF8&refRID=QCJGCS024MF86KPH7J2J
14,Classics,product-reviews,/product-reviews/B08R8WYS5X/ref=zg_bs_10399_cr_4?ie=UTF8&refRID=QCJGCS024MF86KPH7J2J
15,Classics,First-Wifes-Secret-gripping-emotional-ebook,/First-Wifes-Secret-gripping-emotional-ebook/dp/B08R8WYS5X/ref=zg_bs_10399_4?_encoding=UTF8&psc=1&refRID=QCJGCS024MF86KPH7J2J
16,Classics,,https://www.amazon.com/gp/new-releases/books/10399/ref=zg_bs_tab_t_bsnr
17,Classics,,https://www.amazon.com/gp/new-releases/books/10399/ref=zg_bs_tab_t_bsnr
18,Classics,,https://www.amazon.com/gp/most-wished-for/books/10399/ref=zg_bs_tab_t_mw
19,Classics,,https://www.amazon.com/gp/most-wished-for/books/10399/ref=zg_bs_tab_t_mw
