,sub_cat,item_name,URL
0,Cleaning Tools & Chemicals,HTH-52019-Treatment-Swimming-Chlorine,/HTH-52019-Treatment-Swimming-Chlorine/dp/B07ZZCGTN1/ref=zg_bs_1272944011_1?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
1,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B089FDMCL9/ref=zg_bs_1272944011_cr_1?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
2,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B089FDMCL9/ref=zg_bs_1272944011_cr_1?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
3,Cleaning Tools & Chemicals,HTH-52019-Treatment-Swimming-Chlorine,/HTH-52019-Treatment-Swimming-Chlorine/dp/B07ZZCGTN1/ref=zg_bs_1272944011_1?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
4,Cleaning Tools & Chemicals,Sunnyglade-Swimming-Supplies-Professional-Cleaning,/Sunnyglade-Swimming-Supplies-Professional-Cleaning/dp/B07D8JJ5ZT/ref=zg_bs_1272944011_2?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
5,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B07D8HRZKP/ref=zg_bs_1272944011_cr_2?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
6,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B07D8HRZKP/ref=zg_bs_1272944011_cr_2?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
7,Cleaning Tools & Chemicals,Sunnyglade-Swimming-Supplies-Professional-Cleaning,/Sunnyglade-Swimming-Supplies-Professional-Cleaning/dp/B07D8JJ5ZT/ref=zg_bs_1272944011_2?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
8,Cleaning Tools & Chemicals,JNW-Direct-Pool-Test-Strips,/JNW-Direct-Pool-Test-Strips/dp/B07PFCV894/ref=zg_bs_1272944011_3?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
9,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B07PFCV894/ref=zg_bs_1272944011_cr_3?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
10,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B07PFCV894/ref=zg_bs_1272944011_cr_3?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
11,Cleaning Tools & Chemicals,JNW-Direct-Pool-Test-Strips,/JNW-Direct-Pool-Test-Strips/dp/B07PFCV894/ref=zg_bs_1272944011_3?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
12,Cleaning Tools & Chemicals,Swim-Inch-Pool-Chlorine-Tablets,/Swim-Inch-Pool-Chlorine-Tablets/dp/B002WKS5F8/ref=zg_bs_1272944011_4?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
13,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B08VRWXVNW/ref=zg_bs_1272944011_cr_4?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
14,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B08VRWXVNW/ref=zg_bs_1272944011_cr_4?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
15,Cleaning Tools & Chemicals,Swim-Inch-Pool-Chlorine-Tablets,/Swim-Inch-Pool-Chlorine-Tablets/dp/B002WKS5F8/ref=zg_bs_1272944011_4?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
16,Cleaning Tools & Chemicals,,https://www.amazon.com/gp/new-releases/lawn-garden/1272944011/ref=zg_bs_tab_t_bsnr
17,Cleaning Tools & Chemicals,,https://www.amazon.com/gp/new-releases/lawn-garden/1272944011/ref=zg_bs_tab_t_bsnr
18,Cleaning Tools & Chemicals,,https://www.amazon.com/gp/most-wished-for/lawn-garden/1272944011/ref=zg_bs_tab_t_mw
19,Cleaning Tools & Chemicals,,https://www.amazon.com/gp/most-wished-for/lawn-garden/1272944011/ref=zg_bs_tab_t_mw
20,Cleaning Tools & Chemicals,Poolmaster-22211-Swimming-Chemistry-Strips,/Poolmaster-22211-Swimming-Chemistry-Strips/dp/B001E6E9PG/ref=zg_bs_1272944011_5?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
21,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B08X6Z1PC4/ref=zg_bs_1272944011_cr_5?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
22,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B08X6Z1PC4/ref=zg_bs_1272944011_cr_5?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
23,Cleaning Tools & Chemicals,Poolmaster-22211-Swimming-Chemistry-Strips,/Poolmaster-22211-Swimming-Chemistry-Strips/dp/B001E6E9PG/ref=zg_bs_1272944011_5?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
24,Cleaning Tools & Chemicals,SpaGuard-Enhanced-Shock-2-lb,/SpaGuard-Enhanced-Shock-2-lb/dp/B00HX2QDV8/ref=zg_bs_1272944011_6?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
25,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B01LYVUMA8/ref=zg_bs_1272944011_cr_6?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
26,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B01LYVUMA8/ref=zg_bs_1272944011_cr_6?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
27,Cleaning Tools & Chemicals,SpaGuard-Enhanced-Shock-2-lb,/SpaGuard-Enhanced-Shock-2-lb/dp/B00HX2QDV8/ref=zg_bs_1272944011_6?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
28,Cleaning Tools & Chemicals,Holikme-Set%EF%BC%8CScrub-Scouring-bathroom-Surface%EF%BC%88Black%EF%BC%89,/Holikme-Set%EF%BC%8CScrub-Scouring-bathroom-Surface%EF%BC%88Black%EF%BC%89/dp/B088NKJT4L/ref=zg_bs_1272944011_7?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
29,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B08S3CKZR6/ref=zg_bs_1272944011_cr_7?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
30,Cleaning Tools & Chemicals,product-reviews,/product-reviews/B08S3CKZR6/ref=zg_bs_1272944011_cr_7?ie=UTF8&refRID=XV0ZF5VZZVR7AGZRCJ24
31,Cleaning Tools & Chemicals,Holikme-Set%EF%BC%8CScrub-Scouring-bathroom-Surface%EF%BC%88Black%EF%BC%89,/Holikme-Set%EF%BC%8CScrub-Scouring-bathroom-Surface%EF%BC%88Black%EF%BC%89/dp/B088NKJT4L/ref=zg_bs_1272944011_7?_encoding=UTF8&psc=1&refRID=XV0ZF5VZZVR7AGZRCJ24
