,sub_cat,item_name,URL
0,"Comics, Manga & Graphic Novels",Invincible-Vol-1-Family-Matters-ebook,/Invincible-Vol-1-Family-Matters-ebook/dp/B007KAQNR2/ref=zg_bs_156104011_1?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
1,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B007KAQNR2/ref=zg_bs_156104011_cr_1?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
2,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B007KAQNR2/ref=zg_bs_156104011_cr_1?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
3,"Comics, Manga & Graphic Novels",Invincible-Vol-1-Family-Matters-ebook,/Invincible-Vol-1-Family-Matters-ebook/dp/B007KAQNR2/ref=zg_bs_156104011_1?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
4,"Comics, Manga & Graphic Novels",Invincible-Vol-2-Eight-Enough-ebook,/Invincible-Vol-2-Eight-Enough-ebook/dp/B007KAQOJE/ref=zg_bs_156104011_2?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
5,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B007KAQOJE/ref=zg_bs_156104011_cr_2?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
6,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B007KAQOJE/ref=zg_bs_156104011_cr_2?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
7,"Comics, Manga & Graphic Novels",Invincible-Vol-2-Eight-Enough-ebook,/Invincible-Vol-2-Eight-Enough-ebook/dp/B007KAQOJE/ref=zg_bs_156104011_2?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
8,"Comics, Manga & Graphic Novels",Invincible-Compendium-Vol-Robert-Kirkman-ebook,/Invincible-Compendium-Vol-Robert-Kirkman-ebook/dp/B07MJHX8R3/ref=zg_bs_156104011_3?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
9,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B07MJHX8R3/ref=zg_bs_156104011_cr_3?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
10,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B07MJHX8R3/ref=zg_bs_156104011_cr_3?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
11,"Comics, Manga & Graphic Novels",Invincible-Compendium-Vol-Robert-Kirkman-ebook,/Invincible-Compendium-Vol-Robert-Kirkman-ebook/dp/B07MJHX8R3/ref=zg_bs_156104011_3?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
12,"Comics, Manga & Graphic Novels",Invincible-Vol-3-Perfect-Strangers-ebook,/Invincible-Vol-3-Perfect-Strangers-ebook/dp/B007KAQPGQ/ref=zg_bs_156104011_4?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
13,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B007KAQPGQ/ref=zg_bs_156104011_cr_4?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
14,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B007KAQPGQ/ref=zg_bs_156104011_cr_4?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
15,"Comics, Manga & Graphic Novels",Invincible-Vol-3-Perfect-Strangers-ebook,/Invincible-Vol-3-Perfect-Strangers-ebook/dp/B007KAQPGQ/ref=zg_bs_156104011_4?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
16,"Comics, Manga & Graphic Novels",,https://www.amazon.com/gp/new-releases/digital-text/156104011/ref=zg_bs_tab_t_bsnr
17,"Comics, Manga & Graphic Novels",,https://www.amazon.com/gp/new-releases/digital-text/156104011/ref=zg_bs_tab_t_bsnr
18,"Comics, Manga & Graphic Novels",Big-Nate-Flips-Lincoln-Peirce-ebook,/Big-Nate-Flips-Lincoln-Peirce-ebook/dp/B009R4L676/ref=zg_bs_156104011_5?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
19,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B009R4L676/ref=zg_bs_156104011_cr_5?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
20,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B009R4L676/ref=zg_bs_156104011_cr_5?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
21,"Comics, Manga & Graphic Novels",Big-Nate-Flips-Lincoln-Peirce-ebook,/Big-Nate-Flips-Lincoln-Peirce-ebook/dp/B009R4L676/ref=zg_bs_156104011_5?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
22,"Comics, Manga & Graphic Novels",Big-Nate-Popularity-Comix-Book-ebook,/Big-Nate-Popularity-Comix-Book-ebook/dp/B00FJ302EC/ref=zg_bs_156104011_6?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
23,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B00FJ302EC/ref=zg_bs_156104011_cr_6?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
24,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B00FJ302EC/ref=zg_bs_156104011_cr_6?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
25,"Comics, Manga & Graphic Novels",Big-Nate-Popularity-Comix-Book-ebook,/Big-Nate-Popularity-Comix-Book-ebook/dp/B00FJ302EC/ref=zg_bs_156104011_6?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
26,"Comics, Manga & Graphic Novels",Invincible-Compendium-Vol-Robert-Kirkman-ebook,/Invincible-Compendium-Vol-Robert-Kirkman-ebook/dp/B07MSJ1F3G/ref=zg_bs_156104011_7?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
27,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B07MSJ1F3G/ref=zg_bs_156104011_cr_7?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
28,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B07MSJ1F3G/ref=zg_bs_156104011_cr_7?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
29,"Comics, Manga & Graphic Novels",Invincible-Compendium-Vol-Robert-Kirkman-ebook,/Invincible-Compendium-Vol-Robert-Kirkman-ebook/dp/B07MSJ1F3G/ref=zg_bs_156104011_7?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
30,"Comics, Manga & Graphic Novels",Attack-Titan-Vol-Hajime-Isayama-ebook,/Attack-Titan-Vol-Hajime-Isayama-ebook/dp/B00CCOO1HA/ref=zg_bs_156104011_8?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
31,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B00CCOO1HA/ref=zg_bs_156104011_cr_8?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
32,"Comics, Manga & Graphic Novels",product-reviews,/product-reviews/B00CCOO1HA/ref=zg_bs_156104011_cr_8?ie=UTF8&refRID=S2C9N3DQ3XQ5NVFYHCZC
33,"Comics, Manga & Graphic Novels",Attack-Titan-Vol-Hajime-Isayama-ebook,/Attack-Titan-Vol-Hajime-Isayama-ebook/dp/B00CCOO1HA/ref=zg_bs_156104011_8?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
34,"Comics, Manga & Graphic Novels",Batman-Fortnite-Zero-Point-2021-ebook,/Batman-Fortnite-Zero-Point-2021-ebook/dp/B08ZJKP57C/ref=zg_bs_156104011_9?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
35,"Comics, Manga & Graphic Novels",Batman-Fortnite-Zero-Point-2021-ebook,/Batman-Fortnite-Zero-Point-2021-ebook/dp/B08ZJKP57C/ref=zg_bs_156104011_9?_encoding=UTF8&psc=1&refRID=S2C9N3DQ3XQ5NVFYHCZC
