,sub_cat,item_name,URL
0,Contemporary,Kaaterskill-Falls-Novel-Allegra-Goodman-ebook,/Kaaterskill-Falls-Novel-Allegra-Goodman-ebook/dp/B002SXIEOG/ref=zg_bs_10129_1?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
1,Contemporary,product-reviews,/product-reviews/B002SXIEOG/ref=zg_bs_10129_cr_1?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
2,Contemporary,product-reviews,/product-reviews/B002SXIEOG/ref=zg_bs_10129_cr_1?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
3,Contemporary,Kaaterskill-Falls-Novel-Allegra-Goodman-ebook,/Kaaterskill-Falls-Novel-Allegra-Goodman-ebook/dp/B002SXIEOG/ref=zg_bs_10129_1?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
4,Contemporary,Standing-Rainbow-Ballantine-Readers-Circle-ebook,/Standing-Rainbow-Ballantine-Readers-Circle-ebook/dp/B000FC1V2Y/ref=zg_bs_10129_2?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
5,Contemporary,product-reviews,/product-reviews/B000FC1V2Y/ref=zg_bs_10129_cr_2?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
6,Contemporary,product-reviews,/product-reviews/B000FC1V2Y/ref=zg_bs_10129_cr_2?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
7,Contemporary,Standing-Rainbow-Ballantine-Readers-Circle-ebook,/Standing-Rainbow-Ballantine-Readers-Circle-ebook/dp/B000FC1V2Y/ref=zg_bs_10129_2?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
8,Contemporary,Falling-Out-Hate-You-Hate-Love-ebook,/Falling-Out-Hate-You-Hate-Love-ebook/dp/B08S6TZTXJ/ref=zg_bs_10129_3?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
9,Contemporary,product-reviews,/product-reviews/B08S6TZTXJ/ref=zg_bs_10129_cr_3?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
10,Contemporary,product-reviews,/product-reviews/B08S6TZTXJ/ref=zg_bs_10129_cr_3?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
11,Contemporary,Falling-Out-Hate-You-Hate-Love-ebook,/Falling-Out-Hate-You-Hate-Love-ebook/dp/B08S6TZTXJ/ref=zg_bs_10129_3?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
12,Contemporary,Never-Say-Forever-Donna-Alam-ebook,/Never-Say-Forever-Donna-Alam-ebook/dp/B08X728J1H/ref=zg_bs_10129_4?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
13,Contemporary,product-reviews,/product-reviews/B08X728J1H/ref=zg_bs_10129_cr_4?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
14,Contemporary,product-reviews,/product-reviews/B08X728J1H/ref=zg_bs_10129_cr_4?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
15,Contemporary,Never-Say-Forever-Donna-Alam-ebook,/Never-Say-Forever-Donna-Alam-ebook/dp/B08X728J1H/ref=zg_bs_10129_4?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
16,Contemporary,,https://www.amazon.com/gp/new-releases/books/10129/ref=zg_bs_tab_t_bsnr
17,Contemporary,,https://www.amazon.com/gp/new-releases/books/10129/ref=zg_bs_tab_t_bsnr
18,Contemporary,,https://www.amazon.com/gp/most-wished-for/books/10129/ref=zg_bs_tab_t_mw
19,Contemporary,,https://www.amazon.com/gp/most-wished-for/books/10129/ref=zg_bs_tab_t_mw
20,Contemporary,Animal-Farm-George-Orwell,/Animal-Farm-George-Orwell/dp/0451526341/ref=zg_bs_10129_5?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
21,Contemporary,product-reviews,/product-reviews/0451526341/ref=zg_bs_10129_cr_5?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
22,Contemporary,product-reviews,/product-reviews/0451526341/ref=zg_bs_10129_cr_5?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
23,Contemporary,Animal-Farm-George-Orwell,/Animal-Farm-George-Orwell/dp/0451526341/ref=zg_bs_10129_5?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
24,Contemporary,See-After-Class-Meghan-Quinn-ebook,/See-After-Class-Meghan-Quinn-ebook/dp/B08GH5G2B2/ref=zg_bs_10129_6?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
25,Contemporary,product-reviews,/product-reviews/B08GH5G2B2/ref=zg_bs_10129_cr_6?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
26,Contemporary,product-reviews,/product-reviews/B08GH5G2B2/ref=zg_bs_10129_cr_6?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
27,Contemporary,See-After-Class-Meghan-Quinn-ebook,/See-After-Class-Meghan-Quinn-ebook/dp/B08GH5G2B2/ref=zg_bs_10129_6?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
28,Contemporary,Firefly-Lane-Novel-Kristin-Hannah,/Firefly-Lane-Novel-Kristin-Hannah/dp/0312537077/ref=zg_bs_10129_7?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
29,Contemporary,product-reviews,/product-reviews/0312537077/ref=zg_bs_10129_cr_7?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
30,Contemporary,product-reviews,/product-reviews/0312537077/ref=zg_bs_10129_cr_7?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
31,Contemporary,Firefly-Lane-Novel-Kristin-Hannah,/Firefly-Lane-Novel-Kristin-Hannah/dp/0312537077/ref=zg_bs_10129_7?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
32,Contemporary,Coldest-Winter-Ever-Novel,/Coldest-Winter-Ever-Novel/dp/074327010X/ref=zg_bs_10129_8?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
33,Contemporary,product-reviews,/product-reviews/074327010X/ref=zg_bs_10129_cr_8?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
34,Contemporary,product-reviews,/product-reviews/074327010X/ref=zg_bs_10129_cr_8?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
35,Contemporary,Coldest-Winter-Ever-Novel,/Coldest-Winter-Ever-Novel/dp/074327010X/ref=zg_bs_10129_8?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
36,Contemporary,Handmaids-Tale-Margaret-Atwood-ebook,/Handmaids-Tale-Margaret-Atwood-ebook/dp/B003JFJHTS/ref=zg_bs_10129_9?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
37,Contemporary,product-reviews,/product-reviews/B003JFJHTS/ref=zg_bs_10129_cr_9?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
38,Contemporary,product-reviews,/product-reviews/B003JFJHTS/ref=zg_bs_10129_cr_9?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
39,Contemporary,Handmaids-Tale-Margaret-Atwood-ebook,/Handmaids-Tale-Margaret-Atwood-ebook/dp/B003JFJHTS/ref=zg_bs_10129_9?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
40,Contemporary,We-Are-Not-Ourselves-Novel-ebook,/We-Are-Not-Ourselves-Novel-ebook/dp/B00GEEB2WG/ref=zg_bs_10129_10?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
41,Contemporary,product-reviews,/product-reviews/B00GEEB2WG/ref=zg_bs_10129_cr_10?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
42,Contemporary,product-reviews,/product-reviews/B00GEEB2WG/ref=zg_bs_10129_cr_10?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
43,Contemporary,We-Are-Not-Ourselves-Novel-ebook,/We-Are-Not-Ourselves-Novel-ebook/dp/B00GEEB2WG/ref=zg_bs_10129_10?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
44,Contemporary,Gruffalo-Julia-Donaldson,/Gruffalo-Julia-Donaldson/dp/0142403873/ref=zg_bs_10129_11?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
45,Contemporary,product-reviews,/product-reviews/0142403873/ref=zg_bs_10129_cr_11?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
46,Contemporary,product-reviews,/product-reviews/0142403873/ref=zg_bs_10129_cr_11?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
47,Contemporary,Gruffalo-Julia-Donaldson,/Gruffalo-Julia-Donaldson/dp/0142403873/ref=zg_bs_10129_11?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
48,Contemporary,Holes-Louis-Sachar,/Holes-Louis-Sachar/dp/0440414806/ref=zg_bs_10129_12?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
49,Contemporary,product-reviews,/product-reviews/0440414806/ref=zg_bs_10129_cr_12?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
50,Contemporary,product-reviews,/product-reviews/0440414806/ref=zg_bs_10129_cr_12?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
51,Contemporary,Holes-Louis-Sachar,/Holes-Louis-Sachar/dp/0440414806/ref=zg_bs_10129_12?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
52,Contemporary,No-Longer-Human-Osamu-Dazai,/No-Longer-Human-Osamu-Dazai/dp/0811204812/ref=zg_bs_10129_13?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
53,Contemporary,product-reviews,/product-reviews/0811204812/ref=zg_bs_10129_cr_13?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
54,Contemporary,product-reviews,/product-reviews/0811204812/ref=zg_bs_10129_cr_13?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
55,Contemporary,No-Longer-Human-Osamu-Dazai,/No-Longer-Human-Osamu-Dazai/dp/0811204812/ref=zg_bs_10129_13?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
56,Contemporary,Charlottes-Web-Trophy-Newbery-White,/Charlottes-Web-Trophy-Newbery-White/dp/0064400557/ref=zg_bs_10129_14?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
57,Contemporary,product-reviews,/product-reviews/0064400557/ref=zg_bs_10129_cr_14?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
58,Contemporary,product-reviews,/product-reviews/0064400557/ref=zg_bs_10129_cr_14?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
59,Contemporary,Charlottes-Web-Trophy-Newbery-White,/Charlottes-Web-Trophy-Newbery-White/dp/0064400557/ref=zg_bs_10129_14?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
60,Contemporary,Mice-Men-John-Steinbeck,/Mice-Men-John-Steinbeck/dp/0140177396/ref=zg_bs_10129_15?_encoding=UTF8&psc=1&refRID=4YAKSPFXGRQWDS1DCHPS
61,Contemporary,product-reviews,/product-reviews/0140177396/ref=zg_bs_10129_cr_15?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
62,Contemporary,product-reviews,/product-reviews/0140177396/ref=zg_bs_10129_cr_15?ie=UTF8&refRID=4YAKSPFXGRQWDS1DCHPS
